date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:24:10 ,11.03,0.00%,"493,919",1.05M,1.36B,-37.00M,1.24B,3.35,-,9.51,-,34.76,1.10,0.90,1.00,1.33,0.05%,0.29%,8.04%,55.25,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.90M,118.04M,0.46%,0.52,11.70,-2.48%,54.70%,11.03,-0.32,36.10%,-,0.30%,-13.17%,86.80%,-0.62%,-,-,3820,2.50
2018-10-17,22:18:34 ,11.02,-0.09%,"558,585",1.05M,1.35B,-37.00M,1.24B,3.35,-,9.50,-,34.73,1.10,0.90,1.00,1.33,-0.05%,0.20%,7.80%,51.29,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.90M,118.04M,0.46%,0.52,11.70,-2.56%,54.56%,11.03,-0.32,36.10%,-,0.30%,-13.17%,86.80%,-0.62%,-,-,3820,2.50
2018-10-18,22:54:57 ,11.02,0.00%,"559,913",1.04M,1.35B,-37.00M,1.24B,3.35,-,9.50,-,34.73,1.10,0.90,1.00,1.33,-0.04%,0.19%,7.65%,51.78,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.90M,118.04M,0.46%,0.53,11.70,-2.56%,54.56%,11.02,-0.32,36.10%,-,0.30%,-13.17%,86.80%,-0.62%,-,-,3820,2.50
2018-10-19,23:01:57 ,11.01,-0.09%,"739,027",1.01M,1.35B,-37.00M,1.24B,3.35,-,9.49,-,34.70,1.09,0.90,1.00,1.33,-0.13%,0.09%,7.40%,48.51,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.90M,118.04M,0.46%,0.54,11.70,-2.65%,54.42%,11.02,-0.32,36.10%,-,0.30%,-13.17%,86.80%,-0.62%,-,-,3820,2.50
2018-10-22,20:23:28 ,11.02,0.09%,"407,877",981.57K,1.35B,-37.00M,1.24B,3.35,-,9.50,-,34.70,1.09,0.90,1.00,1.33,-0.03%,0.18%,7.35%,51.88,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.79M,118.04M,0.46%,0.56,11.70,-2.56%,54.56%,11.01,-0.32,36.10%,-,0.30%,-13.18%,87.00%,-0.62%,-,-,3820,2.50
2018-10-23,20:25:08 ,11.02,0.00%,"184,981",964.29K,1.35B,-37.00M,1.24B,3.35,-,9.50,-,34.70,1.09,0.90,1.00,1.33,-0.03%,0.17%,7.22%,51.57,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.79M,118.04M,0.46%,0.57,11.70,-2.56%,54.56%,11.02,-0.32,36.10%,-,0.30%,-13.18%,87.00%,-0.62%,-,-,3820,2.50
2018-10-24,20:23:10 ,11.01,-0.09%,"188,536",947.27K,1.35B,-37.00M,1.24B,3.35,-,9.49,-,34.66,1.09,0.90,1.00,1.33,-0.11%,0.07%,6.99%,47.70,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.79M,118.04M,0.46%,0.58,11.70,-2.65%,54.42%,11.02,-0.32,36.10%,-,0.30%,-13.18%,87.00%,-0.62%,-,-,3820,2.50
2018-10-25,20:24:11 ,11.00,-0.09%,"2,727,049",923.94K,1.35B,-37.00M,1.24B,3.34,-,9.48,-,34.63,1.09,0.90,1.00,1.33,-0.20%,-0.02%,6.76%,45.03,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.79M,118.04M,0.46%,0.59,11.70,-2.74%,54.28%,11.01,-0.32,36.10%,-,0.30%,-13.18%,87.00%,-0.62%,-,-,3820,2.50
2018-10-26,20:23:18 ,10.98,-0.18%,"1,662,924",949.73K,1.35B,-37.00M,1.24B,3.34,-,9.47,-,34.57,1.09,0.90,1.00,1.33,-0.39%,-0.21%,6.44%,39.54,-2.10%,-9.60%,-3.30%,57.00%,-1.00%,-2.80%,122.79M,118.04M,0.46%,0.58,11.70,-2.92%,54.00%,11.00,-0.32,36.10%,-,0.30%,-13.18%,87.00%,-0.62%,-,-,3820,2.50
2018-10-29,20:16:14 ,10.99,0.09%,"361,883",960.14K,1.35B,-16.90M,1.30B,3.36,-,9.47,-,30.11,1.04,0.80,0.90,1.21,-0.28%,-0.13%,6.43%,42.69,-0.90%,-3.70%,-3.30%,57.70%,0.70%,-1.10%,123.29M,118.04M,0.56%,0.69,11.70,-2.83%,54.14%,10.98,-0.15,28.20%,75.80%,0.30%,-13.13%,86.60%,-1.04%,-,-,3820,2.50
