date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:24:14 ,26.44,3.30%,"10,871",6.06K,151.00M,15.00M,24.00M,0.81,10.40,-,-,5.59,6.29,-,-,0.00,-0.45%,-1.50%,-2.49%,48.90,7.70%,22.90%,-9.00%,90.60%,-,-,5.71M,4.43M,0.13%,0.94,-,-13.51%,11.58%,25.60,2.54,40.00%,15.40%,11.10%,32.91%,12.90%,0.14%,-,-,216,-
2018-10-17,22:18:39 ,26.25,-0.74%,"28,735",6.06K,149.89M,15.00M,24.00M,0.80,10.32,-,-,5.55,6.25,-,-,0.00,-0.91%,-2.19%,-3.24%,46.69,7.70%,22.90%,-9.00%,90.60%,-,-,5.71M,4.43M,0.13%,0.94,-,-14.14%,10.76%,26.44,2.54,40.00%,15.40%,11.10%,32.91%,12.90%,0.14%,-,-,216,-
2018-10-18,22:55:02 ,26.01,-0.92%,847,6.42K,148.52M,15.00M,24.00M,0.79,10.23,-,-,5.50,6.19,-,-,0.00,-1.61%,-3.00%,-4.15%,44.37,7.70%,22.90%,-9.00%,90.60%,-,-,5.71M,4.43M,0.13%,0.88,-,-14.93%,9.75%,26.25,2.54,40.00%,15.40%,11.10%,32.91%,12.90%,0.14%,-,-,216,-
2018-10-19,23:02:01 ,26.01,0.00%,"3,984",6.33K,148.52M,15.00M,24.00M,0.79,10.23,-,-,5.50,6.19,-,-,0.00,-1.28%,-2.91%,-4.18%,45.09,7.70%,22.90%,-9.00%,90.60%,-,-,5.71M,4.43M,0.13%,0.90,-,-14.93%,9.75%,26.01,2.54,40.00%,15.40%,11.10%,32.53%,12.90%,0.14%,-,-,216,-
2018-10-22,20:23:34 ,26.00,-0.04%,"3,112",6.39K,148.98M,15.00M,24.00M,0.79,10.22,-,-,5.52,6.21,-,-,0.00,-0.98%,-2.84%,-4.25%,45.01,7.70%,22.90%,-9.00%,90.60%,-,-,5.73M,4.43M,0.13%,0.89,-,-14.96%,9.70%,26.01,2.54,40.00%,15.40%,11.20%,32.00%,13.00%,0.13%,-,-,216,-
2018-10-23,20:25:13 ,25.99,-0.04%,"3,113",6.30K,148.92M,15.00M,24.00M,0.79,10.22,-,-,5.52,6.21,-,-,0.00,-0.95%,-2.77%,-4.32%,45.33,7.70%,22.90%,-9.00%,90.60%,-,-,5.73M,4.43M,0.13%,0.90,-,-15.00%,9.66%,26.00,2.54,40.00%,15.40%,11.20%,32.00%,13.00%,0.13%,-,-,216,-
2018-10-24,20:23:14 ,25.56,-1.66%,"4,217",6.24K,146.45M,15.00M,24.00M,0.78,10.05,-,-,5.42,6.10,-,-,0.00,-2.50%,-4.31%,-5.93%,40.42,7.70%,22.90%,-9.00%,90.60%,-,-,5.73M,4.43M,0.13%,0.91,-,-16.41%,7.84%,25.99,2.54,40.00%,15.40%,11.20%,32.00%,13.00%,0.13%,-,-,216,-
2018-10-25,20:24:16 ,25.87,1.22%,"1,498",6.21K,148.24M,15.00M,24.00M,0.79,10.17,-,-,5.49,6.18,-,-,0.00,-1.25%,-3.03%,-4.80%,44.21,7.70%,22.90%,-9.00%,90.60%,-,-,5.73M,4.43M,0.13%,0.91,-,-15.39%,9.16%,25.56,2.54,40.00%,15.40%,11.20%,32.00%,13.00%,0.13%,-,-,216,-
2018-10-26,20:23:23 ,25.30,-2.20%,"17,187",6.15K,144.97M,15.00M,24.00M,0.77,9.95,-,-,5.37,6.04,-,-,0.00,-3.28%,-5.11%,-6.93%,38.74,7.70%,22.90%,-9.00%,90.60%,-,-,5.73M,4.43M,0.13%,0.92,-,-17.25%,6.75%,25.87,2.54,40.00%,15.40%,11.20%,32.00%,13.00%,0.13%,-,-,216,-
2018-10-29,20:16:18 ,25.50,0.79%,697,6.35K,149.43M,15.00M,24.00M,0.78,10.03,-,-,5.53,6.23,-,-,0.00,-2.35%,-4.25%,-6.15%,41.80,7.70%,22.90%,-9.00%,90.60%,-,-,5.86M,4.41M,0.09%,0.64,27.00,-16.60%,7.59%,25.30,2.54,40.00%,15.40%,11.50%,29.52%,13.00%,0.13%,-,-,216,-
2018-10-30,20:17:24 ,25.50,0.00%,"30,736",6.20K,149.43M,15.00M,24.00M,0.78,10.03,-,-,5.53,6.23,-,-,0.00,-2.29%,-4.16%,-6.09%,42.18,7.70%,22.90%,-9.00%,90.60%,-,-,5.86M,4.41M,0.09%,0.66,27.00,-16.60%,7.59%,25.50,2.54,40.00%,15.40%,11.50%,29.52%,13.00%,0.13%,-,-,216,-
2018-10-31,20:16:02 ,25.32,-0.71%,"8,398",6.55K,148.38M,15.00M,24.00M,0.77,9.96,-,-,5.50,6.18,-,-,0.00,-2.92%,-4.74%,-6.71%,39.88,7.70%,22.90%,-9.00%,90.60%,-,-,5.86M,4.41M,0.09%,0.62,27.00,-17.19%,6.84%,25.50,2.54,40.00%,15.40%,11.50%,29.52%,13.00%,0.13%,-,-,216,-
2018-11-01,20:18:59 ,25.55,0.91%,"4,295",6.60K,149.72M,15.00M,24.00M,0.78,10.05,-,-,5.55,6.24,-,-,0.00,-1.91%,-3.76%,-5.81%,42.34,7.70%,22.90%,-9.00%,90.60%,-,-,5.86M,4.41M,0.09%,0.61,27.00,-16.44%,7.81%,25.32,2.54,40.00%,15.40%,11.50%,29.52%,13.00%,0.13%,-,-,216,-
2018-11-03,01:47:00 ,26.00,1.76%,"17,053",6.64K,152.36M,15.00M,24.00M,0.79,10.22,-,-,5.64,6.35,-,-,0.00,0.00%,-2.00%,-4.11%,49.04,7.70%,22.90%,-9.00%,90.60%,-,-,5.86M,4.41M,0.09%,0.61,27.00,-14.96%,9.70%,25.55,2.54,40.00%,15.40%,11.50%,29.52%,13.00%,0.13%,-,-,216,-
2018-11-05,19:19:39 ,26.01,0.04%,"8,619",6.90K,146.44M,15.00M,24.00M,0.79,10.23,-,-,5.42,6.10,-,-,0.00,0.15%,-1.93%,-4.03%,49.45,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.59,-,-14.93%,9.75%,26.00,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
2018-11-06,19:17:51 ,25.92,-0.35%,270,6.86K,145.93M,15.00M,24.00M,0.79,10.19,-,-,5.40,6.08,-,-,0.00,-0.04%,-2.25%,-4.33%,48.60,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.59,-,-15.22%,9.37%,26.01,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
2018-11-07,19:26:28 ,26.25,1.27%,"4,504",6.59K,147.79M,15.00M,24.00M,0.80,10.32,-,-,5.47,6.16,-,-,0.00,1.33%,-0.97%,-3.07%,52.46,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.62,-,-14.15%,10.76%,25.92,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
2018-11-08,19:16:49 ,26.25,0.00%,"1,014",6.51K,147.79M,15.00M,24.00M,0.80,10.32,-,-,5.47,6.16,-,-,0.00,1.35%,-0.91%,-3.05%,51.83,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.62,-,-14.15%,10.76%,26.25,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
2018-11-08,19:38:22 ,26.25,0.00%,"1,014",6.51K,147.79M,15.00M,24.00M,0.80,10.32,-,-,5.47,6.16,-,-,0.00,1.35%,-0.91%,-3.05%,51.83,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.62,-,-14.15%,10.76%,26.25,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
2018-11-09,19:55:29 ,26.25,0.00%,137,6.39K,147.79M,15.00M,24.00M,0.80,10.32,-,-,5.47,6.16,-,-,0.00,1.39%,-0.87%,-3.03%,51.12,7.70%,22.90%,-9.00%,90.60%,-,-,5.63M,4.41M,0.09%,0.64,-,-14.15%,10.76%,26.25,2.54,40.00%,15.40%,11.50%,30.59%,13.00%,0.14%,-,-,216,-
