date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:20:30 ,9.17,4.68%,"29,105",52.38K,180.83M,-4.50M,241.50M,1.64,-,13.89,-,6.72,0.75,1.00,1.80,0.79,-7.28%,-14.47%,-17.76%,35.24,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,19.72M,14.34M,3.76%,10.28,15.00,-30.84%,25.96%,8.76,-0.27,-30.70%,82.60%,16.40%,-0.14%,59.80%,0.07%,-,-,561,2.00
2018-10-17,22:14:44 ,9.00,-1.85%,"12,721",52.38K,177.48M,-4.50M,241.50M,1.61,-,13.64,-,6.60,0.73,1.00,1.80,0.79,-8.07%,-15.62%,-19.27%,33.32,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,19.72M,14.34M,3.76%,10.28,15.00,-32.13%,23.63%,9.17,-0.27,-30.70%,82.60%,16.40%,-0.14%,59.80%,0.07%,-,-,561,2.00
2018-10-18,22:51:14 ,8.58,-4.67%,"39,219",51.58K,169.20M,-4.50M,241.50M,1.53,-,13.00,-,6.29,0.70,1.00,1.80,0.79,-11.50%,-19.06%,-23.03%,27.76,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,19.72M,14.34M,3.76%,10.44,15.00,-35.29%,17.86%,9.00,-0.27,-30.70%,82.60%,16.40%,-0.14%,59.80%,0.07%,-,-,561,2.00
2018-10-19,22:58:18 ,8.36,-2.56%,"29,966",51.18K,164.86M,-4.50M,241.50M,1.49,-,12.67,-,6.13,0.68,1.00,1.80,0.79,-12.72%,-20.70%,-24.98%,26.34,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,19.72M,14.34M,3.76%,10.53,15.00,-36.95%,14.84%,8.58,-0.27,-30.70%,82.60%,16.40%,-0.14%,59.80%,0.07%,-,-,561,2.00
2018-10-22,20:19:27 ,8.68,3.83%,"36,014",51.03K,174.64M,-4.50M,241.50M,1.55,-,13.15,-,6.49,0.72,1.00,1.80,0.79,-8.38%,-17.15%,-22.07%,34.65,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,20.12M,14.34M,3.76%,10.56,15.00,-34.54%,19.23%,8.36,-0.27,-30.70%,82.60%,16.40%,-0.13%,59.80%,0.14%,-,-,561,2.00
2018-10-23,20:21:08 ,8.22,-5.30%,"45,701",50.25K,165.39M,-4.50M,241.50M,1.47,-,12.45,-,6.15,0.68,1.00,1.80,0.79,-12.53%,-21.10%,-26.17%,30.13,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,20.12M,14.34M,3.76%,10.72,15.00,-38.01%,12.91%,8.68,-0.27,-30.70%,82.60%,16.40%,-0.13%,59.80%,0.14%,-,-,561,2.00
2018-10-24,20:19:09 ,7.90,-3.89%,"53,647",50.49K,158.95M,-4.50M,241.50M,1.41,-,11.97,-,5.91,0.66,1.00,1.80,0.79,-15.02%,-23.68%,-29.01%,27.78,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,20.12M,14.34M,3.76%,10.67,15.00,-40.42%,8.52%,8.22,-0.27,-30.70%,82.60%,16.40%,-0.13%,59.80%,0.14%,-,-,561,2.00
2018-10-25,20:20:09 ,8.43,6.71%,"58,438",50.82K,169.61M,-4.50M,241.50M,1.51,-,12.77,-,6.31,0.70,1.00,1.80,0.79,-8.15%,-17.97%,-24.19%,38.47,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,20.12M,14.34M,3.76%,10.60,15.00,-36.43%,15.80%,7.90,-0.27,-30.70%,82.60%,16.40%,-0.13%,59.80%,0.14%,-,-,561,2.00
2018-10-26,20:19:03 ,8.55,1.42%,"36,149",51.12K,172.03M,-4.50M,241.50M,1.53,-,12.95,-,6.40,0.71,1.00,1.80,0.79,-5.94%,-16.30%,-23.06%,40.62,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,20.12M,14.34M,3.76%,10.54,15.00,-35.52%,17.45%,8.43,-0.27,-30.70%,82.60%,16.40%,-0.13%,59.80%,0.14%,-,-,561,2.00
2018-10-29,20:12:30 ,8.30,-2.92%,"22,787",51.19K,160.44M,-4.50M,241.50M,1.48,-,12.58,-,5.96,0.66,1.00,1.80,0.79,-7.68%,-18.25%,-25.26%,37.82,-2.10%,-6.10%,0.00%,18.00%,2.10%,-2.00%,19.33M,14.34M,3.62%,10.13,15.00,-37.41%,14.01%,8.55,-0.27,-30.70%,82.60%,16.40%,-0.14%,59.80%,0.14%,-,-,561,2.00
