date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:25:07 ,24.35,3.97%,"78,557",49.90K,766.98M,-,63.06M,5.28,-,-,-,-,12.16,-,-,-,-4.94%,-11.72%,-14.57%,40.71,-,-,-,-,-,-,31.50M,-,-,6.94,-,-32.17%,8.75%,23.42,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-17,22:19:34 ,24.20,-0.62%,"6,933",49.90K,762.26M,-,63.06M,5.25,-,-,-,-,12.09,-,-,-,-5.02%,-11.84%,-15.00%,39.46,-,-,-,-,-,-,31.50M,-,-,6.94,-,-32.59%,8.08%,24.35,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-18,22:55:55 ,24.43,0.95%,"10,428",49.00K,769.50M,-,63.06M,5.30,-,-,-,-,12.20,-,-,-,-3.52%,-10.56%,-14.09%,41.22,-,-,-,-,-,-,31.50M,-,-,7.07,-,-31.95%,9.11%,24.20,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-19,23:02:54 ,24.08,-1.43%,"18,970",46.80K,758.48M,-,63.06M,5.22,-,-,-,-,12.03,-,-,-,-4.28%,-11.43%,-15.22%,38.51,-,-,-,-,-,-,31.50M,-,-,7.40,-,-32.92%,7.55%,24.43,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-22,20:24:33 ,23.72,-1.50%,"15,369",46.33K,747.14M,-,63.06M,5.14,-,-,-,-,11.85,-,-,-,-5.20%,-12.33%,-16.39%,35.88,-,-,-,-,-,-,31.50M,-,-,7.48,-,-33.93%,5.94%,24.08,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-23,20:26:10 ,23.52,-0.84%,"35,732",45.56K,740.84M,-,63.06M,5.10,-,-,-,-,11.75,-,-,-,-5.41%,-12.62%,-16.99%,34.89,-,-,-,-,-,-,31.50M,-,-,7.60,-,-34.48%,5.05%,23.72,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-24,20:24:11 ,22.24,-5.44%,"17,611",44.75K,700.52M,-,63.06M,4.82,-,-,-,-,11.11,-,-,-,-9.93%,-16.98%,-21.41%,27.85,-,-,-,-,-,-,31.50M,-,-,7.74,-,-38.05%,-0.67%,23.52,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-25,20:25:13 ,22.09,-0.67%,"10,710",43.92K,695.80M,-,63.06M,4.79,-,-,-,-,11.03,-,-,-,-9.63%,-17.15%,-21.81%,27.09,-,-,-,-,-,-,31.50M,-,-,7.89,-,-38.47%,0.32%,22.24,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-26,20:24:26 ,22.00,-0.41%,"9,819",43.18K,692.96M,-,63.06M,4.77,-,-,-,-,10.99,-,-,-,-9.15%,-17.11%,-22.00%,26.72,-,-,-,-,-,-,31.50M,-,-,8.02,-,-38.72%,-0.09%,22.09,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
2018-10-29,20:17:10 ,22.32,1.45%,"13,979",42.53K,703.04M,-,63.06M,4.84,-,-,-,-,11.15,-,-,-,-6.93%,-15.50%,-20.74%,30.65,-,-,-,-,-,-,31.50M,-,-,4.87,-,-37.83%,2.62%,22.00,-0.79,-30.80%,-,-,-,8.17%,-,-,-,311,-
