date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:21:01 ,20.06,3.03%,"212,418",285.66K,1.11B,40.50M,737.40M,1.99,27.29,16.89,2.73,50.49,1.51,1.90,1.90,0.00,-2.84%,-7.45%,-9.34%,39.68,13.80%,18.70%,6.50%,34.70%,8.00%,13.10%,55.37M,38.78M,3.49%,4.73,25.33,-32.23%,14.61%,19.47,0.74,14.90%,49.00%,22.80%,0.06%,72.70%,0.26%,0.10,0.50%,3492,2.80
2018-10-17,22:15:17 ,19.35,-3.54%,"915,669",285.66K,1.07B,40.50M,737.40M,1.92,26.33,16.29,2.63,48.70,1.45,1.90,1.90,0.00,-5.83%,-10.53%,-12.54%,32.77,13.80%,18.70%,6.50%,34.70%,8.00%,13.10%,55.37M,38.78M,3.49%,4.73,25.33,-34.63%,10.55%,20.06,0.74,14.90%,49.00%,22.80%,0.06%,72.70%,0.26%,0.10,0.52%,3492,2.80
2018-10-18,22:51:45 ,19.28,-0.36%,"335,978",292.48K,1.07B,40.50M,737.40M,1.92,26.23,16.23,2.62,48.52,1.45,1.90,1.90,0.00,-5.60%,-10.60%,-12.83%,31.97,13.80%,18.70%,6.50%,34.70%,8.00%,13.10%,55.37M,38.78M,3.49%,4.62,25.33,-34.86%,10.15%,19.35,0.74,14.90%,49.00%,22.80%,0.06%,72.70%,0.26%,0.10,0.52%,3492,2.80
2018-10-19,22:58:49 ,19.28,0.00%,"205,586",277.19K,1.07B,40.50M,737.40M,1.92,26.23,16.23,2.62,48.52,1.45,1.90,1.90,0.00,-5.02%,-10.35%,-12.80%,32.49,13.80%,18.70%,6.50%,34.70%,8.00%,13.10%,55.37M,38.78M,3.49%,4.88,25.33,-34.86%,10.15%,19.28,0.74,14.90%,49.00%,22.80%,0.06%,72.70%,0.26%,0.10,0.52%,3492,2.80
2018-10-22,20:20:01 ,19.37,0.47%,"291,257",274.23K,1.06B,47.90M,766.40M,1.93,22.32,16.63,2.23,48.13,1.38,1.90,1.90,0.00,-4.14%,-9.68%,-12.37%,35.02,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,54.66M,38.77M,3.49%,4.93,23.67,-34.56%,10.66%,19.28,0.87,14.90%,49.00%,22.80%,0.06%,72.80%,0.38%,0.10,0.52%,3492,2.80
2018-10-23,20:21:42 ,18.93,-2.27%,"218,089",270.31K,1.03B,47.90M,766.40M,1.88,21.81,16.25,2.18,47.03,1.35,1.90,1.90,0.00,-5.92%,-11.47%,-14.34%,31.21,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,54.66M,38.77M,3.49%,5.00,23.67,-36.05%,3.73%,19.37,0.87,14.90%,49.00%,22.80%,0.06%,72.80%,0.38%,0.10,0.53%,3492,2.80
2018-10-24,20:19:43 ,18.22,-3.75%,"501,746",264.45K,995.91M,47.90M,766.40M,1.81,20.99,15.64,2.10,45.27,1.30,1.90,1.90,0.00,-8.98%,-14.51%,-17.51%,25.77,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,54.66M,38.77M,3.49%,5.11,23.67,-38.45%,-0.16%,18.93,0.87,14.90%,49.00%,22.80%,0.06%,72.80%,0.38%,0.10,0.55%,3492,2.80
2018-10-25,20:20:42 ,18.56,1.87%,"431,965",265.50K,1.01B,47.90M,766.40M,1.84,21.38,15.93,2.14,46.11,1.32,1.90,1.90,0.00,-6.68%,-12.54%,-15.91%,32.20,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,54.66M,38.77M,3.49%,5.09,23.67,-37.30%,2.09%,18.22,0.87,14.90%,49.00%,22.80%,0.06%,72.80%,0.38%,0.10,0.54%,3492,2.80
2018-10-26,20:19:37 ,18.42,-0.75%,"314,580",266.21K,1.01B,47.90M,766.40M,1.83,21.22,15.81,2.12,45.77,1.31,1.90,1.90,0.00,-6.86%,-12.89%,-16.48%,30.83,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,54.66M,38.77M,3.49%,5.08,23.67,-37.77%,1.49%,18.56,0.87,14.90%,49.00%,22.80%,0.00%,72.80%,0.38%,0.10,0.54%,3492,2.80
2018-10-29,20:13:02 ,18.76,1.85%,"313,830",260.51K,1.03B,47.90M,766.40M,1.86,21.61,16.10,2.16,46.97,1.35,1.90,1.90,0.00,-4.50%,-10.94%,-14.86%,36.70,13.20%,17.80%,6.50%,34.10%,7.40%,12.10%,55.08M,38.78M,3.05%,4.54,23.67,-36.62%,3.82%,18.42,0.87,14.90%,49.00%,22.80%,0.00%,72.80%,0.38%,0.10,0.53%,3492,2.80
