date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:23:58 ,11.39,0.18%,"80,295",54.52K,-,-,-,-,-,-,-,-,-,-,-,-,-2.83%,-5.03%,-8.07%,27.45,-,-,-,-,-,-,-,-,-,0.14,-,-20.46%,0.35%,11.37,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-17,19:18:29 ,11.40,0.09%,"74,606",55.20K,-,-,-,-,-,-,-,-,-,-,-,-,-2.55%,-4.81%,-7.90%,28.47,-,-,-,-,-,-,-,-,-,0.14,-,-20.39%,0.44%,11.39,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-18,19:56:38 ,11.40,0.00%,"60,770",55.92K,-,-,-,-,-,-,-,-,-,-,-,-,-2.38%,-4.67%,-7.80%,28.70,-,-,-,-,-,-,-,-,-,0.14,-,-20.39%,0.44%,11.40,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-19,20:05:18 ,11.36,-0.35%,"43,140",55.67K,-,-,-,-,-,-,-,-,-,-,-,-,-2.54%,-4.87%,-8.03%,26.13,-,-,-,-,-,-,-,-,-,0.14,-,-20.67%,0.09%,11.40,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-22,17:17:25 ,11.35,-0.09%,"54,459",55.71K,-,-,-,-,-,-,-,-,-,-,-,-,-2.42%,-4.82%,-8.02%,26.25,-,-,-,-,-,-,-,-,-,0.14,-,-20.74%,0.18%,11.36,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-23,17:18:02 ,11.33,-0.18%,"176,001",55.94K,-,-,-,-,-,-,-,-,-,-,-,-,-2.42%,-4.84%,-8.08%,25.35,-,-,-,-,-,-,-,-,-,0.14,-,-20.88%,0.00%,11.35,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-24,17:17:18 ,11.38,0.44%,"79,982",58.16K,-,-,-,-,-,-,-,-,-,-,-,-,-1.83%,-4.26%,-7.58%,31.44,-,-,-,-,-,-,-,-,-,0.13,-,-20.53%,0.53%,11.33,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-25,17:17:19 ,11.31,-0.62%,"147,928",58.79K,-,-,-,-,-,-,-,-,-,-,-,-,-2.24%,-4.72%,-8.06%,28.26,-,-,-,-,-,-,-,-,-,0.13,-,-21.02%,-0.09%,11.38,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-26,17:16:15 ,11.34,0.27%,"72,088",60.52K,-,-,-,-,-,-,-,-,-,-,-,-,-1.72%,-4.32%,-7.72%,30.80,-,-,-,-,-,-,-,-,-,0.13,-,-20.81%,0.27%,11.31,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-29,17:16:39 ,11.32,-0.18%,"133,476",60.51K,-,-,-,-,-,-,-,-,-,-,-,-,-1.58%,-4.35%,-7.79%,29.10,-,-,-,-,-,-,-,-,-,0.04,-,-20.95%,0.09%,11.34,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-30,17:16:51 ,11.32,0.00%,"118,197",62.04K,-,-,-,-,-,-,-,-,-,-,-,-,-1.27%,-4.21%,-7.70%,28.85,-,-,-,-,-,-,-,-,-,0.04,-,-20.95%,0.09%,11.32,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-10-31,17:16:52 ,11.34,0.18%,"139,649",63.10K,-,-,-,-,-,-,-,-,-,-,-,-,-0.79%,-3.89%,-7.45%,31.55,-,-,-,-,-,-,-,-,-,0.04,-,-20.81%,0.57%,11.32,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-01,17:16:59 ,11.50,1.41%,"123,138",64.35K,-,-,-,-,-,-,-,-,-,-,-,-,0.81%,-2.40%,-6.06%,47.57,-,-,-,-,-,-,-,-,-,0.04,-,-19.69%,1.99%,11.34,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-02,22:41:46 ,11.55,0.43%,"111,176",65.16K,-,-,-,-,-,-,-,-,-,-,-,-,1.30%,-1.84%,-5.57%,51.28,-,-,-,-,-,-,-,-,-,0.04,-,-19.34%,2.43%,11.50,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-05,16:16:51 ,11.65,0.87%,"49,788",66.43K,-,-,-,-,-,-,-,-,-,-,-,-,2.18%,-0.89%,-4.67%,57.43,-,-,-,-,-,-,-,-,-,0.04,-,-18.65%,3.32%,11.55,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-06,16:16:26 ,11.64,-0.09%,"103,469",66.78K,-,-,-,-,-,-,-,-,-,-,-,-,2.00%,-0.88%,-4.68%,56.14,-,-,-,-,-,-,-,-,-,0.04,-,-18.72%,3.23%,11.65,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-07,16:17:36 ,11.59,-0.43%,"128,419",68.00K,-,-,-,-,-,-,-,-,-,-,-,-,1.48%,-1.22%,-5.01%,52.56,-,-,-,-,-,-,-,-,-,0.03,-,-19.06%,2.78%,11.64,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-08,16:16:22 ,11.62,0.26%,"97,472",69.53K,-,-,-,-,-,-,-,-,-,-,-,-,1.71%,-0.88%,-4.69%,54.83,-,-,-,-,-,-,-,-,-,0.03,-,-18.85%,3.05%,11.59,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-09,17:07:06 ,11.73,0.95%,"177,969",70.19K,-,-,-,-,-,-,-,-,-,-,-,-,2.61%,0.15%,-3.71%,61.92,-,-,-,-,-,-,-,-,-,0.03,-,-18.09%,4.03%,11.62,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-12,18:57:29 ,12.01,2.39%,"213,335",72.62K,-,-,-,-,-,-,-,-,-,-,-,-,4.94%,2.63%,-1.35%,73.06,-,-,-,-,-,-,-,-,-,0.02,-,-16.13%,6.51%,11.73,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-13,16:16:32 ,12.05,0.33%,"207,184",75.58K,-,-,-,-,-,-,-,-,-,-,-,-,5.00%,3.01%,-0.98%,74.47,-,-,-,-,-,-,-,-,-,0.02,-,-15.85%,6.86%,12.01,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-14,16:16:39 ,11.94,-0.91%,"177,972",77.98K,-,-,-,-,-,-,-,-,-,-,-,-,3.74%,2.09%,-1.85%,66.41,-,-,-,-,-,-,-,-,-,0.02,-,-16.62%,5.89%,12.05,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-15,16:16:36 ,11.89,-0.42%,"55,149",79.90K,-,-,-,-,-,-,-,-,-,-,-,-,3.06%,1.70%,-2.22%,63.09,-,-,-,-,-,-,-,-,-,0.02,-,-16.97%,5.45%,11.94,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-16,16:16:35 ,11.96,0.59%,"75,984",80.52K,-,-,-,-,-,-,-,-,-,-,-,-,3.45%,2.34%,-1.60%,65.10,-,-,-,-,-,-,-,-,-,0.02,-,-16.48%,6.07%,11.89,-,-,-,-,-,-,-14.48%,-,-,-,-
2018-11-19,16:16:45 ,11.90,-0.50%,"35,189",81.08K,-,-,-,-,-,-,-,-,-,-,-,-,2.67%,1.86%,-2.06%,60.96,-,-,-,-,-,-,-,-,-,0.02,-,-16.90%,5.53%,11.96,-,-,-,-,-,-,-14.48%,-,-,-,-
