date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2019-02-11,17:11:56 ,25.50,0.10%,"4,076",7.35K,-,-,-,-,-,-,-,-,-,-,-,-,0.81%,1.46%,0.24%,55.04,-,-,-,-,-,-,-,-,-,0.38,-,-1.99%,7.35%,25.47,-,-,-,-,-,-,-,-,-,-,-
2019-02-12,17:12:00 ,25.44,-0.21%,"6,439",7.38K,-,-,-,-,-,-,-,-,-,-,-,-,0.53%,1.22%,0.03%,52.98,-,-,-,-,-,-,-,-,-,0.38,-,-2.20%,7.12%,25.50,-,-,-,-,-,-,-,-,-,-,-
2019-02-13,17:16:33 ,25.42,-0.08%,769,7.41K,-,-,-,-,-,-,-,-,-,-,-,-,0.38%,1.12%,-0.05%,52.35,-,-,-,-,-,-,-,-,-,0.38,-,-2.28%,7.03%,25.44,-,-,-,-,-,-,-,-,-,-,-
2019-02-14,17:16:05 ,25.60,0.71%,"2,420",7.33K,-,-,-,-,-,-,-,-,-,-,-,-,1.01%,1.80%,0.66%,57.09,-,-,-,-,-,-,-,-,-,0.38,-,-1.59%,7.79%,25.42,-,-,-,-,-,-,-,-,-,-,-
2019-02-15,17:12:18 ,25.54,-0.24%,"2,904",7.27K,-,-,-,-,-,-,-,-,-,-,-,-,0.67%,1.51%,0.42%,54.92,-,-,-,-,-,-,-,-,-,0.38,-,-1.83%,7.53%,25.60,-,-,-,-,-,-,-,-,-,-,-
2019-02-19,17:13:49 ,25.54,0.00%,"2,652",6.59K,-,-,-,-,-,-,-,-,-,-,-,-,0.63%,1.47%,0.42%,55.48,-,-,-,-,-,-,-,-,-,0.31,-,-1.83%,7.53%,25.54,-,-,-,-,-,-,-,-,-,-,-
2019-02-20,17:12:32 ,25.74,0.79%,"2,844",6.57K,-,-,-,-,-,-,-,-,-,-,-,-,1.33%,2.24%,1.22%,60.62,-,-,-,-,-,-,-,-,-,0.31,-,-1.05%,8.38%,25.54,-,-,-,-,-,-,-,-,-,-,-
2019-02-21,17:12:37 ,25.71,-0.12%,"6,514",6.58K,-,-,-,-,-,-,-,-,-,-,-,-,1.08%,2.07%,1.09%,59.64,-,-,-,-,-,-,-,-,-,0.31,-,-1.17%,8.25%,25.74,-,-,-,-,-,-,-,-,-,-,-
2019-02-22,17:13:23 ,25.69,-0.06%,456,6.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.85%,1.96%,1.03%,61.04,-,-,-,-,-,-,-,-,-,0.32,-,-1.23%,8.19%,25.71,-,-,-,-,-,-,-,-,-,-,-
2019-02-25,17:12:06 ,25.88,0.72%,"8,656",6.38K,-,-,-,-,-,-,-,-,-,-,-,-,1.46%,2.65%,1.76%,65.70,-,-,-,-,-,-,-,-,-,0.32,-,-0.51%,8.97%,25.69,-,-,-,-,-,-,-,-,-,-,-
2019-02-26,17:13:48 ,25.80,-0.31%,"11,455",6.39K,-,-,-,-,-,-,-,-,-,-,-,-,1.04%,2.27%,1.44%,62.20,-,-,-,-,-,-,-,-,-,0.32,-,-0.82%,8.63%,25.88,-,-,-,-,-,-,-,-,-,-,-
2019-02-27,17:11:48 ,25.90,0.39%,"40,755",6.44K,-,-,-,-,-,-,-,-,-,-,-,-,1.34%,2.62%,1.83%,65.58,-,-,-,-,-,-,-,-,-,0.32,-,-0.44%,9.05%,25.80,-,-,-,-,-,-,-,-,-,-,-
2019-02-28,17:12:28 ,26.12,0.85%,"52,067",6.84K,-,-,-,-,-,-,-,-,-,-,-,-,2.06%,3.44%,2.69%,70.63,-,-,-,-,-,-,-,-,-,0.30,-,0.41%,9.98%,25.90,-,-,-,-,-,-,-,-,-,-,-
2019-03-01,17:17:17 ,25.55,-2.18%,"13,739",7.58K,-,-,-,-,-,-,-,-,-,-,-,-,-0.34%,1.11%,0.44%,49.91,-,-,-,-,-,-,-,-,-,0.27,-,-2.18%,7.58%,26.12,-,-,-,-,-,-,-,-,-,-,-
2019-03-04,17:17:33 ,25.64,0.34%,"3,267",7.82K,-,-,-,-,-,-,-,-,-,-,-,-,0.05%,1.42%,0.78%,52.22,-,-,-,-,-,-,-,-,-,0.32,-,-1.85%,7.94%,25.55,-,-,-,-,-,-,-,-,-,-,-
2019-03-05,17:14:29 ,25.59,-0.18%,"11,763",7.91K,-,-,-,-,-,-,-,-,-,-,-,-,-0.16%,1.19%,0.60%,50.86,-,-,-,-,-,-,-,-,-,0.32,-,-2.03%,7.75%,25.64,-,-,-,-,-,-,-,-,-,-,-
2019-03-06,17:15:21 ,25.69,0.39%,"3,472",7.97K,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,1.55%,0.99%,53.47,-,-,-,-,-,-,-,-,-,0.32,-,-1.65%,8.17%,25.59,-,-,-,-,-,-,-,-,-,-,-
2019-03-07,17:15:34 ,25.67,-0.08%,"1,760",7.82K,-,-,-,-,-,-,-,-,-,-,-,-,0.12%,1.42%,0.91%,52.92,-,-,-,-,-,-,-,-,-,0.32,-,-1.72%,8.08%,25.69,-,-,-,-,-,-,-,-,-,-,-
