date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:25:55 ,1.06,2.24%,"302,468",1.11M,31.46M,-,-,4.53,-,-,-,-,-,-,-,-,-4.47%,10.89%,-14.46%,51.84,-,-,-,-,-,-,29.68M,24.00M,8.54%,1.85,-,-70.39%,85.96%,1.04,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-17,22:20:24 ,1.06,0.00%,"209,788",1.11M,31.46M,-,-,4.53,-,-,-,-,-,-,-,-,-4.64%,10.20%,-14.60%,51.85,-,-,-,-,-,-,29.68M,24.00M,8.54%,1.85,-,-70.39%,85.96%,1.06,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-18,22:56:43 ,1.02,-3.97%,"414,081",1.11M,30.21M,-,-,4.35,-,-,-,-,-,-,-,-,-8.76%,5.18%,-18.08%,48.75,-,-,-,-,-,-,29.68M,24.00M,8.54%,1.85,-,-71.57%,78.58%,1.06,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-19,23:03:41 ,1.02,0.59%,"459,001",1.11M,30.39M,-,-,4.38,-,-,-,-,-,-,-,-,-6.83%,5.36%,-17.63%,49.02,-,-,-,-,-,-,29.68M,24.00M,8.54%,1.84,-,-71.40%,79.63%,1.02,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-22,20:25:24 ,1.07,4.50%,"880,484",1.11M,31.79M,-,-,4.57,-,-,-,-,-,-,-,-,-1.63%,9.74%,-13.93%,52.91,-,-,-,-,-,-,29.71M,24.00M,8.54%,1.84,-,-70.11%,87.72%,1.02,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-23,20:27:00 ,1.05,-1.87%,"207,105",1.12M,31.20M,-,-,4.49,-,-,-,-,-,-,-,-,-2.61%,7.11%,-15.34%,51.30,-,-,-,-,-,-,29.71M,24.00M,8.54%,1.82,-,-70.67%,84.21%,1.07,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-24,20:25:02 ,1.04,-0.95%,"268,491",1.11M,30.90M,-,-,4.44,-,-,-,-,-,-,-,-,-2.64%,5.47%,-15.53%,50.77,-,-,-,-,-,-,29.71M,24.00M,8.54%,1.84,-,-70.95%,82.46%,1.05,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-25,20:26:04 ,1.04,0.00%,"147,834",1.08M,30.90M,-,-,4.44,-,-,-,-,-,-,-,-,-1.35%,4.92%,-15.30%,51.11,-,-,-,-,-,-,29.71M,24.00M,8.54%,1.90,-,-70.95%,82.46%,1.04,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-26,20:25:16 ,1.03,-0.97%,"326,006",1.07M,30.60M,-,-,4.40,-,-,-,-,-,-,-,-,-1.46%,3.33%,-15.94%,50.05,-,-,-,-,-,-,29.71M,24.00M,8.54%,1.92,-,-71.23%,80.68%,1.04,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-29,20:17:58 ,1.00,-2.90%,"214,342",1.07M,29.71M,-,-,4.27,-,-,-,-,-,-,-,-,-3.68%,-0.25%,-18.23%,47.60,-,-,-,-,-,-,29.71M,24.00M,7.13%,1.60,-,-72.07%,75.44%,1.03,-0.28,-,-,-,-,-,-,-,-,12,3.00
2018-10-30,20:19:08 ,0.99,-1.00%,"244,204",1.07M,29.41M,-,-,4.23,-,-,-,-,-,-,-,-,-4.09%,-1.71%,-18.67%,46.48,-,-,-,-,-,-,29.71M,24.00M,7.13%,1.60,-,-72.35%,73.68%,1.00,-0.28,-,-,-,-,-,-,-,-,12,3.00
