date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:27:25 ,8.20,4.19%,"13,408",13.78K,155.72M,-14.20M,356.20M,1.29,-,-,-,-,0.44,1.10,1.80,0.07,-4.78%,-6.04%,-16.36%,42.60,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.99M,17.93M,0.85%,11.10,15.00,-40.58%,8.61%,7.87,-0.76,12.30%,134.80%,5.00%,-0.80%,76.30%,0.01%,0.40,4.88%,911,-
2018-10-17,22:21:56 ,7.80,-4.88%,"4,798",13.78K,148.12M,-14.20M,356.20M,1.23,-,-,-,-,0.42,1.10,1.80,0.07,-9.01%,-10.62%,-20.30%,35.94,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.99M,17.93M,0.85%,11.10,15.00,-43.48%,3.31%,8.20,-0.76,12.30%,134.80%,5.00%,-0.80%,76.30%,0.01%,0.40,5.13%,911,-
2018-10-18,22:58:14 ,8.13,4.23%,"11,256",13.77K,154.39M,-14.20M,356.20M,1.28,-,-,-,-,0.43,1.10,1.80,0.07,-4.43%,-6.80%,-16.77%,44.79,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.99M,17.93M,0.85%,11.11,15.00,-41.09%,7.68%,7.80,-0.76,12.30%,134.80%,5.00%,-0.80%,76.30%,0.01%,0.40,4.92%,911,-
2018-10-19,23:05:11 ,8.30,2.09%,"25,043",13.85K,157.62M,-14.20M,356.20M,1.31,-,-,-,-,0.44,1.10,1.80,0.07,-1.73%,-4.63%,-14.87%,48.24,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.99M,17.93M,0.85%,11.05,15.00,-39.86%,9.93%,8.13,-0.76,12.30%,134.80%,5.00%,-0.80%,76.30%,0.01%,0.40,4.82%,911,-
2018-10-22,20:27:01 ,8.84,6.51%,"23,166",14.18K,165.57M,-14.20M,356.20M,1.39,-,-,-,-,0.46,1.10,1.80,0.07,5.01%,1.74%,-9.19%,57.71,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.73M,17.93M,0.85%,10.79,15.00,-35.94%,17.09%,8.30,-0.76,12.30%,134.80%,5.00%,-0.81%,76.30%,0.01%,0.40,4.52%,911,-
2018-10-23,20:28:37 ,9.03,2.15%,"13,811",14.40K,169.13M,-14.20M,356.20M,1.42,-,-,-,-,0.47,1.10,1.80,0.07,7.30%,3.97%,-7.11%,59.72,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.73M,17.93M,0.85%,10.62,15.00,-34.57%,19.60%,8.84,-0.76,12.30%,134.80%,5.00%,-0.81%,76.30%,0.01%,0.40,4.43%,911,-
2018-10-24,20:26:38 ,9.07,0.44%,"6,976",14.34K,169.88M,-14.20M,356.20M,1.43,-,-,-,-,0.48,1.10,1.80,0.07,7.73%,4.53%,-6.58%,59.88,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.73M,17.93M,0.85%,10.67,15.00,-34.28%,20.13%,9.03,-0.76,12.30%,134.80%,5.00%,-0.81%,76.30%,0.01%,0.40,4.41%,911,-
2018-10-25,20:27:42 ,9.45,4.19%,"24,801",14.34K,177.00M,-14.20M,356.20M,1.49,-,-,-,-,0.50,1.10,1.80,0.07,12.16%,8.94%,-2.54%,65.36,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.73M,17.93M,0.85%,10.67,15.00,-31.52%,25.17%,9.07,-0.76,12.30%,134.80%,5.00%,-0.81%,76.30%,0.01%,0.40,4.23%,911,-
2018-10-26,20:27:02 ,9.21,-2.54%,"13,051",14.58K,172.50M,-14.20M,356.20M,1.45,-,-,-,-,0.48,1.10,1.80,0.07,8.83%,6.04%,-4.90%,59.92,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,18.73M,17.93M,0.85%,10.49,15.00,-33.26%,21.99%,9.45,-0.76,12.30%,134.80%,5.00%,-0.81%,76.30%,0.01%,0.40,4.34%,911,-
2018-10-29,20:19:27 ,8.95,-2.82%,"19,103",14.66K,175.69M,-14.20M,356.20M,1.41,-,-,-,-,0.49,1.10,1.80,0.07,5.47%,2.96%,-7.46%,55.31,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.63M,17.93M,0.75%,9.12,15.00,-35.14%,18.54%,9.21,-0.76,12.30%,134.80%,5.00%,-0.77%,76.30%,-,0.40,4.47%,911,-
2018-10-30,20:20:39 ,9.05,1.12%,"8,024",14.76K,177.65M,-14.20M,356.20M,1.42,-,-,-,-,0.50,1.10,1.80,0.07,6.51%,4.10%,-6.28%,56.28,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.63M,17.93M,0.75%,9.05,15.00,-34.42%,19.87%,8.95,-0.76,12.30%,134.80%,5.00%,-0.77%,76.30%,-,0.40,4.42%,911,-
2018-10-31,20:19:11 ,8.85,-2.21%,"18,657",14.70K,173.73M,-14.20M,356.20M,1.39,-,-,-,-,0.49,1.10,1.80,0.07,3.87%,1.77%,-8.21%,52.37,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.63M,17.93M,0.75%,9.09,15.00,-35.87%,17.22%,9.05,-0.76,12.30%,134.80%,5.00%,-0.77%,76.30%,-,0.40,4.52%,911,-
2018-11-01,20:22:08 ,9.18,3.73%,"9,036",14.36K,180.20M,-14.20M,356.20M,1.44,-,-,-,-,0.51,1.10,1.80,0.07,7.60%,5.46%,-4.64%,57.34,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.63M,17.93M,0.75%,9.31,15.00,-33.48%,21.59%,8.85,-0.76,12.30%,134.80%,5.00%,-0.77%,76.30%,-,0.40,4.36%,911,-
2018-11-03,01:50:12 ,9.22,0.44%,"8,786",14.18K,180.99M,-14.20M,356.20M,1.45,-,-,-,-,0.51,1.10,1.80,0.07,7.79%,5.76%,-4.10%,58.51,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.63M,17.93M,0.75%,9.42,15.00,-33.19%,22.12%,9.18,-0.76,12.30%,134.80%,5.00%,-0.77%,76.30%,-,0.40,4.34%,911,-
2018-11-05,19:22:54 ,9.11,-1.19%,"7,635",14.09K,173.55M,-14.20M,356.20M,1.43,-,-,-,-,0.49,1.10,1.80,0.07,6.05%,4.30%,-5.11%,56.73,-7.10%,-11.50%,-11.70%,73.30%,0.70%,-4.00%,19.05M,17.93M,0.75%,9.48,15.00,-33.99%,20.66%,9.22,-0.76,12.30%,134.80%,5.00%,-0.79%,76.30%,0.02%,0.40,4.39%,911,-
