date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:23:44 ,39.98,1.45%,"88,030",218.55K,1.64B,157.90M,350.90M,3.06,9.56,8.48,0.96,101.36,4.68,0.50,0.50,0.00,5.38%,-5.56%,-17.25%,50.37,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,41.07M,21.55M,2.08%,2.05,55.44,-31.05%,19.33%,39.41,4.18,111.10%,-9.00%,9.29%,0.00%,94.10%,-1.07%,2.14,5.35%,143,1.80
2018-10-17,20:16:21 ,39.44,-1.35%,"438,882",218.55K,1.62B,157.90M,350.90M,3.02,9.43,8.36,0.94,99.99,4.62,0.50,0.50,0.00,3.66%,-6.28%,-18.28%,47.00,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,41.07M,21.55M,2.08%,2.05,55.44,-31.98%,17.71%,39.98,4.18,111.10%,-9.00%,9.29%,0.00%,94.10%,-1.07%,2.14,5.43%,143,1.80
2018-10-18,20:54:47 ,39.34,-0.25%,"206,886",223.06K,1.62B,157.90M,350.90M,3.01,9.41,8.34,0.94,99.73,4.60,0.50,0.50,0.00,3.05%,-5.99%,-18.40%,46.36,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,41.07M,21.55M,2.08%,2.01,55.44,-32.15%,17.42%,39.44,4.18,111.10%,-9.00%,9.29%,0.00%,94.10%,-1.07%,2.14,5.44%,143,1.80
2018-10-19,21:03:15 ,39.08,-0.66%,"124,255",221.52K,1.61B,157.90M,350.90M,2.99,9.34,8.29,0.93,99.08,4.57,0.50,0.50,0.00,2.03%,-6.16%,-18.83%,44.94,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,41.07M,21.55M,2.08%,2.03,55.44,-32.60%,16.64%,39.34,4.18,111.10%,-9.00%,9.29%,0.00%,94.10%,-1.07%,2.14,5.48%,143,1.80
2018-10-22,18:16:29 ,38.98,-0.26%,"101,988",221.42K,1.56B,157.90M,350.90M,2.99,9.32,8.27,0.93,96.08,4.44,0.50,0.50,0.00,1.50%,-5.94%,-18.92%,44.79,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,39.93M,21.55M,2.08%,2.03,55.11,-32.77%,16.34%,39.08,4.18,111.10%,-9.00%,9.29%,0.00%,92.10%,-2.38%,2.14,5.49%,143,1.80
2018-10-23,18:17:03 ,38.73,-0.64%,"118,678",220.93K,1.55B,157.90M,350.90M,2.97,9.26,8.21,0.93,95.46,4.41,0.50,0.50,0.00,0.22%,-6.09%,-19.33%,43.39,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,39.93M,21.55M,2.08%,2.03,55.11,-33.20%,15.59%,38.98,4.18,111.10%,-9.00%,9.29%,0.00%,92.10%,-2.38%,2.14,5.53%,143,1.80
2018-10-24,18:17:00 ,36.55,-5.63%,"107,116",220.12K,1.46B,157.90M,350.90M,2.80,8.74,7.75,0.87,90.09,4.16,0.50,0.50,0.00,-5.88%,-10.98%,-23.75%,34.12,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,39.93M,21.55M,2.08%,2.04,55.11,-36.96%,9.09%,38.73,4.18,111.10%,-9.00%,9.29%,0.00%,92.10%,-2.38%,2.14,5.85%,143,1.80
2018-10-25,18:16:54 ,35.80,-2.05%,"171,810",218.46K,1.43B,157.90M,350.90M,2.74,8.56,7.59,0.86,88.24,4.07,0.50,0.50,0.00,-8.09%,-12.32%,-25.18%,32.09,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,39.93M,21.55M,2.08%,2.06,55.11,-38.25%,6.85%,36.55,4.18,111.10%,-9.00%,9.29%,0.00%,92.10%,-2.38%,2.14,5.98%,143,1.80
2018-10-26,18:15:25 ,35.38,-1.17%,"147,769",216.35K,1.41B,157.90M,350.90M,2.71,8.46,7.50,0.85,87.21,4.03,0.50,0.50,0.00,-9.26%,-12.84%,-25.92%,31.38,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,39.93M,21.55M,2.08%,2.08,55.11,-38.98%,5.60%,35.80,4.18,111.10%,-9.00%,9.29%,0.00%,92.10%,-2.38%,2.14,6.05%,143,1.80
2018-10-29,18:15:29 ,34.87,-1.44%,"103,911",214.53K,1.40B,157.90M,350.90M,2.67,8.34,7.40,0.83,86.40,3.99,0.50,0.50,0.00,-10.56%,-13.61%,-26.84%,28.09,12.50%,35.80%,28.20%,64.30%,47.70%,45.00%,40.14M,21.55M,1.58%,1.59,55.11,-39.86%,4.07%,35.38,4.18,111.10%,-9.00%,9.29%,0.00%,92.30%,-2.21%,2.14,6.14%,143,1.80
