date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:25:06 ,15.41,-1.19%,"4,514",6.02K,51.01M,1.90M,2.60M,0.97,26.30,-,-,46.37,19.62,-,-,0.00,-0.26%,-0.46%,-2.20%,48.11,-,-,4.30%,85.60%,-,-,3.31M,3.30M,0.08%,0.42,-,-14.86%,2.73%,15.59,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.22%,-,-
2018-10-17,20:17:42 ,15.53,0.78%,558,6.02K,51.40M,1.90M,2.60M,0.98,26.50,-,-,46.73,19.77,-,-,0.00,0.40%,0.36%,-1.39%,51.26,-,-,4.30%,85.60%,-,-,3.31M,3.30M,0.08%,0.42,-,-14.20%,3.53%,15.41,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.19%,-,-
2018-10-18,20:56:08 ,15.71,1.16%,"1,747",5.98K,52.00M,1.90M,2.60M,0.99,26.81,-,-,47.27,20.00,-,-,0.00,1.43%,1.56%,-0.20%,55.60,-,-,4.30%,85.60%,-,-,3.31M,3.30M,0.08%,0.42,-,-13.20%,4.73%,15.53,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.14%,-,-
2018-10-19,21:04:36 ,15.63,-0.54%,"3,987",5.98K,51.72M,1.90M,2.60M,0.98,26.66,-,-,47.02,19.89,-,-,0.00,0.68%,0.99%,-0.71%,53.36,-,-,4.30%,85.60%,-,-,3.31M,3.30M,0.08%,0.42,-,-13.67%,4.17%,15.71,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.16%,-,-
2018-10-22,18:17:52 ,15.41,-1.38%,717,6.00K,51.16M,1.90M,2.60M,0.97,26.30,-,-,46.51,19.68,-,-,0.00,-0.84%,-0.37%,-2.03%,47.71,-,-,4.30%,85.60%,-,-,3.32M,3.30M,0.08%,0.42,-,-14.86%,2.73%,15.63,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.22%,-,-
2018-10-23,18:18:27 ,15.50,0.58%,737,5.90K,51.46M,1.90M,2.60M,0.98,26.45,-,-,46.78,19.79,-,-,0.00,-0.24%,0.25%,-1.40%,50.17,-,-,4.30%,85.60%,-,-,3.32M,3.30M,0.08%,0.43,-,-14.36%,3.33%,15.41,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.19%,-,-
2018-10-24,18:18:23 ,15.50,0.00%,"2,068",5.81K,51.46M,1.90M,2.60M,0.98,26.45,-,-,46.78,19.79,-,-,0.00,-0.21%,0.29%,-1.35%,50.17,-,-,4.30%,85.60%,-,-,3.32M,3.30M,0.08%,0.44,-,-14.36%,3.33%,15.50,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.19%,-,-
2018-10-25,18:18:17 ,15.49,-0.05%,"11,665",5.79K,51.43M,1.90M,2.60M,0.97,26.44,-,-,46.76,19.78,-,-,0.00,-0.25%,0.23%,-1.34%,50.16,-,-,4.30%,85.60%,-,-,3.32M,3.30M,0.08%,0.44,-,-14.41%,3.28%,15.50,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.20%,-,-
2018-10-26,18:16:47 ,15.41,-0.53%,"11,657",5.91K,51.16M,1.90M,2.60M,0.97,26.30,-,-,46.51,19.68,-,-,0.00,-0.87%,-0.29%,-1.79%,47.83,-,-,4.30%,85.60%,-,-,3.32M,3.30M,0.08%,0.43,-,-14.86%,2.73%,15.49,0.59,-18.80%,-121.90%,-,-,5.30%,-,0.65,4.22%,-,-
2018-10-29,18:16:52 ,15.55,0.91%,"4,209",6.03K,51.31M,-,2.65M,0.98,26.58,-,-,-,19.37,-,-,-,0.12%,0.64%,-0.83%,51.43,-,-,-,-,-,-,3.30M,-,-,0.93,-,-14.09%,3.67%,15.41,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.18%,-,-
2018-10-30,18:17:39 ,16.15,3.86%,"5,408",6.04K,53.28M,-,2.65M,1.02,27.61,-,-,-,20.12,-,-,-,4.02%,4.51%,3.05%,64.05,-,-,-,-,-,-,3.30M,-,-,0.92,-,-10.77%,7.67%,15.55,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.02%,-,-
2018-10-31,18:17:23 ,15.38,-4.77%,"18,732",6.08K,50.74M,-,2.65M,0.97,26.29,-,-,-,19.16,-,-,-,-1.07%,-0.56%,-1.83%,46.89,-,-,-,-,-,-,3.30M,-,-,0.92,-,-15.03%,2.53%,16.15,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.23%,-,-
2018-11-01,18:18:04 ,15.65,1.76%,"3,714",6.28K,51.64M,-,2.65M,0.98,26.75,-,-,-,19.49,-,-,-,0.72%,1.19%,-0.05%,51.86,-,-,-,-,-,-,3.30M,-,-,0.89,-,-13.54%,4.33%,15.38,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.15%,-,-
2018-11-02,23:40:54 ,15.72,0.46%,"4,315",6.20K,51.87M,-,2.65M,0.99,26.88,-,-,-,19.58,-,-,-,1.10%,1.62%,0.45%,52.93,-,-,-,-,-,-,3.30M,-,-,0.90,-,-13.14%,4.82%,15.65,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.13%,-,-
2018-11-05,17:17:52 ,15.78,0.34%,"1,565",6.13K,52.05M,-,2.65M,0.99,26.97,-,-,-,19.65,-,-,-,1.26%,1.94%,0.84%,53.61,-,-,-,-,-,-,3.30M,-,-,0.91,-,-12.84%,5.18%,15.72,0.59,-8.30%,-,-,-,5.35%,-,0.65,4.12%,-,-
