date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:30:40 ,18.45,0.54%,"9,617",33.89K,615.49M,-35.00M,-,5.10,-,-,-,5.72,-,34.90,34.90,0.00,-14.77%,-20.10%,-17.07%,35.76,-,-,-,-,-,-,33.36M,6.67M,24.40%,47.99,2992.95,-42.34%,97.96%,18.35,-1.09,-,-2.10%,15.48%,-,25.10%,-0.08%,-,-,20,1.30
2018-10-17,22:25:15 ,17.80,-3.52%,"17,521",33.89K,593.81M,-35.00M,-,4.92,-,-,-,5.52,-,34.90,34.90,0.00,-16.72%,-22.69%,-20.14%,33.69,-,-,-,-,-,-,33.36M,6.67M,24.40%,47.99,2992.95,-44.38%,90.99%,18.45,-1.09,-,-2.10%,15.48%,-,25.10%,-0.08%,-,-,20,1.30
2018-10-18,23:01:29 ,17.19,-3.43%,"36,671",34.09K,573.46M,-35.00M,-,4.75,-,-,-,5.33,-,34.90,34.90,0.00,-18.51%,-25.01%,-23.01%,31.90,-,-,-,-,-,-,33.36M,6.67M,24.40%,47.72,2992.95,-46.28%,84.44%,17.80,-1.09,-,-2.10%,15.48%,-,25.10%,-0.08%,-,-,20,1.30
2018-10-19,23:08:23 ,20.30,18.09%,"78,021",34.24K,677.21M,-35.00M,-,5.61,-,-,-,6.29,-,34.90,34.90,0.00,-2.24%,-11.03%,-9.23%,47.39,-,-,-,-,-,-,33.36M,6.67M,24.40%,47.51,2992.95,-36.56%,117.81%,17.19,-1.09,-,-2.10%,15.48%,-,25.10%,-0.08%,-,-,20,1.30
2018-10-22,20:30:34 ,18.10,-10.84%,"41,475",34.74K,487.61M,-34.40M,-,5.08,-,-,-,4.60,-,34.90,34.90,0.00,-12.39%,-20.47%,-19.25%,39.62,-,-,-,-,-,-,26.94M,6.67M,24.40%,46.83,2936.01,-43.44%,94.21%,20.30,-1.07,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-23,20:32:07 ,16.87,-6.80%,"84,227",34.66K,454.48M,-34.40M,-,4.74,-,-,-,4.29,-,34.90,34.90,0.00,-17.44%,-25.56%,-24.86%,36.52,-,-,-,-,-,-,26.94M,6.67M,24.40%,46.93,2936.01,-47.28%,81.01%,18.10,-1.07,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-24,20:30:07 ,17.58,4.21%,"16,778",34.89K,473.61M,-34.40M,-,4.94,-,-,-,4.47,-,34.90,34.90,0.00,-12.57%,-22.00%,-21.77%,39.66,-,-,-,-,-,-,26.94M,6.67M,24.40%,46.63,2936.01,-45.06%,88.63%,16.87,-1.07,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-25,20:31:14 ,16.33,-7.11%,"32,134",33.42K,439.93M,-34.40M,-,4.59,-,-,-,4.15,-,34.90,34.90,0.00,-17.57%,-27.19%,-27.41%,36.54,-,-,-,-,-,-,26.94M,6.67M,24.40%,48.67,2936.01,-48.97%,75.21%,17.58,-1.07,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-26,20:30:36 ,17.79,8.94%,"31,621",32.76K,479.26M,-34.40M,-,5.00,-,-,-,4.53,-,34.90,34.90,0.00,-8.02%,-20.12%,-20.98%,43.24,-,-,-,-,-,-,26.94M,6.67M,24.40%,49.64,2936.01,-44.41%,90.88%,16.33,-1.07,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-29,20:22:38 ,19.48,9.50%,"111,014",31.94K,566.09M,-33.80M,-,5.55,-,-,-,5.43,-,34.90,34.90,0.00,2.60%,-12.03%,-13.55%,49.41,-,-,-,-,-,-,29.06M,26.89M,6.54%,55.05,2936.01,-39.13%,109.01%,17.79,-1.06,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
2018-10-30,20:23:54 ,17.12,-12.11%,"105,340",33.37K,497.51M,-33.80M,-,4.88,-,-,-,4.77,-,34.90,34.90,0.00,-9.09%,-22.31%,-24.11%,42.07,-,-,-,-,-,-,29.06M,26.89M,6.54%,52.70,2936.01,-46.50%,83.69%,19.48,-1.06,-,-2.10%,15.48%,-,25.10%,0.03%,-,-,20,1.40
