date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:22:21 ,89.63,6.32%,"1,164,510",853.19K,4.79B,-35.00M,383.20M,16.54,-,114.76,-,6.64,12.49,3.80,3.80,1.28,-1.69%,-9.06%,3.60%,46.12,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,53.41M,45.94M,7.39%,3.98,113.92,-21.91%,80.85%,84.30,-0.63,35.10%,66.30%,0.80%,-66.74%,79.20%,-0.73%,-,-,1164,2.30
2018-10-17,20:15:00 ,88.52,-1.24%,"482,890",853.19K,4.73B,-35.00M,383.20M,16.33,-,113.34,-,6.56,12.34,3.80,3.80,1.28,-2.34%,-9.95%,2.12%,44.71,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,53.41M,45.94M,7.39%,3.98,113.92,-22.88%,78.61%,89.63,-0.63,35.10%,66.30%,0.80%,-66.84%,79.20%,-0.73%,-,-,1164,2.30
2018-10-18,20:53:26 ,86.88,-1.85%,"861,993",851.89K,4.64B,-35.00M,383.20M,16.03,-,111.24,-,6.44,12.11,3.80,3.80,1.28,-3.60%,-11.34%,0.06%,42.21,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,53.41M,45.94M,7.39%,3.99,113.92,-24.31%,75.30%,88.52,-0.63,35.10%,66.30%,0.80%,-66.84%,79.20%,-0.73%,-,-,1164,2.30
2018-10-19,21:01:54 ,84.10,-3.20%,"1,228,090",857.98K,4.49B,-35.00M,383.20M,15.52,-,107.68,-,6.23,11.72,3.80,3.80,1.28,-6.10%,-13.90%,-3.29%,38.23,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,53.41M,45.94M,7.39%,3.96,113.92,-26.73%,69.69%,86.88,-0.63,35.10%,66.30%,0.80%,-66.74%,79.20%,-0.73%,-,-,1164,2.30
2018-10-22,18:15:06 ,86.68,3.07%,"437,153",869.15K,5.06B,-35.00M,383.20M,15.99,-,110.99,-,7.02,13.21,3.80,3.80,1.28,-2.59%,-10.86%,-0.47%,43.55,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,58.38M,45.94M,7.39%,3.91,113.92,-24.48%,74.90%,84.10,-0.63,35.10%,66.30%,0.80%,-64.74%,79.00%,-0.86%,-,-,1164,2.30
2018-10-23,18:15:40 ,87.14,0.53%,"680,093",868.08K,5.09B,-35.00M,383.20M,16.08,-,111.57,-,7.06,13.28,3.80,3.80,1.28,-1.57%,-10.03%,-0.10%,43.55,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,58.38M,45.94M,7.39%,3.91,113.92,-24.08%,75.83%,86.68,-0.63,35.10%,66.30%,0.80%,-64.74%,79.00%,-0.86%,-,-,1164,2.30
2018-10-24,18:15:37 ,82.12,-5.76%,"623,777",872.40K,4.79B,-35.00M,383.20M,15.15,-,105.15,-,6.65,12.51,3.80,3.80,1.28,-6.65%,-14.92%,-6.01%,36.93,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,58.38M,45.94M,7.39%,3.89,113.92,-28.45%,65.70%,87.14,-0.63,35.10%,66.30%,0.80%,-64.53%,79.00%,-0.86%,-,-,1164,2.30
2018-10-25,18:15:31 ,85.03,3.54%,"726,204",871.01K,4.96B,-35.00M,383.20M,15.69,-,108.87,-,6.88,12.95,3.80,3.80,1.28,-2.54%,-11.49%,-2.81%,42.60,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,58.38M,45.94M,7.39%,3.90,113.92,-25.92%,71.57%,82.12,-0.63,35.10%,66.30%,0.80%,-64.53%,79.00%,-0.86%,-,-,1164,2.30
2018-10-26,18:14:02 ,83.82,-1.42%,"789,371",873.42K,4.89B,-35.00M,383.20M,15.46,-,107.32,-,6.79,12.77,3.80,3.80,1.28,-3.33%,-12.44%,-4.34%,41.13,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,58.38M,45.94M,7.39%,3.89,113.92,-26.97%,69.13%,85.03,-0.63,35.10%,66.30%,0.80%,-64.53%,79.00%,-0.86%,-,-,1164,2.30
2018-10-29,18:14:08 ,84.33,0.61%,"951,681",876.79K,4.83B,-35.00M,383.20M,15.56,-,107.98,-,6.71,12.62,3.80,3.80,1.28,-2.15%,-11.58%,-3.89%,42.25,-6.70%,-15.20%,-22.20%,83.10%,-8.90%,-9.10%,57.33M,45.94M,7.46%,3.91,113.92,-26.53%,70.16%,83.82,-0.63,35.10%,66.30%,0.80%,-64.95%,79.00%,-0.84%,-,-,1164,2.10
