date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:26:03 ,12.19,-0.65%,"10,645",11.56K,-,-,-,-,-,-,-,-,-,-,-,-,-3.83%,-6.47%,-10.61%,15.86,-,-,-,-,-,-,-,-,-,0.09,-,-21.14%,0.25%,12.27,-,-,-,-,-,6.97%,-,0.61,5.00%,-,-
2018-10-17,20:18:39 ,12.13,-0.49%,"43,326",11.56K,-,-,-,-,-,-,-,-,-,-,-,-,-3.95%,-6.78%,-10.97%,14.84,-,-,-,-,-,-,-,-,-,0.09,-,-21.53%,-0.25%,12.19,-,-,-,-,-,6.97%,-,0.61,5.03%,-,-
2018-10-18,20:57:04 ,12.22,0.73%,"12,387",11.87K,-,-,-,-,-,-,-,-,-,-,-,-,-2.91%,-5.94%,-10.24%,23.91,-,-,-,-,-,-,-,-,-,0.09,-,-20.60%,1.73%,12.13,-,-,-,-,-,6.97%,-,0.61,4.99%,-,-
2018-10-19,21:05:33 ,12.22,0.02%,"11,682",11.62K,-,-,-,-,-,-,-,-,-,-,-,-,-2.57%,-5.76%,-10.15%,24.19,-,-,-,-,-,-,-,-,-,0.09,-,-20.59%,1.75%,12.22,-,-,-,-,-,6.97%,-,0.61,4.99%,-,-
2018-10-22,18:18:49 ,12.19,-0.25%,"14,251",11.65K,-,-,-,-,-,-,-,-,-,-,-,-,-2.51%,-5.84%,-10.29%,23.44,-,-,-,-,-,-,-,-,-,0.09,-,-20.78%,1.50%,12.22,-,-,-,-,-,6.97%,-,0.61,5.00%,-,-
2018-10-23,18:19:26 ,12.26,0.57%,"13,327",11.56K,-,-,-,-,-,-,-,-,-,-,-,-,-1.68%,-5.14%,-9.68%,30.57,-,-,-,-,-,-,-,-,-,0.09,-,-20.33%,2.08%,12.19,-,-,-,-,-,6.97%,-,0.61,4.98%,-,-
2018-10-24,18:19:23 ,12.27,0.08%,"10,900",11.52K,-,-,-,-,-,-,-,-,-,-,-,-,-1.39%,-4.91%,-9.53%,31.45,-,-,-,-,-,-,-,-,-,0.09,-,-20.26%,2.16%,12.26,-,-,-,-,-,6.97%,-,0.61,4.97%,-,-
2018-10-25,18:19:13 ,12.27,0.00%,"2,800",11.42K,-,-,-,-,-,-,-,-,-,-,-,-,-1.23%,-4.75%,-9.44%,31.92,-,-,-,-,-,-,-,-,-,0.09,-,-20.26%,2.16%,12.27,-,-,-,-,-,6.97%,-,0.61,4.97%,-,-
2018-10-26,18:17:42 ,12.18,-0.73%,"26,317",11.37K,-,-,-,-,-,-,-,-,-,-,-,-,-1.79%,-5.31%,-10.02%,27.77,-,-,-,-,-,-,-,-,-,0.09,-,-20.85%,1.42%,12.27,-,-,-,-,-,6.97%,-,0.61,5.01%,-,-
2018-10-29,18:17:49 ,12.17,-0.08%,"16,980",11.46K,-,-,-,-,-,-,-,-,-,-,-,-,-1.64%,-5.22%,-10.01%,26.69,-,-,-,-,-,-,-,-,-,0.02,-,-20.91%,1.33%,12.18,-,-,-,-,-,6.97%,-,0.61,5.01%,-,-
