date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:25:57 ,11.53,0.52%,"94,434",40.33K,269.37M,-,20.79M,0.81,49.06,-,-,-,12.96,-,-,-,-1.75%,-3.58%,-4.77%,25.34,-,-,-,-,-,-,23.36M,-,-,0.01,-,-10.70%,0.61%,11.47,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.60%,-,-
2018-10-17,20:18:32 ,11.55,0.17%,"57,781",40.33K,269.83M,-,20.79M,0.81,49.15,-,-,-,12.98,-,-,-,-1.41%,-3.32%,-4.56%,28.70,-,-,-,-,-,-,23.36M,-,-,0.01,-,-10.41%,0.87%,11.53,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.59%,-,-
2018-10-18,20:56:58 ,11.61,0.52%,"73,236",40.80K,271.24M,-,20.79M,0.81,49.40,-,-,-,13.05,-,-,-,-0.74%,-2.73%,-4.03%,37.33,-,-,-,-,-,-,23.36M,-,-,0.01,-,-9.94%,1.40%,11.55,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-10-19,21:05:26 ,11.50,-0.95%,"97,400",41.52K,268.67M,-,20.79M,0.80,48.94,-,-,-,12.92,-,-,-,-1.58%,-3.56%,-4.89%,30.24,-,-,-,-,-,-,23.36M,-,-,0.01,-,-10.80%,0.44%,11.61,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.61%,-,-
2018-10-22,18:18:43 ,11.56,0.52%,"83,432",42.87K,270.07M,-,20.79M,0.81,49.19,-,-,-,12.99,-,-,-,-0.93%,-2.96%,-4.35%,36.19,-,-,-,-,-,-,23.36M,-,-,0.01,-,-10.05%,0.96%,11.50,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-10-23,18:19:19 ,11.62,0.49%,"95,899",43.00K,271.39M,-,20.79M,0.81,49.43,-,-,-,13.05,-,-,-,-0.34%,-2.39%,-3.84%,41.22,-,-,-,-,-,-,23.36M,-,-,0.01,-,-9.61%,1.46%,11.56,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.56%,-,-
2018-10-24,18:19:16 ,11.62,0.03%,"29,693",44.04K,271.47M,-,20.79M,0.81,49.45,-,-,-,13.06,-,-,-,-0.25%,-2.27%,-3.77%,41.28,-,-,-,-,-,-,23.36M,-,-,0.01,-,-9.51%,1.48%,11.62,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.56%,-,-
2018-10-25,18:19:07 ,11.61,-0.04%,"65,403",44.18K,271.35M,-,20.79M,0.81,49.43,-,-,-,13.05,-,-,-,-0.23%,-2.23%,-3.77%,41.22,-,-,-,-,-,-,23.36M,-,-,0.01,-,-9.55%,1.44%,11.62,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.56%,-,-
2018-10-26,18:17:36 ,11.58,-0.30%,"108,756",44.71K,270.53M,-,20.79M,0.81,49.28,-,-,-,13.01,-,-,-,-0.46%,-2.45%,-4.02%,38.66,-,-,-,-,-,-,23.36M,-,-,0.01,-,-9.83%,1.14%,11.61,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-10-29,18:17:43 ,11.58,0.00%,"34,134",45.59K,270.53M,-,20.79M,0.81,49.28,-,-,-,13.01,-,-,-,-0.38%,-2.36%,-3.99%,39.13,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.83%,1.14%,11.58,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-10-30,18:18:30 ,11.57,-0.09%,"60,808",45.62K,270.30M,-,20.79M,0.81,49.23,-,-,-,13.00,-,-,-,-0.37%,-2.36%,-4.03%,37.59,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.90%,1.05%,11.58,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-10-31,18:18:14 ,11.56,-0.09%,"53,325",46.25K,270.07M,-,20.79M,0.81,49.19,-,-,-,12.99,-,-,-,-0.35%,-2.35%,-4.08%,37.08,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.98%,0.96%,11.57,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-11-01,18:18:55 ,11.61,0.43%,"23,041",46.83K,271.24M,-,20.79M,0.81,49.40,-,-,-,13.05,-,-,-,0.18%,-1.84%,-3.63%,43.54,-,-,-,-,-,-,23.36M,-,-,0.44,-,-9.59%,1.40%,11.56,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-11-02,23:41:46 ,11.59,-0.17%,"18,367",45.64K,270.77M,-,20.79M,0.81,49.32,-,-,-,13.02,-,-,-,0.10%,-1.92%,-3.76%,41.68,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.75%,1.22%,11.61,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-11-05,17:18:43 ,11.61,0.17%,"25,401",45.63K,271.24M,-,20.79M,0.81,49.40,-,-,-,13.05,-,-,-,0.33%,-1.66%,-3.56%,44.50,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.59%,1.40%,11.59,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-11-06,17:16:48 ,11.56,-0.45%,"55,663",45.57K,270.02M,-,20.79M,0.81,49.18,-,-,-,12.99,-,-,-,-0.10%,-1.99%,-3.95%,39.05,-,-,-,-,-,-,23.36M,-,-,0.45,-,-10.00%,0.94%,11.61,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.59%,-,-
2018-11-07,17:22:14 ,11.60,0.36%,"38,856",46.15K,271.00M,-,20.79M,0.81,49.36,-,-,-,13.03,-,-,-,0.29%,-1.52%,-3.57%,44.68,-,-,-,-,-,-,23.36M,-,-,0.45,-,-9.67%,1.31%,11.56,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-11-08,17:16:34 ,11.65,0.43%,"24,375",46.57K,272.17M,-,20.79M,0.82,49.57,-,-,-,13.09,-,-,-,0.71%,-0.99%,-3.12%,50.02,-,-,-,-,-,-,23.36M,-,-,0.44,-,-9.28%,1.75%,11.60,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.55%,-,-
2018-11-09,18:04:16 ,11.70,0.43%,"21,031",46.50K,273.34M,-,20.79M,0.82,49.79,-,-,-,13.15,-,-,-,1.10%,-0.48%,-2.67%,55.35,-,-,-,-,-,-,23.36M,-,-,0.44,-,-8.89%,2.18%,11.65,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.53%,-,-
2018-11-12,19:58:15 ,11.66,-0.30%,"36,867",46.01K,272.52M,-,20.79M,0.82,49.64,-,-,-,13.11,-,-,-,0.70%,-0.71%,-2.94%,51.02,-,-,-,-,-,-,23.36M,-,-,0.22,-,-9.16%,1.88%,11.70,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.54%,-,-
2018-11-13,17:17:36 ,11.66,-0.04%,"52,677",46.44K,272.40M,-,20.79M,0.82,49.62,-,-,-,13.10,-,-,-,0.57%,-0.67%,-2.95%,50.98,-,-,-,-,-,-,23.36M,-,-,0.21,-,-9.20%,1.83%,11.66,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.55%,-,-
2018-11-14,17:17:18 ,11.59,-0.60%,"94,599",46.99K,270.77M,-,20.79M,0.81,49.32,-,-,-,13.02,-,-,-,-0.09%,-1.20%,-3.51%,43.97,-,-,-,-,-,-,23.36M,-,-,0.21,-,-9.75%,1.22%,11.66,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.57%,-,-
2018-11-15,17:17:04 ,11.56,-0.26%,"42,955",47.83K,270.07M,-,20.79M,0.81,49.19,-,-,-,12.99,-,-,-,-0.36%,-1.37%,-3.73%,41.45,-,-,-,-,-,-,23.36M,-,-,0.21,-,-9.98%,0.96%,11.59,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-11-16,17:17:11 ,11.57,0.09%,"34,471",48.16K,270.30M,-,20.79M,0.81,49.23,-,-,-,13.00,-,-,-,-0.26%,-1.20%,-3.62%,43.20,-,-,-,-,-,-,23.36M,-,-,0.21,-,-9.90%,1.05%,11.56,0.24,-4.60%,-87.00%,-,-,14.82%,-,0.53,4.58%,-,-
2018-11-19,17:17:02 ,11.56,-0.09%,"89,178",48.44K,270.07M,-,20.79M,0.81,49.19,-,-,-,12.99,-,-,-,-0.37%,-1.20%,-3.68%,42.24,-,-,-,-,-,-,23.36M,-,-,0.21,-,-9.98%,0.96%,11.57,0.24,-4.60%,-87.00%,-,-,14.99%,-,0.53,4.58%,-,-
2018-11-20,17:17:08 ,11.59,0.26%,"99,263",49.67K,270.77M,-,20.79M,0.81,49.32,-,-,-,13.02,-,-,-,-0.11%,-0.86%,-3.41%,46.16,-,-,-,-,-,-,23.36M,-,-,0.20,-,-9.75%,1.22%,11.56,0.24,-4.60%,-87.00%,-,-,14.99%,-,0.53,4.57%,-,-
2018-11-21,17:17:18 ,11.54,-0.43%,"25,035",50.75K,269.60M,-,20.79M,0.81,49.11,-,-,-,12.97,-,-,-,-0.53%,-1.22%,-3.80%,41.66,-,-,-,-,-,-,23.36M,-,-,0.20,-,-10.14%,0.79%,11.59,0.24,-4.60%,-87.00%,-,-,14.99%,-,0.53,4.59%,-,-
2018-11-23,17:19:20 ,11.60,0.52%,"16,825",50.89K,271.00M,-,20.79M,0.81,49.36,-,-,-,13.03,-,-,-,0.02%,-0.62%,-3.27%,48.13,-,-,-,-,-,-,23.36M,-,-,0.20,-,-9.67%,1.31%,11.54,0.24,-4.60%,-87.00%,-,-,14.99%,-,0.53,4.57%,-,-
2018-11-26,17:17:30 ,11.61,0.09%,"144,325",50.38K,271.24M,-,20.79M,0.81,49.40,-,-,-,13.05,-,-,-,0.11%,-0.47%,-3.17%,49.14,-,-,-,-,-,-,23.36M,-,-,0.20,-,-9.59%,1.40%,11.60,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.57%,-,-
2018-11-27,17:16:40 ,11.60,-0.09%,"76,546",52.16K,271.00M,-,20.79M,0.81,49.36,-,-,-,13.03,-,-,-,0.01%,-0.49%,-3.23%,47.66,-,-,-,-,-,-,23.36M,-,-,0.19,-,-9.67%,1.31%,11.61,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.57%,-,-
2018-11-28,17:15:58 ,11.63,0.26%,"47,909",53.03K,271.70M,-,20.79M,0.81,49.49,-,-,-,13.07,-,-,-,0.26%,-0.17%,-2.96%,50.84,-,-,-,-,-,-,23.36M,-,-,0.19,-,-9.44%,1.57%,11.60,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.56%,-,-
2018-11-29,17:16:50 ,11.70,0.60%,"45,394",53.12K,273.34M,-,20.79M,0.82,49.79,-,-,-,13.15,-,-,-,0.84%,0.49%,-2.35%,57.18,-,-,-,-,-,-,23.36M,-,-,0.19,-,-8.89%,2.18%,11.63,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.53%,-,-
2018-11-30,17:16:51 ,11.70,0.00%,"46,582",53.39K,273.34M,-,20.79M,0.82,49.79,-,-,-,13.15,-,-,-,0.78%,0.52%,-2.33%,57.14,-,-,-,-,-,-,23.36M,-,-,0.19,-,-8.89%,2.18%,11.70,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.53%,-,-
2018-12-03,17:18:49 ,11.79,0.77%,"18,337",53.45K,275.44M,-,20.79M,0.83,50.17,-,-,-,13.25,-,-,-,1.51%,1.32%,-1.56%,64.27,-,-,-,-,-,-,23.36M,-,-,0.03,-,-8.19%,2.97%,11.70,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.50%,-,-
2018-12-04,17:17:36 ,11.83,0.34%,"60,523",53.53K,276.37M,-,20.79M,0.83,50.34,-,-,-,13.29,-,-,-,1.77%,1.68%,-1.21%,67.65,-,-,-,-,-,-,23.36M,-,-,0.03,-,-7.88%,3.32%,11.79,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.48%,-,-
2018-12-06,17:16:53 ,11.94,0.93%,"87,446",53.65K,278.94M,-,20.79M,0.84,50.81,-,-,-,13.42,-,-,-,2.62%,2.62%,-0.28%,74.79,-,-,-,-,-,-,23.36M,-,-,0.03,-,-7.02%,4.28%,11.83,0.24,-4.60%,-87.00%,-,-,14.69%,-,0.53,4.44%,-,-
