date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:20:50 ,42.65,1.11%,"2,182,822",3.28M,16.31B,-326.00M,7.71B,1.16,-,42.40,-,14.29,2.12,1.80,3.20,0.20,-2.25%,-4.37%,4.50%,44.05,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,382.53M,381.49M,3.95%,4.60,45.74,-13.10%,35.53%,42.18,-0.87,19.70%,131.70%,0.20%,-45.21%,98.90%,-0.05%,0.20,0.47%,31321,2.80
2018-10-17,20:13:30 ,41.87,-1.83%,"2,322,508",3.28M,16.02B,-326.00M,7.71B,1.14,-,41.62,-,14.02,2.08,1.80,3.20,0.20,-3.83%,-5.95%,2.51%,39.71,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,382.53M,381.49M,3.95%,4.60,45.74,-14.69%,33.05%,42.65,-0.87,19.70%,131.70%,0.20%,-45.21%,98.90%,-0.05%,0.20,0.48%,31321,2.80
2018-10-18,20:51:56 ,40.75,-2.67%,"3,075,166",3.26M,15.59B,-326.00M,7.71B,1.11,-,40.51,-,13.65,2.02,1.80,3.20,0.20,-6.12%,-8.27%,-0.30%,34.35,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,382.53M,381.49M,3.95%,4.62,45.74,-16.97%,29.49%,41.87,-0.87,19.70%,131.70%,0.20%,-45.21%,98.90%,-0.05%,0.20,0.49%,31321,2.80
2018-10-19,21:00:24 ,40.40,-0.86%,"2,407,069",3.27M,15.45B,-326.00M,7.71B,1.10,-,40.16,-,13.53,2.01,1.80,3.20,0.20,-6.70%,-8.83%,-1.19%,32.50,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,382.53M,381.49M,3.95%,4.62,45.74,-17.69%,28.38%,40.75,-0.87,19.70%,131.70%,0.20%,-45.21%,98.90%,-0.05%,0.20,0.50%,31321,2.80
2018-10-22,18:13:31 ,40.27,-0.32%,"2,099,573",3.27M,15.54B,-326.00M,7.71B,1.10,-,39.91,-,13.61,2.02,1.80,3.20,0.20,-6.70%,-8.91%,-1.53%,32.35,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,385.93M,381.49M,3.95%,4.62,45.79,-17.95%,27.96%,40.40,-0.87,19.70%,131.70%,0.20%,-44.99%,98.80%,-0.11%,0.20,0.50%,31321,2.80
2018-10-23,18:14:08 ,38.82,-3.60%,"3,528,443",3.27M,14.98B,-326.00M,7.71B,1.06,-,38.47,-,13.12,1.94,1.80,3.20,0.20,-9.72%,-11.96%,-5.10%,27.26,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,385.93M,381.49M,3.95%,4.61,45.79,-20.90%,23.36%,40.27,-0.87,19.70%,131.70%,0.20%,-44.99%,98.80%,-0.11%,0.20,0.52%,31321,2.80
2018-10-24,18:14:03 ,36.85,-5.07%,"3,477,253",3.29M,14.22B,-326.00M,7.71B,1.00,-,36.52,-,12.45,1.85,1.80,3.20,0.20,-13.84%,-16.20%,-9.92%,21.08,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,385.93M,381.49M,3.95%,4.58,45.79,-24.92%,17.10%,38.82,-0.87,19.70%,131.70%,0.20%,-44.99%,98.80%,-0.11%,0.20,0.54%,31321,2.80
2018-10-25,18:13:58 ,37.01,0.43%,"4,463,188",3.31M,14.28B,-326.00M,7.71B,1.01,-,36.68,-,12.51,1.85,1.80,3.20,0.20,-12.84%,-15.51%,-9.51%,21.96,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,385.93M,381.49M,3.95%,4.55,45.79,-24.59%,17.60%,36.85,-0.87,19.70%,131.70%,0.20%,-44.99%,98.80%,-0.11%,0.20,0.54%,31321,2.80
2018-10-26,18:12:31 ,35.89,-3.03%,"6,581,166",3.35M,13.85B,-326.00M,7.71B,0.98,-,35.57,-,12.13,1.80,1.80,3.20,0.20,-14.88%,-17.82%,-12.24%,18.84,-0.40%,-0.60%,-2.20%,14.20%,-0.90%,-1.10%,385.93M,381.49M,3.95%,4.51,45.79,-26.87%,14.05%,37.01,-0.87,19.70%,131.70%,0.20%,-44.99%,98.80%,-0.11%,0.20,0.56%,31321,2.80
2018-10-29,18:12:37 ,35.11,-2.17%,"3,984,478",3.39M,13.85B,-326.00M,7.71B,0.95,-,35.86,-,12.13,1.80,1.80,3.20,0.20,-16.01%,-19.31%,-14.12%,17.43,-0.90%,-1.30%,-2.20%,14.20%,-2.30%,-2.40%,394.56M,381.49M,3.92%,4.41,45.83,-28.46%,11.57%,35.89,-0.87,19.70%,131.70%,0.20%,-44.44%,98.80%,-0.15%,0.20,0.57%,31321,2.80
2018-10-30,18:13:21 ,37.13,5.75%,"4,356,532",3.32M,14.65B,-326.00M,7.71B,1.01,-,37.93,-,12.83,1.90,1.80,3.20,0.20,-10.23%,-14.33%,-9.13%,31.88,-0.90%,-1.30%,-2.20%,14.20%,-2.30%,-2.40%,394.56M,381.49M,3.92%,4.50,45.83,-24.35%,17.99%,35.11,-0.87,19.70%,131.70%,0.20%,-44.44%,98.80%,-0.15%,0.20,0.54%,31321,2.80
2018-10-31,18:13:06 ,36.80,-0.89%,"5,603,758",3.25M,14.52B,-326.00M,7.71B,1.00,-,37.59,-,12.71,1.88,1.80,3.20,0.20,-10.23%,-14.81%,-9.92%,31.12,-0.90%,-1.30%,-2.20%,14.20%,-2.30%,-2.40%,394.56M,381.49M,3.92%,4.61,45.83,-25.02%,16.94%,37.13,-0.87,19.70%,131.70%,0.20%,-44.44%,98.80%,-0.15%,0.20,0.54%,31321,2.80
2018-11-01,18:13:46 ,36.51,-0.79%,"4,309,094",3.24M,14.41B,-326.00M,7.71B,0.99,-,37.29,-,12.61,1.87,1.80,3.20,0.20,-10.08%,-15.18%,-10.61%,30.33,-0.90%,-1.30%,-2.20%,14.20%,-2.30%,-2.40%,394.56M,381.49M,3.92%,4.62,45.83,-25.61%,16.02%,36.80,-0.87,19.70%,131.70%,0.20%,-44.44%,98.80%,-0.15%,0.20,0.55%,31321,2.80
2018-11-02,23:36:42 ,36.11,-1.10%,"3,411,143",3.22M,14.25B,-326.00M,7.71B,0.98,-,36.88,-,12.48,1.85,1.80,3.20,0.20,-10.10%,-15.77%,-11.57%,29.62,-0.90%,-1.30%,-2.20%,14.20%,-2.30%,-2.40%,394.56M,381.49M,3.92%,4.65,45.83,-26.43%,14.74%,36.51,-0.87,19.70%,131.70%,0.20%,-44.44%,98.80%,-0.15%,0.20,0.55%,31321,2.80
2018-11-05,17:13:31 ,36.53,1.16%,"4,704,815",3.22M,14.13B,-299.00M,8.02B,0.99,-,43.18,-,12.37,1.76,1.80,3.20,0.20,-8.08%,-14.44%,-10.52%,33.00,-0.90%,-1.30%,-2.20%,15.00%,-2.30%,-2.30%,386.86M,381.49M,3.92%,4.66,41.44,-25.57%,16.08%,36.11,-0.79,19.70%,131.70%,0.20%,-44.93%,98.70%,-0.20%,0.20,0.55%,31321,2.70
2018-11-06,17:11:42 ,36.87,0.93%,"3,579,582",3.24M,14.26B,-299.00M,8.02B,1.00,-,43.58,-,12.49,1.78,1.80,3.20,0.20,-6.30%,-13.31%,-9.67%,35.73,-0.90%,-1.30%,-2.20%,15.00%,-2.30%,-2.30%,386.86M,381.49M,3.92%,4.61,41.44,-24.88%,17.16%,36.53,-0.79,19.70%,131.70%,0.20%,-44.93%,98.70%,-0.20%,0.20,0.54%,31321,2.70
