date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:20:19 ,52.22,1.67%,"425,028",205.83K,2.89B,175.30M,335.20M,3.39,16.63,11.65,2.77,1.48,8.61,-,-,0.17,1.46%,0.79%,11.01%,53.31,1.60%,21.30%,31.30%,-,97.00%,52.30%,55.26M,54.68M,0.57%,1.52,57.00,-2.62%,49.80%,51.36,3.14,23.10%,37.10%,44.46%,0.00%,75.20%,1.50%,1.52,2.91%,1117,2.20
2018-10-17,19:14:53 ,53.11,1.70%,"234,981",211.20K,2.93B,175.30M,335.20M,3.45,16.91,11.84,2.82,1.50,8.76,-,-,0.17,2.96%,2.47%,12.71%,59.28,1.60%,21.30%,31.30%,-,97.00%,52.30%,55.26M,54.68M,0.57%,1.49,57.00,-0.96%,52.35%,52.22,3.14,23.10%,37.10%,44.46%,0.00%,75.20%,1.50%,1.52,2.86%,1117,2.20
2018-10-18,19:52:57 ,52.90,-0.40%,"356,207",212.64K,2.92B,175.30M,335.20M,3.44,16.84,11.80,2.81,1.49,8.72,-,-,0.17,2.35%,2.01%,12.07%,57.36,1.60%,21.30%,31.30%,-,97.00%,52.30%,55.26M,54.68M,0.57%,1.48,57.00,-1.35%,51.75%,53.11,3.14,23.10%,37.10%,44.46%,0.00%,75.20%,1.50%,1.52,2.87%,1117,2.20
2018-10-19,20:01:42 ,51.80,-2.08%,"483,226",215.28K,2.86B,175.30M,335.20M,3.37,16.49,11.55,2.75,1.46,8.54,-,-,0.17,0.11%,-0.15%,9.55%,49.57,1.60%,21.30%,31.30%,-,97.00%,52.30%,55.26M,54.68M,0.57%,1.46,57.00,-3.40%,48.59%,52.90,3.14,23.10%,37.10%,44.46%,0.00%,75.20%,1.50%,1.52,2.93%,1117,2.20
2018-10-22,17:13:41 ,51.74,-0.12%,"355,052",219.19K,2.92B,175.30M,335.20M,3.36,16.47,11.54,2.75,1.49,8.70,-,-,0.17,-0.04%,-0.24%,9.26%,49.44,1.60%,21.30%,31.30%,-,97.00%,52.30%,56.34M,54.68M,0.57%,1.43,57.00,-3.52%,48.42%,51.80,3.14,23.10%,37.10%,44.46%,0.00%,75.30%,1.49%,1.52,2.94%,1117,2.20
2018-10-23,17:14:19 ,51.15,-1.14%,"392,405",221.85K,2.88B,175.30M,335.20M,3.32,16.28,11.41,2.71,1.47,8.60,-,-,0.17,-1.17%,-1.35%,7.85%,45.31,1.60%,21.30%,31.30%,-,97.00%,52.30%,56.34M,54.68M,0.57%,1.41,57.00,-4.62%,46.73%,51.74,3.14,23.10%,37.10%,44.46%,0.00%,75.30%,1.49%,1.52,2.97%,1117,2.20
2018-10-24,17:13:40 ,39.51,-22.76%,"4,027,073",225.57K,2.23B,175.30M,335.20M,2.57,12.58,8.81,2.10,1.14,6.64,-,-,0.17,-23.61%,-23.78%,-16.81%,17.11,1.60%,21.30%,31.30%,-,97.00%,52.30%,56.34M,54.68M,0.57%,1.39,57.00,-26.32%,13.34%,51.15,3.14,23.10%,37.10%,44.46%,0.00%,75.30%,1.49%,1.52,3.85%,1117,2.20
2018-10-25,17:13:40 ,38.91,-1.52%,"1,460,640",285.79K,2.19B,175.30M,335.20M,2.53,12.39,8.68,2.06,1.12,6.54,-,-,0.17,-23.85%,-24.56%,-18.08%,16.62,1.60%,21.30%,31.30%,-,97.00%,52.30%,56.34M,54.68M,0.57%,1.10,57.00,-27.44%,11.62%,39.51,3.14,23.10%,37.10%,44.46%,0.00%,75.30%,1.49%,1.52,3.91%,1117,2.20
2018-10-26,17:12:38 ,38.39,-1.34%,"627,600",302.01K,2.16B,175.30M,335.20M,2.49,12.22,8.56,2.04,1.11,6.45,-,-,0.17,-23.93%,-25.18%,-19.17%,16.10,1.60%,21.30%,31.30%,-,97.00%,52.30%,56.34M,54.68M,0.57%,1.04,57.00,-28.41%,10.13%,38.91,3.14,23.10%,37.10%,44.46%,0.00%,75.30%,1.49%,1.52,3.96%,1117,2.20
2018-10-29,17:12:57 ,37.89,-1.30%,"603,797",307.02K,2.12B,184.50M,352.20M,2.40,11.48,9.00,1.91,1.48,6.02,-,-,0.16,-23.91%,-25.72%,-20.21%,15.73,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.92M,54.52M,0.62%,1.11,48.17,-29.34%,8.69%,38.39,3.30,21.80%,21.50%,44.46%,0.00%,75.30%,1.54%,1.52,4.01%,1117,2.20
2018-10-30,17:13:10 ,38.98,2.88%,"526,890",313.90K,2.18B,184.50M,352.20M,2.47,11.81,9.26,1.97,1.53,6.19,-,-,0.16,-20.68%,-23.12%,-17.89%,20.81,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.92M,54.52M,0.62%,1.08,48.17,-27.31%,11.82%,37.89,3.30,21.80%,21.50%,44.46%,0.00%,75.30%,1.54%,1.52,3.90%,1117,2.20
2018-10-31,17:13:07 ,40.29,3.36%,"482,082",320.09K,2.25B,184.50M,352.20M,2.55,12.21,9.57,2.03,1.58,6.40,-,-,0.16,-17.07%,-20.10%,-15.12%,27.18,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.92M,54.52M,0.62%,1.06,48.17,-24.87%,15.58%,38.98,3.30,21.80%,21.50%,44.46%,0.00%,75.30%,1.54%,1.52,3.77%,1117,2.20
2018-11-01,17:13:17 ,41.03,1.84%,"489,700",323.89K,2.29B,184.50M,352.20M,2.60,12.43,9.75,2.07,1.61,6.51,-,-,0.16,-14.58%,-18.23%,-13.56%,30.65,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.92M,54.52M,0.62%,1.05,48.17,-23.49%,17.70%,40.29,3.30,21.80%,21.50%,44.46%,0.00%,75.30%,1.54%,1.52,3.70%,1117,2.20
2018-11-02,22:38:11 ,41.57,1.32%,"322,184",325.92K,2.32B,184.50M,352.20M,2.63,12.60,9.88,2.10,1.63,6.60,-,-,0.16,-12.51%,-16.77%,-12.43%,33.20,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.92M,54.52M,0.62%,1.04,48.17,-22.48%,19.25%,41.03,3.30,21.80%,21.50%,44.46%,0.00%,75.30%,1.54%,1.52,3.66%,1117,2.20
2018-11-05,16:13:08 ,41.33,-0.58%,"301,628",327.53K,2.28B,184.50M,352.20M,2.62,12.52,9.99,2.09,1.60,6.48,-,-,0.16,-12.08%,-16.90%,-12.94%,32.76,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.25M,54.52M,0.62%,1.04,48.17,-22.93%,18.56%,41.57,3.30,21.80%,21.50%,44.46%,0.00%,75.40%,1.74%,1.52,3.68%,1117,2.20
2018-11-06,16:12:48 ,41.10,-0.56%,"245,011",329.66K,2.27B,184.50M,352.20M,2.60,12.45,9.93,2.08,1.59,6.45,-,-,0.16,-11.52%,-16.99%,-13.44%,32.42,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.25M,54.52M,0.62%,1.03,48.17,-23.36%,17.90%,41.33,3.30,21.80%,21.50%,44.46%,0.00%,75.40%,1.74%,1.52,3.70%,1117,2.20
2018-11-07,16:13:44 ,42.09,2.41%,"289,741",329.52K,2.33B,184.50M,352.20M,2.67,12.75,10.17,2.13,1.63,6.60,-,-,0.16,-8.24%,-14.60%,-11.36%,37.19,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.25M,54.52M,0.62%,1.03,48.17,-21.51%,20.74%,41.10,3.30,21.80%,21.50%,44.46%,0.00%,75.40%,1.74%,1.52,3.61%,1117,2.20
2018-11-08,16:12:48 ,41.54,-1.31%,"263,778",329.93K,2.30B,184.50M,352.20M,2.63,12.59,10.04,2.10,1.61,6.52,-,-,0.16,-8.43%,-15.38%,-12.54%,35.86,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.25M,54.52M,0.62%,1.03,48.17,-22.54%,19.16%,42.09,3.30,21.80%,21.50%,44.46%,0.00%,75.40%,1.74%,1.52,3.66%,1117,2.20
2018-11-09,17:03:37 ,41.31,-0.55%,"167,684",331.33K,2.28B,184.50M,352.20M,2.62,12.52,9.99,2.09,1.60,6.48,-,-,0.16,-7.98%,-15.49%,-13.04%,35.48,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.25M,54.52M,0.62%,1.03,48.17,-22.97%,15.88%,41.54,3.30,21.80%,21.50%,44.46%,0.00%,75.40%,1.74%,1.52,3.68%,1117,2.20
2018-11-12,18:53:49 ,40.47,-2.03%,"182,470",329.75K,2.25B,184.50M,352.20M,2.56,12.26,9.96,2.04,1.57,6.38,-,-,0.16,-8.87%,-16.85%,-14.81%,33.11,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.48M,54.52M,1.49%,2.46,47.00,-24.53%,13.52%,41.31,3.30,21.80%,21.50%,44.46%,0.00%,76.00%,2.48%,1.52,3.76%,1117,2.20
2018-11-13,16:12:54 ,39.50,-2.40%,"249,461",330.36K,2.19B,184.50M,352.20M,2.50,11.97,9.72,1.99,1.53,6.22,-,-,0.16,-9.95%,-18.43%,-16.85%,31.23,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.48M,54.52M,1.49%,2.46,47.00,-26.34%,10.80%,40.47,3.30,21.80%,21.50%,44.46%,0.00%,76.00%,2.48%,1.52,3.85%,1117,2.20
2018-11-14,16:13:02 ,39.06,-1.11%,"162,511",331.47K,2.17B,184.50M,352.20M,2.48,11.84,9.61,1.97,1.52,6.15,-,-,0.16,-9.65%,-18.90%,-17.77%,30.01,1.70%,21.90%,31.30%,-,97.20%,52.40%,55.48M,54.52M,1.49%,2.45,47.00,-27.16%,9.57%,39.50,3.30,21.80%,21.50%,44.46%,0.00%,76.00%,2.48%,1.52,3.89%,1117,2.20
