date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:28:22 ,23.74,4.72%,"1,041,001",744.23K,1.91B,-43.50M,966.10M,0.93,-,15.10,-,4.15,1.97,1.90,2.00,0.29,-1.47%,-4.68%,-12.45%,48.46,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,80.31M,77.44M,9.81%,10.21,28.25,-29.13%,10.01%,22.67,-0.55,-9.20%,-192.80%,0.80%,-8.88%,-,6.60%,-,-,3019,2.60
2018-10-17,22:22:55 ,24.35,2.57%,"758,607",744.23K,1.96B,-43.50M,966.10M,0.96,-,15.49,-,4.26,2.02,1.90,2.00,0.29,1.45%,-2.02%,-10.09%,54.13,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,80.31M,77.44M,9.81%,10.21,28.25,-24.38%,12.84%,23.74,-0.55,-9.20%,-192.80%,0.80%,-8.88%,-,6.60%,-,-,3019,2.60
2018-10-18,22:59:12 ,24.17,-0.74%,"1,119,192",748.25K,1.94B,-43.50M,966.10M,0.95,-,15.38,-,4.23,2.01,1.90,2.00,0.29,0.95%,-2.54%,-10.64%,51.85,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,80.31M,77.44M,9.81%,10.15,28.25,-24.35%,12.01%,24.35,-0.55,-9.20%,-192.80%,0.80%,-8.88%,-,6.60%,-,-,3019,2.60
2018-10-19,23:06:08 ,23.91,-1.08%,"2,492,325",757.37K,1.92B,-43.50M,966.10M,0.94,-,15.21,-,4.18,1.99,1.90,2.00,0.29,0.21%,-3.39%,-11.49%,49.38,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,80.31M,77.44M,9.81%,10.03,28.25,-25.16%,10.80%,24.17,-0.55,-9.20%,-192.80%,0.80%,-8.88%,-,6.60%,-,-,3019,2.60
2018-10-22,20:28:04 ,24.70,3.30%,"772,328",785.14K,2.01B,-43.50M,966.10M,0.97,-,15.71,-,4.38,2.08,1.90,2.00,0.29,3.91%,0.01%,-8.44%,56.24,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,81.41M,77.44M,9.81%,9.67,28.25,-22.69%,14.46%,23.91,-0.55,-9.20%,-192.80%,0.80%,-8.77%,-,6.50%,-,-,3019,2.60
2018-10-23,20:29:39 ,24.54,-0.65%,"756,212",787.37K,2.00B,-43.50M,966.10M,0.96,-,15.61,-,4.35,2.07,1.90,2.00,0.29,3.52%,-0.53%,-8.92%,54.35,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,81.41M,77.44M,9.81%,9.65,28.25,-23.19%,13.72%,24.70,-0.55,-9.20%,-192.80%,0.80%,-8.77%,-,6.50%,-,-,3019,2.60
2018-10-24,20:27:40 ,24.36,-0.73%,"1,023,975",778.42K,1.98B,-43.50M,966.10M,0.96,-,15.50,-,4.32,2.05,1.90,2.00,0.29,2.97%,-1.15%,-9.49%,52.49,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,81.41M,77.44M,9.81%,9.76,28.25,-23.76%,12.89%,24.54,-0.55,-9.20%,-192.80%,0.80%,-8.77%,-,6.50%,-,-,3019,2.60
2018-10-25,20:28:44 ,25.11,3.08%,"770,257",782.56K,2.04B,-43.50M,966.10M,0.99,-,15.97,-,4.45,2.12,1.90,2.00,0.29,6.33%,2.03%,-6.60%,58.23,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,81.41M,77.44M,9.81%,9.71,28.25,-21.41%,16.36%,24.36,-0.55,-9.20%,-192.80%,0.80%,-8.77%,-,6.50%,-,-,3019,2.60
2018-10-26,20:28:04 ,24.47,-2.55%,"427,408",786.10K,1.99B,-43.50M,966.10M,0.96,-,15.57,-,4.34,2.06,1.90,2.00,0.29,3.58%,-0.55%,-8.96%,52.29,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,81.41M,77.44M,9.81%,9.66,28.25,-23.41%,13.40%,25.11,-0.55,-9.20%,-192.80%,0.80%,-8.77%,-,6.50%,-,-,3019,2.60
2018-10-29,20:20:23 ,24.28,-0.78%,"388,584",755.38K,2.01B,-43.50M,966.10M,0.95,-,15.45,-,4.37,2.08,1.90,2.00,0.29,2.95%,-1.25%,-9.64%,51.26,1.20%,1.90%,0.40%,72.30%,-4.90%,4.30%,82.64M,77.44M,8.73%,8.95,28.25,-24.01%,12.52%,24.47,-0.55,-9.20%,-192.80%,0.80%,-8.65%,-,6.27%,-,-,3019,2.60
