date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:27:10 ,14.36,-0.55%,"28,982",15.55K,-,-,-,-,-,-,-,-,-,-,-,-,1.07%,-0.30%,-0.45%,53.44,-,-,-,-,-,-,-,-,-,0.69,-,-8.48%,2.57%,14.44,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-17,20:19:44 ,14.36,0.00%,"16,514",15.55K,-,-,-,-,-,-,-,-,-,-,-,-,1.03%,-0.27%,-0.42%,53.79,-,-,-,-,-,-,-,-,-,0.69,-,-8.48%,2.57%,14.36,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-18,20:58:09 ,14.24,-0.84%,"5,514",15.69K,-,-,-,-,-,-,-,-,-,-,-,-,0.10%,-1.09%,-1.23%,46.49,-,-,-,-,-,-,-,-,-,0.68,-,-9.24%,1.71%,14.36,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-19,21:06:37 ,14.24,0.00%,"19,090",15.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.08%,-1.05%,-1.20%,46.72,-,-,-,-,-,-,-,-,-,0.69,-,-9.24%,1.71%,14.24,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-22,18:19:55 ,14.19,-0.35%,"16,212",15.68K,-,-,-,-,-,-,-,-,-,-,-,-,-0.28%,-1.35%,-1.52%,43.86,-,-,-,-,-,-,-,-,-,0.68,-,-9.56%,1.36%,14.24,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-23,18:20:32 ,14.31,0.85%,"9,068",15.78K,-,-,-,-,-,-,-,-,-,-,-,-,0.57%,-0.47%,-0.66%,51.51,-,-,-,-,-,-,-,-,-,0.68,-,-8.80%,2.21%,14.19,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-24,18:20:31 ,14.28,-0.19%,"12,453",15.78K,-,-,-,-,-,-,-,-,-,-,-,-,0.33%,-0.62%,-0.82%,49.39,-,-,-,-,-,-,-,-,-,0.68,-,-8.97%,2.02%,14.31,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-25,18:20:19 ,14.24,-0.30%,"8,970",15.76K,-,-,-,-,-,-,-,-,-,-,-,-,-0.01%,-0.87%,-1.10%,47.19,-,-,-,-,-,-,-,-,-,0.68,-,-9.24%,1.71%,14.28,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-26,18:18:46 ,14.25,0.07%,"14,136",15.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.04%,-0.74%,-1.01%,47.56,-,-,-,-,-,-,-,-,-,0.69,-,-9.18%,1.79%,14.24,-,-,-,-,-,-,-,-,-,-,1.00
2018-10-29,18:18:54 ,14.21,-0.28%,"2,690",15.47K,-,-,-,-,-,-,-,-,-,-,-,-,-0.33%,-0.96%,-1.27%,45.02,-,-,-,-,-,-,-,-,-,1.24,-,-9.43%,1.50%,14.25,-,-,-,-,-,-,-,-,-,-,1.00
