date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:31:30 ,3.99,3.37%,"5,176",13.77K,34.47M,2.70M,40.40M,1.42,13.71,-,-,38.30,0.85,2.80,4.70,0.20,-3.11%,-2.93%,4.19%,47.67,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,8.64M,3.48M,0.06%,0.14,-,-26.96%,22.39%,3.86,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-17,22:26:06 ,3.99,0.00%,"9,142",13.77K,34.47M,2.70M,40.40M,1.42,13.71,-,-,38.30,0.85,2.80,4.70,0.20,-2.94%,-3.07%,4.22%,47.32,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,8.64M,3.48M,0.06%,0.14,-,-25.11%,22.39%,3.99,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-18,23:02:18 ,3.83,-4.01%,"6,171",13.90K,33.09M,2.70M,40.40M,1.36,13.16,-,-,36.77,0.82,2.80,4.70,0.20,-6.59%,-7.11%,0.04%,42.34,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,8.64M,3.48M,0.06%,0.14,-,-25.35%,17.48%,3.99,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-19,23:09:12 ,3.91,2.09%,"3,324",13.89K,33.78M,2.70M,40.40M,1.39,13.44,-,-,37.54,0.84,2.80,4.70,0.20,-4.28%,-5.23%,2.21%,45.27,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,8.64M,3.48M,0.06%,0.14,-,-23.79%,19.94%,3.83,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-22,20:31:28 ,3.91,0.00%,"1,071",13.86K,35.50M,2.70M,40.40M,1.39,13.44,-,-,39.45,0.88,2.80,4.70,0.20,-3.82%,-5.30%,2.24%,44.15,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.08M,3.48M,0.06%,0.14,-,-23.65%,19.94%,3.91,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-23,20:33:00 ,3.80,-2.69%,"15,498",13.86K,34.55M,2.70M,40.40M,1.35,13.07,-,-,38.39,0.86,2.80,4.70,0.20,-6.13%,-7.90%,-0.47%,39.63,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.08M,3.48M,0.06%,0.14,-,-23.95%,16.71%,3.91,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-24,20:31:00 ,3.70,-2.75%,"10,269",13.91K,33.60M,2.70M,40.40M,1.32,12.71,-,-,37.33,0.83,2.80,4.70,0.20,-8.19%,-10.47%,-3.16%,36.84,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.08M,3.48M,0.06%,0.14,-,-25.01%,13.50%,3.80,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-25,20:32:09 ,3.70,0.00%,"7,077",13.93K,33.60M,2.70M,40.40M,1.32,12.71,-,-,37.33,0.83,2.80,4.70,0.20,-7.56%,-10.37%,-3.11%,36.81,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.08M,3.48M,0.06%,0.14,-,-24.10%,13.50%,3.70,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-26,20:31:29 ,3.70,0.00%,"2,463",13.99K,33.60M,2.70M,40.40M,1.32,12.71,-,-,37.33,0.83,2.80,4.70,0.20,-6.99%,-10.22%,-3.07%,36.15,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.08M,3.48M,0.06%,0.14,-,-23.17%,13.50%,3.70,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
2018-10-29,20:23:26 ,3.70,0.01%,"3,235",13.99K,34.30M,2.70M,40.40M,1.32,12.72,-,-,38.12,0.85,2.80,4.70,0.20,-6.53%,-10.08%,-3.01%,36.99,8.30%,11.10%,8.60%,36.40%,9.30%,6.90%,9.27M,3.48M,0.06%,0.16,-,-22.58%,13.51%,3.70,0.29,15.20%,16.80%,62.40%,0.00%,3.60%,-,-,-,114,-
