date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:29:21 ,18.59,3.91%,"1,422,847",1.23M,2.99B,132.00M,7.01B,3.84,23.44,6.18,3.02,8.19,0.43,0.80,1.20,7.29,-1.92%,1.28%,-5.80%,51.05,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,160.86M,158.45M,2.97%,3.83,23.04,-28.06%,14.65%,17.89,0.79,1.20%,-63.90%,0.30%,0.00%,96.70%,0.06%,-,-,26500,2.70
2018-10-17,20:21:53 ,18.66,0.38%,"1,347,511",1.23M,3.00B,132.00M,7.01B,3.86,23.53,6.20,3.03,8.22,0.43,0.80,1.20,7.29,-1.28%,1.66%,-5.36%,51.58,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,160.86M,158.45M,2.97%,3.83,23.04,-27.79%,15.08%,18.59,0.79,1.20%,-63.90%,0.30%,0.00%,96.70%,0.06%,-,-,26500,2.70
2018-10-18,21:00:22 ,18.00,-3.54%,"1,673,518",1.23M,2.90B,132.00M,7.01B,3.72,22.70,5.98,2.92,7.93,0.41,0.80,1.20,7.29,-4.47%,-1.98%,-8.61%,43.95,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,160.86M,158.45M,2.97%,3.82,23.04,-30.34%,11.01%,18.66,0.79,1.20%,-63.90%,0.30%,0.00%,96.70%,0.06%,-,-,26500,2.70
2018-10-19,21:08:46 ,17.95,-0.28%,"863,934",1.24M,2.89B,132.00M,7.01B,3.71,22.64,5.96,2.91,7.91,0.41,0.80,1.20,7.29,-4.29%,-2.22%,-8.76%,43.49,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,160.86M,158.45M,2.97%,3.80,23.04,-30.53%,10.70%,18.00,0.79,1.20%,-63.90%,0.30%,0.00%,96.70%,0.06%,-,-,26500,2.70
2018-10-22,18:22:06 ,17.49,-2.56%,"1,173,420",1.23M,2.79B,132.00M,7.01B,3.61,22.06,5.82,2.80,7.65,0.40,0.80,1.20,7.29,-6.33%,-4.68%,-11.00%,39.31,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,159.69M,158.45M,2.97%,3.83,23.04,-32.31%,7.86%,17.95,0.79,1.20%,-63.90%,0.30%,0.00%,96.60%,-0.17%,-,-,26500,2.70
2018-10-23,18:22:44 ,17.36,-0.74%,"1,494,561",1.23M,2.77B,132.00M,7.01B,3.59,21.89,5.78,2.78,7.60,0.40,0.80,1.20,7.29,-6.47%,-5.37%,-11.55%,37.67,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,159.69M,158.45M,2.97%,3.82,23.04,-32.05%,7.06%,17.49,0.79,1.20%,-63.90%,0.30%,0.00%,96.60%,-0.17%,-,-,26500,2.70
2018-10-24,18:22:42 ,16.36,-5.76%,"2,482,704",1.23M,2.61B,132.00M,7.01B,3.38,20.63,5.44,2.62,7.16,0.37,0.80,1.20,7.29,-11.39%,-10.82%,-16.53%,29.94,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,159.69M,158.45M,2.97%,3.84,23.04,-33.66%,0.89%,17.36,0.79,1.20%,-63.90%,0.30%,0.00%,96.60%,-0.17%,-,-,26500,2.70
2018-10-25,18:22:32 ,16.44,0.49%,"1,861,091",1.19M,2.63B,132.00M,7.01B,3.40,20.73,5.47,2.63,7.19,0.37,0.80,1.20,7.29,-10.29%,-10.28%,-15.99%,31.44,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,159.69M,158.45M,2.97%,3.94,23.04,-33.33%,1.39%,16.36,0.79,1.20%,-63.90%,0.30%,0.00%,96.60%,-0.17%,-,-,26500,2.70
2018-10-26,18:21:00 ,16.63,1.16%,"1,727,317",1.19M,2.66B,132.00M,7.01B,3.44,20.97,5.53,2.67,7.28,0.38,0.80,1.20,7.29,-8.61%,-9.15%,-14.90%,34.62,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,159.69M,158.45M,2.97%,3.97,23.04,-32.56%,2.65%,16.44,0.79,1.20%,-63.90%,0.30%,0.00%,96.60%,-0.17%,-,-,26500,2.70
2018-10-29,18:21:06 ,16.29,-2.04%,"1,235,280",1.18M,2.62B,132.00M,7.01B,3.37,20.54,5.42,2.39,7.18,0.37,0.80,1.20,7.29,-9.94%,-10.94%,-16.52%,33.05,1.40%,16.50%,3.20%,16.20%,3.80%,2.00%,160.86M,158.45M,3.02%,4.04,23.04,-33.94%,1.75%,16.63,0.79,1.20%,-63.90%,0.30%,0.00%,96.50%,-0.29%,-,-,26500,2.70
