date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:28:25 ,9.07,2.49%,"105,455",108.46K,418.58M,-84.00M,764.90M,8.89,-,11.06,-,6.32,0.55,1.40,2.10,6.86,-6.36%,-3.81%,-10.88%,40.64,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,46.15M,43.28M,0.88%,3.50,12.63,-23.78%,9.28%,8.85,-1.90,-3.60%,-124.20%,3.52%,-0.15%,94.50%,1.08%,-,-,1800,2.20
2018-10-17,20:20:58 ,8.87,-2.21%,"68,711",108.46K,409.35M,-84.00M,764.90M,8.70,-,10.82,-,6.18,0.54,1.40,2.10,6.86,-7.91%,-5.97%,-12.81%,37.09,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,46.15M,43.28M,0.88%,3.50,12.63,-25.46%,6.87%,9.07,-1.90,-3.60%,-124.20%,3.52%,-0.15%,94.50%,1.08%,-,-,1800,2.20
2018-10-18,20:59:24 ,8.63,-2.71%,"80,481",108.01K,398.27M,-84.00M,764.90M,8.46,-,10.52,-,6.02,0.52,1.40,2.10,6.86,-9.90%,-8.52%,-15.11%,32.76,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,46.15M,43.28M,0.88%,3.52,12.63,-27.48%,3.98%,8.87,-1.90,-3.60%,-124.20%,3.52%,-0.15%,94.50%,1.08%,-,-,1800,2.20
2018-10-19,21:07:51 ,8.63,0.00%,"108,805",108.49K,398.27M,-84.00M,764.90M,8.46,-,10.52,-,6.02,0.52,1.40,2.10,6.86,-9.15%,-8.48%,-15.04%,32.81,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,46.15M,43.28M,0.88%,3.50,12.63,-27.48%,3.98%,8.63,-1.90,-3.60%,-124.20%,3.52%,-0.15%,94.50%,1.08%,-,-,1800,2.20
2018-10-22,18:21:11 ,8.57,-0.70%,"74,670",108.82K,384.62M,-84.00M,764.90M,8.40,-,10.45,-,5.81,0.50,1.40,2.10,6.86,-9.01%,-9.10%,-15.57%,32.37,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,44.88M,43.28M,0.88%,3.49,12.63,-27.98%,3.25%,8.63,-1.90,-3.60%,-124.20%,3.52%,-0.16%,94.60%,1.13%,-,-,1800,2.20
2018-10-23,18:21:47 ,8.30,-3.15%,"124,961",108.20K,372.50M,-84.00M,764.90M,8.14,-,10.12,-,5.63,0.49,1.40,2.10,6.86,-11.23%,-12.01%,-18.16%,27.92,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,44.88M,43.28M,0.88%,3.51,12.63,-30.25%,0.00%,8.57,-1.90,-3.60%,-124.20%,3.52%,-0.16%,94.60%,1.13%,-,-,1800,2.20
2018-10-24,18:21:45 ,7.82,-5.78%,"74,014",109.09K,350.96M,-84.00M,764.90M,7.67,-,9.54,-,5.30,0.46,1.40,2.10,6.86,-15.48%,-17.06%,-22.82%,23.13,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,44.88M,43.28M,0.88%,3.48,12.63,-34.29%,-2.98%,8.30,-1.90,-3.60%,-124.20%,3.52%,-0.16%,94.60%,1.13%,-,-,1800,2.20
2018-10-25,18:21:35 ,7.91,1.15%,"136,118",109.11K,355.00M,-84.00M,764.90M,7.75,-,9.65,-,5.36,0.46,1.40,2.10,6.86,-13.27%,-15.93%,-21.83%,26.49,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,44.88M,43.28M,0.88%,3.48,12.63,-33.53%,1.28%,7.82,-1.90,-3.60%,-124.20%,3.52%,-0.16%,94.60%,1.13%,-,-,1800,2.20
2018-10-26,18:20:00 ,7.75,-2.02%,"158,630",109.60K,347.82M,-84.00M,764.90M,7.60,-,9.45,-,5.25,0.45,1.40,2.10,6.86,-14.09%,-17.48%,-23.32%,25.14,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,44.88M,43.28M,0.88%,3.47,12.63,-34.87%,0.78%,7.91,-1.90,-3.60%,-124.20%,3.52%,-0.16%,94.60%,1.13%,-,-,1800,2.20
2018-10-29,18:20:10 ,7.55,-2.58%,"115,615",111.17K,345.87M,-84.00M,764.90M,7.40,-,9.21,-,5.22,0.45,1.40,2.10,6.86,-15.32%,-19.43%,-25.19%,23.27,-13.50%,-174.70%,-22.60%,25.30%,-0.10%,-10.30%,45.81M,43.28M,0.69%,2.67,12.63,-36.55%,-1.31%,7.75,-1.90,-3.60%,-124.20%,3.52%,-0.15%,94.50%,1.05%,-,-,1800,2.20
