date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:28:52 ,48.23,2.36%,"13,600,168",17.89M,180.41B,10.83B,39.84B,4.95,18.42,13.24,2.26,3.00,4.53,-,3.40,1.53,-3.09%,-1.68%,0.21%,43.74,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.74B,2.65B,1.49%,2.20,53.10,-9.82%,13.30%,47.12,2.62,0.10%,9.80%,30.00%,-0.24%,60.70%,-0.22%,0.76,1.58%,137000,2.40
2018-10-17,20:21:24 ,47.86,-0.77%,"14,938,021",17.89M,179.03B,10.83B,39.84B,4.91,18.28,13.14,2.24,2.98,4.49,-,3.40,1.53,-3.75%,-2.41%,-0.57%,41.28,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.74B,2.65B,1.49%,2.20,53.10,-10.51%,12.43%,48.23,2.62,0.10%,9.80%,30.00%,-0.24%,60.70%,-0.22%,0.76,1.59%,137000,2.40
2018-10-18,20:59:51 ,47.38,-1.00%,"15,070,035",17.83M,177.23B,10.83B,39.84B,4.86,18.10,13.01,2.22,2.95,4.45,-,3.40,1.53,-4.57%,-3.37%,-1.58%,38.47,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.74B,2.65B,1.49%,2.21,53.10,-11.41%,11.30%,47.86,2.62,0.10%,9.80%,30.00%,-0.24%,60.70%,-0.22%,0.76,1.60%,137000,2.40
2018-10-19,21:08:17 ,47.59,0.44%,"17,722,002",17.77M,178.02B,10.83B,39.84B,4.88,18.18,13.06,2.23,2.96,4.47,-,3.40,1.53,-3.85%,-2.90%,-1.14%,40.07,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.74B,2.65B,1.49%,2.22,53.10,-11.01%,11.79%,47.38,2.62,0.10%,9.80%,30.00%,-0.24%,60.70%,-0.22%,0.76,1.60%,137000,2.40
2018-10-22,18:21:37 ,47.94,0.74%,"16,480,183",17.79M,180.83B,10.83B,39.84B,4.92,18.31,13.16,2.24,3.01,4.54,-,3.40,1.53,-2.80%,-2.15%,-0.41%,43.23,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.49%,2.22,53.10,-10.36%,12.61%,47.59,2.62,0.10%,9.80%,30.00%,-0.24%,60.60%,-0.29%,0.76,1.59%,137000,2.40
2018-10-23,18:22:14 ,47.99,0.10%,"18,921,273",17.78M,181.01B,10.83B,39.84B,4.92,18.33,13.17,2.25,3.01,4.54,-,3.40,1.53,-2.37%,-2.03%,-0.30%,43.37,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.49%,2.22,53.10,-10.27%,12.73%,47.94,2.62,0.10%,9.80%,30.00%,-0.24%,60.60%,-0.29%,0.76,1.58%,137000,2.40
2018-10-24,18:22:13 ,46.76,-2.56%,"19,996,326",17.79M,176.37B,10.83B,39.84B,4.80,17.86,12.84,2.19,2.93,4.43,-,3.40,1.53,-4.51%,-4.54%,-2.85%,35.59,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.49%,2.22,53.10,-12.57%,9.84%,47.99,2.62,0.10%,9.80%,30.00%,-0.24%,60.60%,-0.29%,0.76,1.63%,137000,2.40
2018-10-25,18:22:03 ,47.96,2.57%,"19,322,239",17.79M,180.90B,10.83B,39.84B,4.92,18.32,13.16,2.25,3.01,4.54,-,3.40,1.53,-1.57%,-2.03%,-0.33%,46.35,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.49%,2.22,53.10,-10.32%,12.66%,46.76,2.62,0.10%,9.80%,30.00%,-0.24%,60.60%,-0.29%,0.76,1.58%,137000,2.40
2018-10-26,18:20:27 ,47.32,-1.33%,"23,087,946",17.84M,178.49B,10.83B,39.84B,4.85,18.07,12.99,2.22,2.97,4.48,-,3.40,1.53,-2.51%,-3.34%,-1.65%,42.29,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.49%,2.21,53.10,-11.52%,11.16%,47.96,2.62,0.10%,9.80%,30.00%,-0.23%,60.60%,-0.29%,0.76,1.61%,137000,2.40
2018-10-29,18:20:36 ,47.02,-0.63%,"19,204,526",17.96M,180.55B,10.83B,39.84B,4.82,17.96,12.93,2.20,3.00,4.53,-,3.40,1.53,-2.70%,-3.93%,-2.26%,41.04,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.84B,2.65B,1.56%,2.30,53.10,-12.08%,10.45%,47.32,2.62,0.10%,9.80%,30.00%,-0.22%,60.60%,-0.36%,0.76,1.62%,137000,2.40
2018-10-30,18:21:26 ,48.57,3.30%,"24,424,012",18.03M,186.50B,10.83B,39.84B,4.98,18.55,13.36,2.27,3.10,4.68,-,3.40,1.53,1.00%,-0.70%,0.99%,51.87,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.84B,2.65B,1.56%,2.29,53.10,-9.18%,14.09%,47.02,2.62,0.10%,9.80%,30.00%,-0.22%,60.60%,-0.36%,0.76,1.56%,137000,2.40
2018-10-31,18:21:10 ,48.84,0.56%,"20,959,616",18.09M,187.54B,10.83B,39.84B,5.01,18.66,13.43,2.29,3.12,4.71,-,3.40,1.53,1.74%,-0.16%,1.56%,53.60,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.84B,2.65B,1.56%,2.28,53.10,-8.68%,14.73%,48.57,2.62,0.10%,9.80%,30.00%,-0.22%,60.60%,-0.36%,0.76,1.56%,137000,2.40
2018-11-01,18:21:52 ,48.59,-0.51%,"17,463,399",18.13M,186.58B,10.83B,39.84B,4.98,18.56,13.36,2.27,3.10,4.68,-,3.40,1.53,1.31%,-0.69%,1.06%,52.52,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.84B,2.65B,1.56%,2.28,53.10,-9.14%,14.14%,48.84,2.62,0.10%,9.80%,30.00%,-0.19%,60.60%,-0.36%,0.76,1.56%,137000,2.40
2018-11-02,23:44:48 ,48.83,0.49%,"17,143,318",18.05M,187.50B,10.83B,39.84B,5.01,18.65,13.43,2.29,3.12,4.71,-,3.40,1.53,1.91%,-0.19%,1.57%,54.58,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.84B,2.65B,1.56%,2.29,53.10,-8.69%,14.71%,48.59,2.62,0.10%,9.80%,30.00%,-0.19%,60.60%,-0.36%,0.76,1.56%,137000,2.40
2018-11-05,17:21:41 ,49.02,0.39%,"13,025,485",18.10M,184.81B,10.83B,39.84B,5.03,18.72,13.50,2.29,3.08,4.64,-,3.40,1.53,2.36%,0.21%,1.99%,55.93,2.90%,8.30%,10.80%,79.70%,34.20%,9.70%,3.77B,2.65B,1.56%,2.28,52.93,-8.34%,15.15%,48.83,2.62,0.10%,9.80%,30.00%,-0.11%,60.60%,-0.51%,0.76,1.55%,137000,2.40
