date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:20:34 ,1.30,2.36%,"11,222",58.45K,4.54M,-5.90M,-,1.37,-,-,-,1.30,-,7.90,7.90,0.00,-4.91%,2.30%,-35.27%,48.53,-111.60%,-132.90%,-,-,-,-,3.49M,2.10M,7.95%,2.86,9.00,-78.30%,26.21%,1.27,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-17,21:12:34 ,1.31,0.77%,"81,148",58.45K,4.57M,-5.90M,-,1.38,-,-,-,1.31,-,7.90,7.90,0.00,-4.25%,2.73%,-34.61%,48.86,-111.60%,-132.90%,-,-,-,-,3.49M,2.10M,7.95%,2.86,9.00,-78.13%,27.18%,1.30,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-18,21:51:12 ,1.61,22.90%,"1,232,711",59.12K,5.62M,-5.90M,-,1.69,-,-,-,1.61,-,7.90,7.90,0.00,17.82%,25.92%,-19.46%,64.13,-111.60%,-132.90%,-,-,-,-,3.49M,2.10M,7.95%,2.83,9.00,-73.12%,56.31%,1.31,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-19,21:59:05 ,1.60,-0.62%,"447,124",77.67K,5.58M,-5.90M,-,1.68,-,-,-,1.60,-,7.90,7.90,0.00,15.78%,24.23%,-19.81%,63.42,-111.60%,-132.90%,-,-,-,-,3.49M,2.10M,7.95%,2.15,9.00,-73.29%,55.34%,1.61,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-22,19:14:36 ,1.51,-5.69%,"81,814",84.05K,5.10M,-5.90M,-,1.59,-,-,-,1.46,-,7.90,7.90,0.00,7.83%,16.51%,-24.26%,57.09,-111.60%,-132.90%,-,-,-,-,3.38M,2.10M,7.95%,1.99,9.00,-74.81%,46.50%,1.60,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-23,19:15:44 ,1.58,4.70%,"34,197",85.16K,5.34M,-5.90M,-,1.66,-,-,-,1.53,-,7.90,7.90,0.00,11.96%,21.29%,-20.48%,60.06,-111.60%,-132.90%,-,-,-,-,3.38M,2.10M,7.95%,1.96,9.00,-73.62%,53.39%,1.51,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-24,19:15:09 ,1.38,-12.65%,"40,941",85.05K,4.66M,-5.90M,-,1.45,-,-,-,1.33,-,7.90,7.90,0.00,-2.98%,5.46%,-30.37%,49.59,-111.60%,-132.90%,-,-,-,-,3.38M,2.10M,7.95%,1.97,9.00,-76.96%,33.98%,1.58,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-25,19:15:10 ,1.39,0.72%,"16,179",85.40K,4.70M,-5.90M,-,1.46,-,-,-,1.34,-,7.90,7.90,0.00,-2.24%,5.93%,-29.67%,49.13,-111.60%,-132.90%,-,-,-,-,3.38M,2.10M,7.95%,1.96,9.00,-76.79%,34.95%,1.38,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-26,19:13:42 ,1.38,-0.72%,"13,057",84.92K,4.66M,-5.90M,-,1.45,-,-,-,1.33,-,7.90,7.90,0.00,-2.78%,4.74%,-29.98%,49.08,-111.60%,-132.90%,-,-,-,-,3.38M,2.10M,7.95%,1.97,9.00,-76.96%,33.98%,1.39,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-29,19:12:37 ,1.30,-5.80%,"29,812",83.35K,4.33M,-5.90M,-,1.37,-,-,-,1.24,-,7.90,7.90,0.00,-8.51%,-1.70%,-33.83%,44.61,-111.60%,-132.90%,-,-,-,-,3.33M,2.10M,6.76%,1.71,9.00,-78.30%,26.21%,1.38,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-30,19:13:33 ,1.25,-3.85%,"10,373",82.15K,4.16M,-5.90M,-,1.32,-,-,-,1.19,-,7.90,7.90,0.00,-11.72%,-5.76%,-36.17%,42.69,-111.60%,-132.90%,-,-,-,-,3.33M,2.10M,6.76%,1.73,9.00,-79.13%,21.36%,1.30,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-10-31,19:13:24 ,1.34,7.19%,"16,438",80.77K,4.46M,-5.90M,-,1.41,-,-,-,1.27,-,7.90,7.90,0.00,-5.00%,0.89%,-31.33%,48.04,-111.60%,-132.90%,-,-,-,-,3.33M,2.10M,6.76%,1.76,9.00,-77.63%,30.09%,1.25,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-11-01,19:14:49 ,1.39,3.74%,"27,426",80.63K,4.63M,-5.90M,-,1.46,-,-,-,1.32,-,7.90,7.90,0.00,-1.45%,4.31%,-28.52%,50.85,-111.60%,-132.90%,-,-,-,-,3.33M,2.10M,6.76%,1.76,9.00,-76.79%,34.95%,1.34,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-11-03,00:39:07 ,1.48,6.47%,"22,734",80.72K,4.93M,-5.90M,-,1.56,-,-,-,1.41,-,7.90,7.90,0.00,5.95%,10.62%,-23.69%,55.80,-111.60%,-132.90%,-,-,-,-,3.33M,2.10M,6.76%,1.76,9.00,-75.29%,43.69%,1.39,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-11-05,18:14:47 ,1.47,-0.68%,"5,420",80.50K,4.57M,-5.90M,-,1.55,-,-,-,1.31,-,7.90,7.90,0.00,5.30%,9.42%,-23.91%,54.73,-111.60%,-132.90%,-,-,-,-,3.11M,2.10M,6.76%,1.77,9.00,-75.46%,42.71%,1.48,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-11-06,18:11:08 ,1.57,6.81%,"19,073",78.59K,4.88M,-5.90M,-,1.65,-,-,-,1.40,-,7.90,7.90,0.00,12.24%,16.44%,-18.40%,59.60,-111.60%,-132.90%,-,-,-,-,3.11M,2.10M,6.76%,1.81,9.00,-73.79%,52.43%,1.47,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
2018-11-07,18:16:52 ,1.35,-14.01%,"1,342,348",78.23K,4.20M,-5.90M,-,1.42,-,-,-,1.20,-,7.90,7.90,0.00,-4.00%,-0.45%,-29.52%,47.98,-111.60%,-132.90%,-,-,-,-,3.11M,2.10M,6.76%,1.82,9.00,-77.46%,31.07%,1.57,-1.80,-,81.90%,34.65%,0.00%,18.20%,-,-,-,19,2.00
