date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:34:09 ,73.62,3.15%,"112,039",115.18K,1.33B,13.00M,1.09B,2.71,114.85,17.50,6.56,15.64,1.22,0.80,1.50,0.74,-0.94%,-3.46%,3.87%,48.40,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.02M,17.07M,9.60%,14.23,92.30,-23.69%,45.78%,71.37,0.64,13.80%,-679.20%,7.40%,-3.18%,-,3.49%,-,-,6087,2.20
2018-10-17,22:28:47 ,72.21,-1.92%,"62,360",115.18K,1.30B,13.00M,1.09B,2.66,112.65,17.16,6.44,15.34,1.19,0.80,1.50,0.74,-2.68%,-5.16%,1.82%,43.03,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.02M,17.07M,9.60%,14.23,92.30,-24.74%,42.99%,73.62,0.64,13.80%,-679.20%,7.40%,-3.18%,-,3.49%,-,-,6087,2.20
2018-10-18,23:04:54 ,71.66,-0.76%,"66,460",114.76K,1.29B,13.00M,1.09B,2.64,111.79,17.03,6.39,15.23,1.19,0.80,1.50,0.74,-3.14%,-5.69%,0.99%,40.52,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.02M,17.07M,9.60%,14.28,92.30,-25.27%,41.90%,72.21,0.64,13.80%,-679.20%,7.40%,-3.18%,-,3.49%,-,-,6087,2.20
2018-10-19,23:11:47 ,70.87,-1.10%,"65,222",114.80K,1.28B,13.00M,1.09B,2.61,110.56,16.85,6.32,15.06,1.17,0.80,1.50,0.74,-3.81%,-6.53%,-0.16%,38.75,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.02M,17.07M,9.60%,14.28,92.30,-26.09%,40.34%,71.66,0.64,13.80%,-679.20%,7.40%,-3.18%,-,3.49%,-,-,6087,2.20
2018-10-22,20:34:21 ,71.67,1.13%,"87,608",113.46K,1.31B,13.00M,1.09B,2.64,111.81,17.04,6.39,15.47,1.20,0.80,1.50,0.74,-2.23%,-5.23%,0.93%,42.48,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.30M,17.07M,9.60%,14.45,92.30,-25.26%,41.92%,70.87,0.64,13.80%,-679.20%,7.40%,-3.13%,-,3.43%,-,-,6087,2.20
2018-10-23,20:35:48 ,70.63,-1.45%,"82,795",112.62K,1.29B,13.00M,1.09B,2.60,110.19,16.79,6.30,15.24,1.19,0.80,1.50,0.74,-3.23%,-6.41%,-0.57%,39.18,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.30M,17.07M,9.60%,14.55,92.30,-26.34%,39.86%,71.67,0.64,13.80%,-679.20%,7.40%,-3.13%,-,3.43%,-,-,6087,2.20
2018-10-24,20:33:48 ,67.56,-4.35%,"68,338",112.48K,1.24B,13.00M,1.09B,2.49,105.40,16.06,6.02,14.58,1.13,0.80,1.50,0.74,-7.02%,-10.29%,-4.92%,30.24,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.30M,17.07M,9.60%,14.57,92.30,-29.54%,33.78%,70.63,0.64,13.80%,-679.20%,7.40%,-3.13%,-,3.43%,-,-,6087,2.20
2018-10-25,20:34:57 ,68.57,1.50%,"116,996",111.23K,1.25B,13.00M,1.09B,2.53,106.98,16.30,6.11,14.80,1.15,0.80,1.50,0.74,-5.07%,-8.65%,-3.51%,35.44,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.30M,17.07M,9.60%,14.74,92.30,-28.49%,35.79%,67.56,0.64,13.80%,-679.20%,7.40%,-3.13%,-,3.43%,-,-,6087,2.20
2018-10-26,20:34:31 ,70.90,3.39%,"155,955",111.97K,1.30B,13.00M,1.09B,2.61,110.61,16.85,6.32,15.30,1.19,0.80,1.50,0.74,-1.33%,-5.32%,-0.25%,44.81,-2.20%,-5.60%,3.80%,36.00%,5.10%,-2.70%,18.30M,17.07M,9.60%,14.64,92.30,-26.06%,40.40%,68.57,0.64,13.80%,-679.20%,7.40%,-3.13%,-,3.43%,-,-,6087,2.20
2018-10-29,20:26:01 ,68.18,-3.84%,"284,504",113.26K,1.20B,13.00M,1.09B,2.51,106.37,16.28,6.08,14.12,1.10,0.80,1.50,0.74,-4.75%,-8.78%,-4.10%,37.26,-2.40%,-6.30%,3.80%,36.00%,4.40%,-3.00%,17.56M,17.13M,9.77%,14.78,92.10,-28.90%,35.01%,70.90,0.64,13.80%,-679.20%,7.30%,-3.31%,-,3.58%,-,-,6087,2.20
2018-10-30,20:27:24 ,68.90,1.06%,"186,202",116.72K,1.21B,13.00M,1.09B,2.54,107.49,16.45,6.14,14.27,1.11,0.80,1.50,0.74,-3.27%,-7.59%,-3.09%,40.17,-2.40%,-6.30%,3.80%,36.00%,4.40%,-3.00%,17.56M,17.13M,9.77%,14.34,92.10,-24.66%,36.44%,68.18,0.64,13.80%,-679.20%,7.30%,-3.31%,-,3.58%,-,-,6087,2.20
2018-10-31,20:25:45 ,69.16,0.38%,"128,433",118.40K,1.21B,13.00M,1.09B,2.55,107.89,16.51,6.17,14.32,1.11,0.80,1.50,0.74,-2.54%,-7.02%,-2.71%,41.39,-2.40%,-6.30%,3.80%,36.00%,4.40%,-3.00%,17.56M,17.13M,9.77%,14.13,92.10,-24.37%,36.95%,68.90,0.64,13.80%,-679.20%,7.30%,-3.31%,-,3.58%,-,-,6087,2.20
2018-11-01,20:28:43 ,69.96,1.16%,"98,038",118.25K,1.23B,13.00M,1.09B,2.58,109.14,16.70,6.24,14.49,1.13,0.80,1.50,0.74,-1.03%,-5.70%,-1.58%,44.60,-2.40%,-6.30%,3.80%,36.00%,4.40%,-3.00%,17.56M,17.13M,9.77%,14.15,92.10,-23.50%,38.53%,69.16,0.64,13.80%,-679.20%,7.30%,-3.31%,-,3.58%,-,-,6087,2.20
2018-11-03,01:56:55 ,72.18,3.17%,"146,796",118.48K,1.27B,13.00M,1.09B,2.66,112.61,17.23,6.43,14.95,1.16,0.80,1.50,0.74,2.37%,-2.53%,1.53%,52.25,-2.40%,-6.30%,3.80%,36.00%,4.40%,-3.00%,17.56M,17.13M,9.77%,14.13,92.10,-21.07%,42.93%,69.96,0.64,13.80%,-679.20%,7.30%,-3.31%,-,3.58%,-,-,6087,2.20
2018-11-05,19:29:43 ,71.95,-0.32%,"134,165",119.42K,1.27B,12.20M,1.10B,2.67,115.12,17.18,6.58,14.65,1.15,0.70,1.40,0.86,2.08%,-2.71%,1.18%,51.23,-2.20%,-6.00%,3.80%,36.10%,4.80%,-2.70%,17.59M,17.13M,9.77%,14.01,92.10,-21.32%,42.48%,72.18,0.63,3.50%,-3.20%,7.30%,-3.30%,-,3.43%,-,-,6087,2.20
2018-11-06,19:27:42 ,73.22,1.77%,"139,937",120.71K,1.29B,12.20M,1.10B,2.72,117.15,17.48,6.69,14.91,1.17,0.70,1.40,0.86,3.89%,-0.87%,2.94%,56.25,-2.20%,-6.00%,3.80%,36.10%,4.80%,-2.70%,17.59M,17.13M,9.77%,13.86,92.10,-19.93%,44.99%,71.95,0.63,3.50%,-3.20%,7.30%,-3.30%,-,3.43%,-,-,6087,2.20
2018-11-07,19:36:26 ,76.01,3.81%,"261,878",121.80K,1.34B,12.20M,1.10B,2.82,121.62,18.15,6.95,15.47,1.22,0.70,1.40,0.86,7.73%,3.04%,6.82%,63.12,-2.20%,-6.00%,3.80%,36.10%,4.80%,-2.70%,17.59M,17.13M,9.77%,13.74,92.10,-16.88%,50.51%,73.22,0.63,3.50%,-3.20%,7.30%,-3.30%,-,3.43%,-,-,6087,2.20
2018-11-08,19:48:11 ,75.03,-1.29%,"101,947",124.63K,1.32B,12.20M,1.10B,2.79,120.05,17.92,6.86,15.28,1.20,0.70,1.40,0.86,5.86%,1.74%,5.38%,59.35,-2.20%,-6.00%,3.80%,36.10%,4.80%,-2.70%,17.59M,17.13M,9.77%,13.43,92.10,-17.96%,48.57%,76.01,0.63,3.50%,-3.20%,7.30%,-3.30%,-,3.43%,-,-,6087,2.20
2018-11-09,20:04:52 ,74.52,-0.68%,"166,211",125.05K,1.31B,12.20M,1.10B,2.77,119.23,17.79,6.81,15.17,1.19,0.70,1.40,0.86,4.72%,1.11%,4.61%,57.35,-2.20%,-6.00%,3.80%,36.10%,4.80%,-2.70%,17.59M,17.13M,9.77%,13.38,92.10,-18.51%,47.56%,75.03,0.63,3.50%,-3.20%,7.30%,-3.30%,-,3.43%,-,-,6087,2.20
