date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:33:02 ,35.01,2.61%,"414,768",482.73K,9.36B,261.30M,2.82B,2.52,35.83,11.84,3.45,-,3.33,1.30,1.30,0.71,-4.98%,-7.95%,-2.89%,35.53,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,267.48M,261.80M,1.71%,9.27,44.30,-13.15%,9.24%,34.12,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.53%,0.61,1.74%,12200,2.10
2018-10-17,22:27:39 ,34.87,-0.40%,"353,970",482.73K,9.33B,261.30M,2.82B,2.51,35.69,11.79,3.43,-,3.31,1.30,1.30,0.71,-4.95%,-8.13%,-3.27%,34.81,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,267.48M,261.80M,1.71%,9.27,44.30,-13.50%,8.80%,35.01,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.53%,0.61,1.75%,12200,2.10
2018-10-18,23:03:48 ,34.33,-1.55%,"406,445",477.48K,9.18B,261.30M,2.82B,2.47,35.14,11.61,3.38,-,3.26,1.30,1.30,0.71,-6.00%,-9.37%,-4.77%,31.86,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,267.48M,261.80M,1.71%,9.37,44.30,-14.84%,7.11%,34.87,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.53%,0.61,1.78%,12200,2.10
2018-10-19,23:10:42 ,33.99,-0.99%,"241,139",479.09K,9.09B,261.30M,2.82B,2.45,34.79,11.49,3.35,-,3.23,1.30,1.30,0.71,-6.39%,-10.04%,-5.71%,30.17,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,267.48M,261.80M,1.71%,9.34,44.30,-15.68%,6.05%,34.33,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.53%,0.61,1.79%,12200,2.10
2018-10-22,20:33:06 ,34.35,1.06%,"525,617",478.24K,9.29B,261.30M,2.82B,2.47,35.16,11.62,3.38,-,3.30,1.30,1.30,0.71,-4.85%,-8.83%,-4.71%,33.95,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,270.38M,261.80M,1.71%,9.35,44.30,-14.79%,7.18%,33.99,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.78%,12200,2.10
2018-10-23,20:34:37 ,34.38,0.09%,"415,179",479.52K,9.30B,261.30M,2.82B,2.48,35.19,11.63,3.38,-,3.30,1.30,1.30,0.71,-4.29%,-8.52%,-4.62%,34.17,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,270.38M,261.80M,1.71%,9.33,44.30,-14.71%,7.27%,34.35,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.77%,12200,2.10
2018-10-24,20:32:37 ,33.56,-2.39%,"369,307",479.91K,9.07B,261.30M,2.82B,2.42,34.35,11.35,3.30,-,3.22,1.30,1.30,0.71,-6.10%,-10.48%,-6.90%,29.47,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,270.38M,261.80M,1.71%,9.32,44.30,-16.75%,4.71%,34.38,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.82%,12200,2.10
2018-10-25,20:33:46 ,33.71,0.45%,"415,354",480.55K,9.11B,261.30M,2.82B,2.43,34.50,11.40,3.32,-,3.24,1.30,1.30,0.71,-5.10%,-9.81%,-6.49%,31.31,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,270.38M,261.80M,1.71%,9.31,44.30,-16.37%,5.18%,33.56,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.81%,12200,2.10
2018-10-26,20:33:15 ,33.11,-1.78%,"404,636",481.86K,8.95B,261.30M,2.82B,2.38,33.89,11.20,3.26,-,3.18,1.30,1.30,0.71,-6.16%,-11.18%,-8.15%,27.57,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,270.38M,261.80M,1.71%,9.28,44.30,-17.86%,3.31%,33.71,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.84%,12200,2.10
2018-10-29,20:24:56 ,32.73,-1.15%,"542,002",479.71K,8.92B,261.30M,2.82B,2.36,33.50,11.05,3.25,-,3.17,1.30,1.30,0.71,-6.59%,-11.93%,-9.20%,25.09,3.10%,6.60%,6.10%,66.20%,18.10%,8.60%,272.47M,261.80M,1.62%,8.86,44.03,-18.80%,2.12%,33.11,0.98,13.70%,30.10%,2.30%,0.00%,77.80%,-0.52%,0.61,1.86%,12200,2.10
