date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:27:54 ,1.45,-3.33%,"198,273",339.19K,699.48M,284.30M,808.40M,-,0.97,3.45,-,3.80,0.87,-,-,-,-7.05%,-16.47%,-33.37%,34.49,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,482.40M,139.44M,0.14%,0.59,2.40,-63.29%,6.62%,1.50,1.50,-26.30%,-190.50%,0.40%,-40.10%,42.50%,0.11%,0.08,5.52%,483,2.50
2018-10-17,20:20:27 ,1.45,0.00%,"73,687",339.19K,699.48M,284.30M,808.40M,-,0.97,3.45,-,3.80,0.87,-,-,-,-6.33%,-15.93%,-33.21%,34.72,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,482.40M,139.44M,0.14%,0.59,2.40,-63.29%,6.62%,1.45,1.50,-26.30%,-190.50%,0.40%,-40.10%,42.50%,0.11%,0.08,5.52%,483,2.50
2018-10-18,20:58:53 ,1.42,-2.07%,"121,245",337.80K,685.01M,284.30M,808.40M,-,0.95,3.38,-,3.72,0.85,-,-,-,-7.61%,-17.15%,-34.40%,32.58,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,482.40M,139.44M,0.14%,0.59,2.40,-64.05%,4.41%,1.45,1.50,-26.30%,-190.50%,0.40%,-40.10%,42.50%,0.11%,0.08,5.63%,483,2.50
2018-10-19,21:07:21 ,1.38,-2.82%,"302,433",338.07K,665.71M,284.30M,808.40M,-,0.92,3.29,-,3.62,0.82,-,-,-,-9.51%,-18.96%,-36.05%,29.91,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,482.40M,139.44M,0.14%,0.59,2.40,-65.06%,1.47%,1.42,1.50,-26.30%,-190.50%,0.40%,-33.91%,42.50%,0.11%,0.08,5.80%,483,2.50
2018-10-22,18:20:39 ,1.39,0.72%,"284,240",339.02K,708.40M,284.30M,808.40M,-,0.93,3.31,-,3.85,0.88,-,-,-,-8.04%,-17.82%,-35.37%,31.51,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,509.64M,139.44M,0.14%,0.59,2.40,-64.81%,2.21%,1.38,1.50,-26.30%,-190.50%,0.40%,-25.67%,42.50%,0.12%,0.08,5.76%,483,2.50
2018-10-23,18:21:16 ,1.33,-4.32%,"582,143",342.13K,677.82M,284.30M,808.40M,-,0.89,3.17,-,3.68,0.84,-,-,-,-11.36%,-20.82%,-37.95%,27.78,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,509.64M,139.44M,0.14%,0.59,2.40,-66.33%,-1.47%,1.39,1.50,-26.30%,-190.50%,0.40%,-25.67%,42.50%,0.12%,0.08,6.02%,483,2.50
2018-10-24,18:21:14 ,1.22,-8.27%,"1,181,609",346.18K,621.76M,284.30M,808.40M,-,0.81,2.90,-,3.38,0.77,-,-,-,-17.96%,-26.81%,-42.89%,22.60,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,509.64M,139.44M,0.14%,0.58,2.40,-69.11%,-7.58%,1.33,1.50,-26.30%,-190.50%,0.40%,-25.67%,42.50%,0.12%,0.08,6.56%,483,2.50
2018-10-25,18:21:03 ,1.21,-0.82%,"606,570",362.78K,616.66M,284.30M,808.40M,-,0.81,2.88,-,3.35,0.76,-,-,-,-17.69%,-26.75%,-43.14%,21.84,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,509.64M,139.44M,0.14%,0.55,2.40,-69.37%,0.83%,1.22,1.50,-26.30%,-190.50%,0.40%,-14.52%,42.50%,0.12%,0.08,6.61%,483,2.50
2018-10-26,18:19:29 ,1.22,0.83%,"513,313",369.26K,621.76M,284.30M,808.40M,-,0.81,2.90,-,3.38,0.77,-,-,-,-16.27%,-25.41%,-42.47%,22.81,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,509.64M,139.44M,0.14%,0.54,2.40,-69.11%,5.17%,1.21,1.50,-26.30%,-190.50%,0.40%,-1.95%,42.50%,0.12%,0.08,6.56%,483,2.50
2018-10-29,18:19:38 ,1.25,2.46%,"316,214",366.06K,614.04M,284.30M,808.40M,-,0.84,2.98,-,3.34,0.76,-,-,-,-13.43%,-22.86%,-40.85%,27.68,0.20%,-0.80%,173.30%,96.80%,20.00%,0.40%,491.23M,139.44M,0.20%,0.76,2.40,-68.35%,10.62%,1.22,1.50,-26.30%,-190.50%,0.40%,-2.02%,42.00%,-0.35%,0.08,6.40%,483,2.50
