date,action,name,rate,target
Oct-18-18,Resumed,Robert W. Baird,Outperform,
Oct-19-18,Initiated,Wedbush ,Neutral,$225
Nov-26-18,Reiterated,Monness Crespi & Hardt,Buy,$265 to $235
Nov-30-18,Upgrade,Gabelli & Co,Hold to Buy,$207
Nov-30-18,Upgrade,First Analysis Sec,Outperform to Strong Buy,$240
Nov-30-18,Reiterated,Maxim Group,Buy,$274 to $280
Nov-30-18,Reiterated,BMO Capital Markets,Market Perform,$260 to $205
Jan-22-19,Upgrade,UBS,Neutral to Buy,
Jan-22-19,Upgrade,BMO Capital Markets,Market Perform to Outperform,$240
Feb-20-19,Downgrade,Gabelli & Co,Buy to Hold,
Feb-26-19,Downgrade,Northland Capital,Outperform to Market Perform,$240
