date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:35:43 ,54.85,1.56%,"241,120",203.64K,1.38B,104.50M,2.04B,3.29,13.07,10.13,0.88,13794.77,0.68,0.90,2.20,1.44,-5.89%,-10.80%,-10.79%,37.27,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.15M,23.32M,7.45%,8.53,80.29,-24.19%,5.73%,54.01,4.20,48.60%,67.10%,1.60%,0.12%,94.80%,0.14%,-,-,6721,1.70
2018-10-17,22:30:24 ,53.41,-2.63%,"158,163",203.64K,1.34B,104.50M,2.04B,3.20,12.73,9.87,0.85,13432.61,0.66,0.90,2.20,1.44,-7.47%,-12.99%,-13.03%,33.44,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.15M,23.32M,7.45%,8.53,80.29,-26.18%,2.96%,54.85,4.20,48.60%,67.10%,1.60%,0.12%,94.80%,0.14%,-,-,6721,1.70
2018-10-18,23:06:27 ,52.08,-2.49%,"280,460",203.44K,1.31B,104.50M,2.04B,3.12,12.41,9.62,0.83,13098.12,0.64,0.90,2.20,1.44,-8.80%,-14.97%,-15.08%,29.50,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.15M,23.32M,7.45%,8.54,80.29,-28.02%,0.40%,53.41,4.20,48.60%,67.10%,1.60%,0.12%,94.80%,0.14%,-,-,6721,1.70
2018-10-19,23:13:19 ,50.53,-2.98%,"251,768",205.27K,1.27B,104.50M,2.04B,3.03,12.04,9.33,0.81,12708.29,0.62,0.90,2.20,1.44,-10.58%,-17.27%,-17.49%,26.64,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.15M,23.32M,7.45%,8.46,80.29,-30.16%,0.60%,52.08,4.20,48.60%,67.10%,1.60%,0.12%,94.80%,0.14%,-,-,6721,1.70
2018-10-22,20:36:05 ,49.00,-3.03%,"273,802",206.58K,1.24B,104.50M,2.04B,2.94,11.68,9.05,0.78,12387.20,0.61,0.90,2.20,1.44,-12.44%,-19.49%,-19.88%,24.05,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.28M,23.32M,7.45%,8.41,80.29,-32.27%,-2.45%,50.53,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-23,20:37:28 ,48.18,-1.67%,"417,594",209.44K,1.22B,104.50M,2.04B,2.89,11.48,8.90,0.77,12179.90,0.60,0.90,2.20,1.44,-13.06%,-20.49%,-21.10%,22.94,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.28M,23.32M,7.45%,8.29,80.29,-33.41%,-0.15%,49.00,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-24,20:35:27 ,46.00,-4.52%,"404,383",212.75K,1.16B,104.50M,2.04B,2.76,10.96,8.50,0.74,11628.80,0.57,0.90,2.20,1.44,-16.18%,-23.73%,-24.55%,19.03,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.28M,23.32M,7.45%,8.16,80.29,-36.42%,-0.61%,48.18,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-25,20:36:36 ,44.08,-4.17%,"688,716",214.96K,1.11B,104.50M,2.04B,2.64,10.50,8.14,0.70,11143.42,0.55,0.90,2.20,1.44,-18.67%,-26.47%,-27.58%,17.19,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.28M,23.32M,7.45%,8.08,80.29,-39.07%,-3.06%,46.00,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-26,20:36:15 ,42.82,-2.86%,"399,095",219.13K,1.08B,104.50M,2.04B,2.57,10.20,7.91,0.68,10824.90,0.53,0.90,2.20,1.44,-19.85%,-28.16%,-29.53%,16.31,11.70%,29.40%,12.00%,17.80%,7.80%,5.50%,25.28M,23.32M,7.45%,7.93,80.29,-40.82%,-1.50%,44.08,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-29,20:27:32 ,40.49,-5.44%,"453,360",217.14K,1.02B,104.50M,2.04B,2.43,9.65,7.64,0.63,10223.73,0.50,0.90,2.20,1.44,-23.03%,-31.60%,-33.22%,14.33,10.30%,25.90%,12.00%,17.80%,6.80%,4.80%,25.25M,23.32M,7.33%,7.87,76.57,-44.04%,-3.62%,42.82,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-30,20:28:58 ,43.93,8.50%,"433,989",221.18K,1.11B,104.50M,2.04B,2.63,10.47,8.29,0.69,11092.33,0.54,0.90,2.20,1.44,-15.17%,-25.26%,-27.39%,28.95,10.30%,25.90%,12.00%,17.80%,6.80%,4.80%,25.25M,23.32M,7.33%,7.73,76.57,-39.28%,9.72%,40.49,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-10-31,20:27:19 ,43.51,-0.96%,"427,793",224.61K,1.10B,104.50M,2.04B,2.61,10.37,8.21,0.68,10986.27,0.54,0.90,2.20,1.44,-14.97%,-25.52%,-27.94%,27.75,10.30%,25.90%,12.00%,17.80%,6.80%,4.80%,25.25M,23.32M,7.33%,7.61,76.57,-39.86%,9.71%,43.93,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-11-01,20:30:14 ,45.21,3.91%,"456,290",228.42K,1.14B,104.50M,2.04B,2.71,10.77,8.53,0.71,11415.52,0.56,0.90,2.20,1.44,-10.37%,-22.08%,-25.00%,34.03,10.30%,25.90%,12.00%,17.80%,6.80%,4.80%,25.25M,23.32M,7.33%,7.48,76.57,-37.51%,13.99%,43.51,4.20,48.60%,67.10%,1.60%,0.12%,94.60%,-0.10%,-,-,6721,1.70
2018-11-03,01:58:28 ,46.97,3.89%,"249,249",230.30K,1.19B,104.50M,2.04B,2.82,11.19,8.86,0.73,11859.93,0.58,0.90,2.20,1.44,-5.72%,-18.54%,-21.93%,39.63,10.30%,25.90%,12.00%,17.80%,6.80%,4.80%,25.25M,23.32M,7.33%,7.42,76.57,-35.08%,18.43%,45.21,4.20,48.60%,67.10%,1.60%,0.89%,94.60%,-0.10%,-,-,6721,1.70
