date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:36:30 ,13.68,1.33%,"5,908",9.84K,247.88M,-2.30M,42.60M,1.46,-,91.20,-,4.79,5.82,-,-,0.00,-4.29%,-6.44%,-9.20%,39.02,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.12M,8.69M,2.74%,24.24,17.00,-19.29%,3.95%,13.50,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.07%,-,-,177,1.00
2018-10-17,22:31:12 ,13.62,-0.44%,"7,428",9.84K,246.79M,-2.30M,42.60M,1.46,-,90.80,-,4.76,5.79,-,-,0.00,-4.39%,-6.67%,-9.55%,38.09,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.12M,8.69M,2.74%,24.24,17.00,-19.65%,3.50%,13.68,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.07%,-,-,177,1.00
2018-10-18,23:07:13 ,13.58,-0.29%,"11,455",9.81K,246.07M,-2.30M,42.60M,1.45,-,90.53,-,4.75,5.78,-,-,0.00,-4.34%,-6.77%,-9.76%,37.69,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.12M,8.69M,2.74%,24.31,17.00,-19.88%,3.19%,13.62,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.07%,-,-,177,1.00
2018-10-19,23:14:05 ,13.50,-0.59%,"11,374",9.92K,244.62M,-2.30M,42.60M,1.44,-,90.00,-,4.72,5.74,-,-,0.00,-4.51%,-7.15%,-10.25%,35.18,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.12M,8.69M,2.74%,24.05,17.00,-20.35%,2.58%,13.58,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.07%,-,-,177,1.00
2018-10-22,20:36:56 ,13.56,0.44%,"14,050",10.03K,251.81M,-2.30M,42.60M,1.45,-,90.40,-,4.86,5.91,-,-,0.00,-3.58%,-6.54%,-9.80%,37.29,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.57M,8.69M,2.74%,23.79,17.00,-20.00%,3.04%,13.50,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.03%,-,-,177,1.00
2018-10-23,20:38:19 ,13.55,-0.07%,"11,414",10.19K,251.62M,-2.30M,42.60M,1.45,-,90.33,-,4.86,5.91,-,-,0.00,-3.23%,-6.45%,-9.83%,36.96,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.57M,8.69M,2.74%,23.39,17.00,-20.06%,2.96%,13.56,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.03%,-,-,177,1.00
2018-10-24,20:36:18 ,13.49,-0.44%,"20,585",10.20K,250.51M,-2.30M,42.60M,1.44,-,89.93,-,4.84,5.88,-,-,0.00,-3.12%,-6.70%,-10.19%,35.72,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.57M,8.69M,2.74%,23.38,17.00,-20.41%,2.51%,13.55,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.03%,-,-,177,1.00
2018-10-25,20:37:26 ,13.60,0.82%,"8,361",10.45K,252.55M,-2.30M,42.60M,1.45,-,90.67,-,4.88,5.93,-,-,0.00,-1.76%,-5.77%,-9.42%,40.18,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.57M,8.69M,2.74%,22.83,17.00,-19.76%,3.34%,13.49,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.03%,-,-,177,1.00
2018-10-26,20:37:09 ,13.45,-1.10%,"12,778",10.54K,249.77M,-2.30M,42.60M,1.44,-,89.67,-,4.82,5.86,-,-,0.00,-2.29%,-6.67%,-10.37%,36.78,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.57M,8.69M,2.74%,22.62,17.00,-20.65%,2.20%,13.60,-0.13,17.50%,-35.50%,0.20%,-,16.10%,0.03%,-,-,177,1.00
2018-10-29,20:28:18 ,13.55,0.74%,"26,149",10.66K,252.98M,-2.30M,42.60M,1.45,-,90.33,-,4.88,5.94,-,-,0.00,-0.97%,-5.79%,-9.66%,40.49,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.67M,8.69M,2.49%,20.27,17.00,-20.06%,2.96%,13.45,-0.13,17.50%,-35.50%,0.20%,-,16.10%,-,-,-,177,1.00
2018-10-30,20:29:44 ,13.58,0.22%,"5,815",10.91K,253.54M,-2.30M,42.60M,1.45,-,90.53,-,4.89,5.95,-,-,0.00,-0.49%,-5.42%,-9.42%,41.21,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.67M,8.69M,2.49%,19.80,17.00,-19.88%,3.19%,13.55,-0.13,17.50%,-35.50%,0.20%,-,16.10%,-,-,-,177,1.00
2018-10-31,20:28:05 ,13.71,0.96%,"14,102",10.93K,255.97M,-2.30M,42.60M,1.46,-,91.40,-,4.94,6.01,-,-,0.00,0.52%,-4.35%,-8.51%,46.01,-0.50%,-2.70%,18.90%,-,76.90%,-10.40%,18.67M,8.69M,2.49%,19.76,17.00,-19.12%,4.18%,13.58,-0.13,17.50%,-35.50%,0.20%,-,16.10%,-,-,-,177,1.00
