date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:37:25 ,3.00,7.14%,"83,188",49.05K,77.10M,-32.80M,266.00M,0.55,-,2.78,-,2.22,0.29,1.20,1.20,0.29,-0.43%,-5.70%,-0.75%,49.24,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,25.70M,18.86M,0.06%,0.24,6.75,-25.93%,40.85%,2.80,-1.94,-9.90%,102.70%,36.50%,0.00%,23.90%,-0.02%,-,-,157,2.00
2018-10-17,22:32:09 ,2.97,-1.00%,"21,538",49.05K,76.33M,-32.80M,266.00M,0.55,-,2.75,-,2.20,0.29,1.20,1.20,0.29,-1.23%,-6.59%,-1.73%,47.46,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,25.70M,18.86M,0.06%,0.24,6.75,-26.67%,39.44%,3.00,-1.94,-9.90%,102.70%,36.50%,0.00%,23.90%,-0.02%,-,-,157,2.00
2018-10-18,23:08:09 ,2.94,-1.01%,"10,581",49.29K,75.56M,-32.80M,266.00M,0.54,-,2.72,-,2.18,0.28,1.20,1.20,0.29,-2.02%,-7.41%,-2.71%,43.69,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,25.70M,18.86M,0.06%,0.24,6.75,-27.41%,38.03%,2.97,-1.94,-9.90%,102.70%,36.50%,0.00%,23.90%,-0.02%,-,-,157,2.00
2018-10-19,23:15:00 ,2.90,-1.36%,"9,545",48.64K,74.53M,-32.80M,266.00M,0.53,-,2.69,-,2.15,0.28,1.20,1.20,0.29,-2.86%,-8.48%,-4.01%,41.31,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,25.70M,18.86M,0.06%,0.24,6.75,-28.40%,36.15%,2.94,-1.94,-9.90%,102.70%,36.50%,0.00%,23.90%,-0.02%,-,-,157,2.00
2018-10-22,20:37:55 ,2.95,1.72%,"14,669",48.34K,77.61M,-32.80M,266.00M,0.54,-,2.73,-,2.24,0.29,1.20,1.20,0.29,-0.76%,-6.73%,-2.32%,43.61,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.31M,18.86M,0.06%,0.24,6.75,-27.16%,38.50%,2.90,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-23,20:39:18 ,2.94,-0.34%,"19,946",48.01K,77.35M,-32.80M,266.00M,0.54,-,2.72,-,2.23,0.29,1.20,1.20,0.29,-0.83%,-6.93%,-2.63%,43.09,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.31M,18.86M,0.06%,0.24,6.75,-27.41%,38.03%,2.95,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-24,20:37:17 ,2.80,-4.76%,"22,961",47.98K,73.67M,-32.80M,266.00M,0.51,-,2.59,-,2.12,0.28,1.20,1.20,0.29,-5.20%,-11.33%,-7.21%,35.71,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.31M,18.86M,0.06%,0.24,6.75,-30.86%,31.46%,2.94,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-25,20:38:27 ,2.98,6.43%,"21,756",47.42K,78.40M,-32.80M,266.00M,0.55,-,2.76,-,2.26,0.29,1.20,1.20,0.29,1.40%,-5.49%,-1.16%,47.14,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.31M,18.86M,0.06%,0.25,6.75,-26.42%,39.91%,2.80,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-26,20:38:08 ,2.95,-1.01%,"34,314",46.91K,77.61M,-32.80M,266.00M,0.54,-,2.73,-,2.24,0.29,1.20,1.20,0.29,0.44%,-6.45%,-2.10%,45.00,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.31M,18.86M,0.06%,0.25,6.75,-27.16%,38.50%,2.98,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-29,20:29:12 ,2.95,0.00%,"36,777",46.66K,77.41M,-32.80M,266.00M,0.54,-,2.73,-,2.23,0.29,1.20,1.20,0.29,0.55%,-6.42%,-2.02%,44.94,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.24M,18.86M,0.05%,0.18,6.75,-27.16%,38.50%,2.95,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-30,20:30:38 ,2.95,0.00%,"14,281",46.73K,77.41M,-32.80M,266.00M,0.54,-,2.73,-,2.23,0.29,1.20,1.20,0.29,0.48%,-6.30%,-1.97%,45.12,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.24M,18.86M,0.05%,0.18,6.75,-27.16%,38.50%,2.95,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-10-31,20:29:02 ,3.07,4.07%,"69,239",46.84K,80.56M,-32.80M,266.00M,0.56,-,2.84,-,2.32,0.30,1.20,1.20,0.29,4.48%,-2.35%,2.08%,53.36,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.24M,18.86M,0.05%,0.18,6.75,-24.20%,44.13%,2.95,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-11-01,20:31:54 ,2.80,-8.79%,"174,722",47.41K,73.47M,-32.80M,266.00M,0.51,-,2.59,-,2.12,0.28,1.20,1.20,0.29,-4.79%,-10.72%,-6.87%,40.46,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.24M,18.86M,0.05%,0.18,6.75,-30.86%,31.46%,3.07,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-11-03,02:00:09 ,2.83,1.07%,"30,479",49.73K,74.26M,-32.80M,266.00M,0.52,-,2.62,-,2.14,0.28,1.20,1.20,0.29,-3.45%,-9.37%,-5.81%,42.92,-12.50%,-22.70%,-33.20%,88.90%,-10.60%,-12.60%,26.24M,18.86M,0.05%,0.17,6.75,-30.12%,32.86%,2.80,-1.94,-9.90%,102.70%,36.50%,0.00%,23.60%,-1.29%,-,-,157,2.00
2018-11-05,19:33:01 ,2.89,2.12%,"23,234",49.89K,74.24M,-32.80M,266.00M,0.53,-,2.68,-,1.82,0.28,1.30,1.30,0.28,-1.03%,-6.99%,-3.75%,46.62,-,-,-33.20%,88.90%,-10.20%,-,25.69M,18.86M,0.05%,0.17,6.75,-28.64%,35.68%,2.83,-1.94,-12.00%,-,36.50%,0.00%,22.60%,-5.35%,-,-,157,2.00
2018-11-06,19:30:57 ,2.97,2.77%,"26,412",50.00K,76.30M,-32.80M,266.00M,0.55,-,2.75,-,1.87,0.29,1.30,1.30,0.28,1.92%,-4.00%,-1.04%,50.53,-,-,-33.20%,88.90%,-10.20%,-,25.69M,18.86M,0.05%,0.17,6.75,-26.67%,39.44%,2.89,-1.94,-12.00%,-,36.50%,0.00%,22.60%,-5.35%,-,-,157,2.00
2018-11-07,19:39:59 ,2.93,-1.35%,"33,499",49.69K,75.27M,-32.80M,266.00M,0.54,-,2.71,-,1.84,0.28,1.30,1.30,0.28,0.65%,-4.89%,-2.34%,48.27,-,-,-33.20%,88.90%,-10.20%,-,25.69M,18.86M,0.05%,0.17,6.75,-27.65%,37.56%,2.97,-1.94,-12.00%,-,36.50%,0.00%,22.60%,-5.35%,-,-,157,2.00
2018-11-08,19:51:24 ,2.95,0.68%,"29,627",49.45K,75.79M,-32.80M,266.00M,0.54,-,2.73,-,1.85,0.28,1.30,1.30,0.28,1.25%,-3.82%,-1.64%,49.22,-,-,-33.20%,88.90%,-10.20%,-,25.69M,18.86M,0.05%,0.17,6.75,-27.16%,38.50%,2.93,-1.94,-12.00%,-,36.50%,0.00%,22.60%,-5.35%,-,-,157,2.00
2018-11-09,20:07:55 ,2.98,1.02%,"9,551",49.50K,76.56M,-32.80M,266.00M,0.55,-,2.76,-,1.87,0.29,1.30,1.30,0.28,2.04%,-2.38%,-0.59%,50.93,-,-,-33.20%,88.90%,-10.20%,-,25.69M,18.86M,0.05%,0.17,6.75,-26.42%,39.91%,2.95,-1.94,-12.00%,-,36.50%,0.00%,22.60%,-5.35%,-,-,157,2.00
2018-11-12,22:10:33 ,2.91,-2.35%,"12,423",46.34K,74.79M,-33.20M,258.20M,0.52,-,5.60,-,1.83,0.29,1.30,1.30,0.28,-0.60%,-4.26%,-2.89%,46.70,-13.30%,-24.30%,-33.20%,87.80%,-10.60%,-13.20%,25.70M,18.86M,0.10%,0.40,6.75,-28.15%,36.62%,2.98,-1.96,-12.00%,-14.90%,36.50%,0.00%,33.40%,40.31%,-,-,157,2.00
2018-11-13,19:42:03 ,2.86,-1.72%,"17,592",45.85K,73.50M,-33.20M,258.20M,0.52,-,5.50,-,1.80,0.28,1.30,1.30,0.28,-2.49%,-5.49%,-4.52%,44.93,-13.30%,-24.30%,-33.20%,87.80%,-10.60%,-13.20%,25.70M,18.86M,0.10%,0.40,6.75,-29.38%,34.27%,2.91,-1.96,-12.00%,-14.90%,36.50%,0.00%,33.40%,40.31%,-,-,157,2.00
2018-11-14,19:31:22 ,2.89,1.05%,"10,533",45.29K,74.27M,-33.20M,258.20M,0.52,-,5.56,-,1.82,0.29,1.30,1.30,0.28,-1.23%,-4.12%,-3.48%,46.67,-13.30%,-24.30%,-33.20%,87.80%,-10.60%,-13.20%,25.70M,18.86M,0.10%,0.41,6.75,-28.64%,35.68%,2.86,-1.96,-12.00%,-14.90%,36.50%,0.00%,33.40%,40.31%,-,-,157,2.00
