date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:07:26 ,26.66,1.07%,"30,132",14.56K,-,-,-,-,-,-,-,-,-,-,-,-,-2.67%,-2.20%,1.45%,37.73,-,-,-,-,-,-,-,-,-,0.12,-,-4.95%,8.91%,26.38,-,-,-,-,-,-,-,0.54,2.03%,-,-
2018-10-17,22:01:05 ,26.70,0.15%,"5,628",14.56K,-,-,-,-,-,-,-,-,-,-,-,-,-2.32%,-2.05%,1.59%,38.71,-,-,-,-,-,-,-,-,-,0.12,-,-4.81%,9.07%,26.66,-,-,-,-,-,-,-,0.54,2.02%,-,-
2018-10-18,22:37:56 ,26.48,-0.83%,"11,158",14.61K,-,-,-,-,-,-,-,-,-,-,-,-,-2.95%,-2.85%,0.74%,34.86,-,-,-,-,-,-,-,-,-,0.12,-,-5.61%,8.16%,26.70,-,-,-,-,-,-,-,0.54,2.04%,-,-
2018-10-19,22:45:16 ,26.64,0.60%,"11,862",14.58K,-,-,-,-,-,-,-,-,-,-,-,-,-2.10%,-2.24%,1.34%,39.74,-,-,-,-,-,-,-,-,-,0.12,-,-5.04%,8.81%,26.48,-,-,-,-,-,-,-,0.54,2.03%,-,-
2018-10-22,20:05:12 ,26.48,-0.59%,"13,103",14.21K,-,-,-,-,-,-,-,-,-,-,-,-,-2.43%,-2.80%,0.75%,37.23,-,-,-,-,-,-,-,-,-,0.12,-,-5.60%,8.17%,26.64,-,-,-,-,-,-,-,0.55,2.08%,-,-
2018-10-23,20:06:58 ,26.43,-0.18%,"13,204",14.25K,-,-,-,-,-,-,-,-,-,-,-,-,-2.38%,-2.96%,0.58%,36.17,-,-,-,-,-,-,-,-,-,0.12,-,-5.76%,7.98%,26.48,-,-,-,-,-,-,-,0.55,2.08%,-,-
2018-10-24,20:05:11 ,25.85,-2.21%,"20,133",14.39K,-,-,-,-,-,-,-,-,-,-,-,-,-4.33%,-5.09%,-1.63%,27.62,-,-,-,-,-,-,-,-,-,0.12,-,-7.84%,5.60%,26.43,-,-,-,-,-,-,-,0.55,2.13%,-,-
2018-10-25,20:06:07 ,25.98,0.49%,"12,756",14.32K,-,-,-,-,-,-,-,-,-,-,-,-,-3.57%,-4.56%,-1.13%,31.48,-,-,-,-,-,-,-,-,-,0.12,-,-7.39%,6.11%,25.85,-,-,-,-,-,-,-,0.55,2.12%,-,-
2018-10-26,20:04:26 ,25.67,-1.18%,"23,557",14.35K,-,-,-,-,-,-,-,-,-,-,-,-,-4.43%,-5.64%,-2.28%,27.71,-,-,-,-,-,-,-,-,-,0.12,-,-8.48%,4.86%,25.98,-,-,-,-,-,-,-,0.55,2.14%,-,-
2018-10-29,19:59:21 ,25.57,-0.39%,"15,270",14.51K,-,-,-,-,-,-,-,-,-,-,-,-,-4.47%,-5.92%,-2.64%,26.96,-,-,-,-,-,-,-,-,-,0.62,-,-8.84%,4.45%,25.67,-,-,-,-,-,-,-,0.53,2.07%,-,-
2018-10-30,20:00:16 ,26.01,1.72%,"34,707",14.37K,-,-,-,-,-,-,-,-,-,-,-,-,-2.45%,-4.19%,-0.94%,38.65,-,-,-,-,-,-,-,-,-,0.62,-,-7.27%,6.25%,25.57,-,-,-,-,-,-,-,0.53,2.04%,-,-
2018-10-31,19:59:20 ,26.30,1.12%,"5,434",14.70K,-,-,-,-,-,-,-,-,-,-,-,-,-1.05%,-3.04%,0.18%,45.01,-,-,-,-,-,-,-,-,-,0.61,-,-6.24%,7.43%,26.01,-,-,-,-,-,-,-,0.53,2.02%,-,-
2018-11-01,20:02:15 ,26.35,0.19%,"12,160",14.46K,-,-,-,-,-,-,-,-,-,-,-,-,-0.62%,-2.79%,0.39%,45.68,-,-,-,-,-,-,-,-,-,0.62,-,-6.06%,7.64%,26.30,-,-,-,-,-,-,-,0.53,2.01%,-,-
2018-11-03,01:29:55 ,26.24,-0.40%,"7,076",14.45K,-,-,-,-,-,-,-,-,-,-,-,-,-0.81%,-3.13%,0.00%,43.85,-,-,-,-,-,-,-,-,-,0.62,-,-6.44%,7.20%,26.35,-,-,-,-,-,-,-,0.53,2.02%,-,-
2018-11-05,19:02:26 ,26.71,1.78%,"10,005",14.27K,-,-,-,-,-,-,-,-,-,-,-,-,1.17%,-1.35%,1.80%,52.98,-,-,-,-,-,-,-,-,-,0.63,-,-4.78%,9.11%,26.24,-,-,-,-,-,-,-,0.54,2.02%,-,-
