date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:33:00 ,49.45,6.07%,"1,090,189",1.12M,4.76B,392.30M,493.40M,-,10.92,35.70,0.59,32.21,9.65,2.00,2.10,-,-1.42%,-1.88%,16.83%,49.12,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,96.26M,87.59M,3.45%,2.71,55.08,-10.66%,93.54%,46.62,4.53,31.00%,87.40%,0.10%,-92.89%,-,0.70%,-,-,833,1.90
2018-10-17,20:25:30 ,49.45,0.00%,"757,306",1.12M,4.76B,392.30M,493.40M,-,10.92,35.70,0.59,32.21,9.65,2.00,2.10,-,-1.36%,-1.92%,16.63%,49.29,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,96.26M,87.59M,3.45%,2.71,55.08,-10.66%,93.54%,49.45,4.53,31.00%,87.40%,0.10%,-92.89%,-,0.70%,-,-,833,1.90
2018-10-18,21:04:07 ,47.95,-3.03%,"911,984",1.12M,4.62B,392.30M,493.40M,-,10.59,34.62,0.57,31.23,9.35,2.00,2.10,-,-4.36%,-4.91%,12.87%,43.81,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,96.26M,87.59M,3.45%,2.71,55.08,-13.37%,87.67%,49.45,4.53,31.00%,87.40%,0.10%,-92.89%,-,0.70%,-,-,833,1.90
2018-10-19,21:12:22 ,48.00,0.10%,"1,164,946",1.12M,4.62B,392.30M,493.40M,-,10.60,34.66,0.57,31.26,9.36,2.00,2.10,-,-4.08%,-4.80%,12.79%,44.20,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,96.26M,87.59M,3.45%,2.70,55.08,-13.28%,87.87%,47.95,4.53,31.00%,87.40%,0.10%,-92.89%,-,0.70%,-,-,833,1.90
2018-10-22,18:25:47 ,48.14,0.29%,"903,081",1.13M,4.73B,392.30M,493.40M,-,10.63,34.76,0.57,32.02,9.59,2.00,2.10,-,-3.58%,-4.49%,12.91%,45.08,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.30M,87.59M,3.45%,2.69,55.08,-13.03%,88.34%,48.00,4.53,31.00%,87.40%,0.10%,-92.75%,-,0.70%,-,-,833,1.90
2018-10-23,18:26:25 ,47.40,-1.54%,"1,395,690",1.12M,4.66B,392.30M,493.40M,-,10.47,34.22,0.57,31.53,9.44,2.00,2.10,-,-4.87%,-5.82%,10.99%,41.80,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.30M,87.59M,3.45%,2.69,55.08,-14.36%,85.45%,48.14,4.53,31.00%,87.40%,0.10%,-92.75%,-,0.70%,-,-,833,1.90
2018-10-24,18:26:22 ,45.44,-4.14%,"911,766",1.13M,4.47B,392.30M,493.40M,-,10.03,32.81,0.54,30.22,9.05,2.00,2.10,-,-8.22%,-9.65%,6.23%,35.14,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.30M,87.59M,3.45%,2.68,55.08,-17.90%,77.78%,47.40,4.53,31.00%,87.40%,0.10%,-92.75%,-,0.70%,-,-,833,1.90
2018-10-25,18:26:17 ,46.54,2.42%,"815,538",1.13M,4.57B,392.30M,493.40M,-,10.28,33.60,0.56,30.95,9.27,2.00,2.10,-,-5.17%,-7.20%,8.64%,40.16,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.30M,87.59M,3.45%,2.69,55.08,-15.92%,82.08%,45.44,4.53,31.00%,87.40%,0.10%,-92.75%,-,0.70%,-,-,833,1.90
2018-10-26,18:24:42 ,46.73,0.41%,"1,033,333",1.13M,4.59B,392.30M,493.40M,-,10.32,33.74,0.56,31.08,9.31,2.00,2.10,-,-4.08%,-6.62%,8.91%,41.45,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.30M,87.59M,3.45%,2.68,55.08,-15.57%,82.82%,46.54,4.53,31.00%,87.40%,0.10%,-92.75%,-,0.70%,-,-,833,1.90
2018-10-29,18:24:48 ,45.63,-2.35%,"967,558",1.13M,4.47B,392.30M,493.40M,-,10.08,32.95,0.54,30.26,9.06,2.00,2.10,-,-5.63%,-8.64%,6.18%,37.97,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.01M,87.59M,3.38%,2.61,55.08,-17.56%,78.52%,46.73,4.53,31.00%,87.40%,0.10%,-92.77%,-,0.89%,-,-,833,1.90
2018-10-30,18:25:41 ,47.62,4.36%,"1,321,853",1.13M,4.67B,392.30M,493.40M,-,10.51,34.38,0.57,31.58,9.46,2.00,2.10,-,-0.70%,-4.46%,10.64%,46.72,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.01M,87.59M,3.38%,2.61,55.08,-13.97%,86.31%,45.63,4.53,31.00%,87.40%,0.10%,-92.77%,-,0.89%,-,-,833,1.90
2018-10-31,18:25:24 ,49.09,3.09%,"950,223",1.14M,4.81B,392.30M,493.40M,-,10.84,35.44,0.59,32.55,9.75,2.00,2.10,-,2.78%,-1.40%,13.85%,52.19,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.01M,87.59M,3.38%,2.60,55.08,-11.31%,92.06%,47.62,4.53,31.00%,87.40%,0.10%,-92.77%,-,0.89%,-,-,833,1.90
2018-11-01,18:26:05 ,49.14,0.10%,"910,516",1.14M,4.82B,392.30M,493.40M,-,10.85,35.48,0.59,32.59,9.76,2.00,2.10,-,3.04%,-1.24%,13.75%,52.99,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.01M,87.59M,3.38%,2.59,55.08,-11.22%,92.25%,49.09,4.53,31.00%,87.40%,0.10%,-92.77%,-,0.89%,-,-,833,1.90
2018-11-02,23:49:09 ,48.29,-1.73%,"774,836",1.14M,4.73B,392.30M,493.40M,-,10.66,34.87,0.58,32.02,9.59,2.00,2.10,-,1.45%,-2.90%,11.56%,49.84,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,98.01M,87.59M,3.38%,2.59,55.08,-12.76%,88.93%,49.14,4.53,31.00%,87.40%,0.10%,-92.77%,-,0.89%,-,-,833,1.90
2018-11-05,17:25:54 ,47.10,-2.46%,"1,070,633",1.15M,4.72B,392.30M,493.40M,-,10.40,34.25,0.56,31.91,9.56,2.00,2.10,-,-0.93%,-5.24%,8.62%,45.31,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,100.14M,87.59M,3.38%,2.58,55.17,-14.91%,84.27%,48.29,4.53,31.00%,87.40%,0.10%,-92.62%,-,-0.43%,-,-,833,1.90
2018-11-06,17:23:47 ,47.48,0.81%,"1,269,178",1.15M,4.75B,392.30M,493.40M,-,10.48,34.53,0.57,32.17,9.64,2.00,2.10,-,0.01%,-4.33%,9.33%,46.86,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,100.14M,87.59M,3.38%,2.58,55.17,-14.22%,85.76%,47.10,4.53,31.00%,87.40%,0.10%,-92.62%,-,-0.43%,-,-,833,1.90
2018-11-07,17:29:17 ,55.57,17.04%,"4,296,266",1.15M,5.56B,392.30M,493.40M,-,12.27,40.41,0.66,37.65,11.28,2.00,2.10,-,17.19%,12.15%,27.76%,68.47,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,100.14M,87.59M,3.38%,2.57,55.17,0.40%,117.41%,47.48,4.53,31.00%,87.40%,0.10%,-92.62%,-,-0.43%,-,-,833,1.90
2018-11-08,17:23:31 ,56.61,1.87%,"1,678,552",1.21M,5.67B,392.30M,493.40M,-,12.50,41.17,0.68,38.36,11.49,2.00,2.10,-,18.25%,14.08%,29.84%,70.04,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,100.14M,87.59M,3.38%,2.46,55.17,-1.12%,99.33%,55.57,4.53,31.00%,87.40%,0.10%,-92.62%,-,-0.43%,-,-,833,1.90
2018-11-09,18:10:54 ,54.99,-2.86%,"964,723",1.22M,5.51B,392.30M,493.40M,-,12.14,39.99,0.66,37.26,11.16,2.00,2.10,-,13.54%,10.58%,25.81%,64.24,4.90%,-54.40%,18.60%,53.60%,33.20%,11.70%,100.14M,87.59M,3.38%,2.43,55.17,-4.63%,89.75%,56.61,4.53,31.00%,87.40%,0.10%,-92.62%,-,-0.43%,-,-,833,1.90
2018-11-12,20:05:21 ,51.10,-7.07%,"2,432,047",1.21M,5.18B,394.40M,532.60M,-,11.23,36.58,0.40,9.04,9.72,5.30,5.30,-,4.58%,2.59%,16.64%,52.90,4.80%,-58.50%,18.60%,52.20%,32.60%,11.20%,101.30M,88.85M,4.03%,2.97,56.15,-11.38%,76.33%,54.99,4.55,40.20%,11.70%,0.10%,-92.54%,-,0.47%,-,-,833,1.90
2018-11-13,17:24:42 ,52.09,1.94%,"1,112,986",1.19M,5.28B,394.40M,532.60M,-,11.45,37.29,0.41,9.21,9.91,5.30,5.30,-,6.12%,4.58%,18.67%,55.69,4.80%,-58.50%,18.60%,52.20%,32.60%,11.20%,101.30M,88.85M,4.03%,3.01,56.15,-9.66%,79.74%,51.10,4.55,40.20%,11.70%,0.10%,-92.54%,-,0.47%,-,-,833,1.90
2018-11-14,17:24:30 ,52.55,0.88%,"1,284,722",1.18M,5.32B,394.40M,532.60M,-,11.55,37.62,0.41,9.30,9.99,5.30,5.30,-,6.77%,5.48%,19.48%,56.51,4.80%,-58.50%,18.60%,52.20%,32.60%,11.20%,101.30M,88.85M,4.03%,3.04,56.15,-8.86%,81.33%,52.09,4.55,40.20%,11.70%,0.10%,-92.54%,-,0.47%,-,-,833,1.90
2018-11-15,17:24:07 ,53.76,2.30%,"1,079,789",1.17M,5.45B,394.40M,532.60M,-,11.82,38.48,0.42,9.51,10.23,5.30,5.30,-,8.89%,7.80%,21.97%,59.23,4.80%,-58.50%,18.60%,52.20%,32.60%,11.20%,101.30M,88.85M,4.03%,3.07,56.15,-6.76%,85.51%,52.55,4.55,40.20%,11.70%,0.10%,-92.54%,-,0.47%,-,-,833,1.90
