date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:38:07 ,2.17,-2.69%,"14,433",42.28K,166.01M,14.60M,46.30M,1.32,11.73,-,-,110.67,3.59,0.30,0.40,0.20,-4.20%,-10.87%,-27.78%,42.83,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,76.50M,34.53M,0.41%,3.34,15.00,-48.33%,7.96%,2.23,0.19,-61.90%,-67.10%,56.32%,2.09%,0.80%,-,0.04,1.84%,480,-
2018-10-17,22:32:53 ,2.16,-0.46%,"11,968",42.28K,165.24M,14.60M,46.30M,1.32,11.68,-,-,110.16,3.57,0.30,0.40,0.20,-4.49%,-10.95%,-28.01%,42.29,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,76.50M,34.53M,0.41%,3.34,15.00,-48.57%,7.46%,2.17,0.19,-61.90%,-67.10%,56.32%,2.09%,0.80%,-,0.04,1.85%,480,-
2018-10-18,23:08:51 ,1.95,-9.72%,"78,623",41.88K,149.18M,14.60M,46.30M,1.19,10.54,-,-,99.45,3.22,0.30,0.40,0.20,-13.44%,-19.39%,-34.91%,33.54,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,76.50M,34.53M,0.41%,3.37,15.00,-53.57%,-2.99%,2.16,0.19,-61.90%,-67.10%,56.32%,2.09%,0.80%,-,0.04,2.05%,480,-
2018-10-19,23:15:41 ,1.97,1.03%,"107,167",42.34K,150.71M,14.60M,46.30M,1.20,10.65,-,-,100.47,3.25,0.30,0.40,0.20,-11.92%,-18.13%,-34.09%,34.01,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,76.50M,34.53M,0.41%,3.34,15.00,-53.10%,2.60%,1.95,0.19,-61.90%,-67.10%,56.32%,2.09%,0.80%,-,0.04,2.03%,480,-
2018-10-22,20:38:41 ,1.85,-6.09%,"51,140",43.34K,144.80M,14.60M,46.30M,1.13,10.00,-,-,96.53,3.13,0.30,0.40,0.20,-16.77%,-22.66%,-37.98%,29.95,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,78.27M,34.53M,0.41%,3.26,15.00,-55.95%,-3.65%,1.97,0.19,-61.90%,-67.10%,56.32%,2.04%,0.80%,2.62%,0.04,2.16%,480,-
2018-10-23,20:40:03 ,1.74,-5.95%,"83,106",43.82K,136.19M,14.60M,46.30M,1.06,9.41,-,-,90.79,2.94,0.30,0.40,0.20,-20.91%,-26.78%,-41.51%,27.16,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,78.27M,34.53M,0.41%,3.23,15.00,-58.57%,-4.40%,1.85,0.19,-61.90%,-67.10%,56.32%,2.04%,0.80%,2.62%,0.04,2.30%,480,-
2018-10-24,20:38:02 ,2.03,16.67%,"102,924",44.65K,158.89M,14.60M,46.30M,1.24,10.97,-,-,105.93,3.43,0.30,0.40,0.20,-6.33%,-13.97%,-31.52%,43.25,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,78.27M,34.53M,0.41%,3.16,15.00,-51.67%,18.71%,1.74,0.19,-61.90%,-67.10%,56.32%,2.04%,0.80%,2.62%,0.04,1.97%,480,-
2018-10-25,20:39:12 ,2.05,0.99%,"42,909",43.05K,160.45M,14.60M,46.30M,1.25,11.08,-,-,106.97,3.47,0.30,0.40,0.20,-4.72%,-12.68%,-30.64%,43.87,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,78.27M,34.53M,0.41%,3.28,15.00,-51.19%,19.88%,2.03,0.19,-61.90%,-67.10%,56.32%,2.04%,0.80%,2.62%,0.04,1.95%,480,-
2018-10-26,20:38:53 ,2.12,3.41%,"20,047",43.00K,165.93M,14.60M,46.30M,1.29,11.46,-,-,110.62,3.58,0.30,0.40,0.20,-0.92%,-9.25%,-28.05%,47.05,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,78.27M,34.53M,0.41%,3.29,15.00,-49.52%,23.98%,2.05,0.19,-61.90%,-67.10%,56.32%,2.04%,0.80%,2.62%,0.04,1.89%,480,-
2018-10-29,20:29:54 ,2.22,4.72%,"63,857",42.32K,169.74M,14.60M,46.30M,1.35,12.00,-,-,113.16,3.67,0.30,0.40,0.20,4.05%,-4.56%,-24.43%,51.02,7.00%,11.30%,19.90%,50.60%,36.10%,31.50%,76.46M,33.65M,0.39%,3.12,15.00,-47.14%,29.82%,2.12,0.19,-61.90%,-67.10%,56.32%,2.09%,0.80%,2.69%,0.04,1.80%,480,-
