date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:33:25 ,37.78,2.94%,"534,563",332.14K,3.04B,178.80M,3.44B,5.08,17.16,13.35,2.00,19.16,0.88,1.20,1.80,2.24,-10.14%,-11.49%,-12.41%,29.36,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,80.45M,78.99M,2.43%,5.79,48.33,-20.43%,5.86%,36.70,2.20,12.40%,5.30%,0.60%,-10.76%,98.00%,0.08%,0.70,1.85%,6300,2.50
2018-10-17,20:25:54 ,37.83,0.13%,"463,109",332.14K,3.04B,178.80M,3.44B,5.09,17.19,13.37,2.01,19.19,0.89,1.20,1.80,2.24,-9.33%,-11.11%,-12.24%,29.76,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,80.45M,78.99M,2.43%,5.79,48.33,-20.32%,6.00%,37.78,2.20,12.40%,5.30%,0.60%,-10.76%,98.00%,0.08%,0.70,1.85%,6300,2.50
2018-10-18,21:04:32 ,36.93,-2.38%,"355,624",336.03K,2.97B,178.80M,3.44B,4.97,16.78,13.05,1.96,18.73,0.86,1.20,1.80,2.24,-10.81%,-12.96%,-14.26%,26.11,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,80.45M,78.99M,2.43%,5.72,48.33,-22.22%,3.47%,37.83,2.20,12.40%,5.30%,0.60%,-10.76%,98.00%,0.08%,0.70,1.90%,6300,2.50
2018-10-19,21:12:46 ,36.33,-1.62%,"294,310",337.14K,2.92B,178.80M,3.44B,4.89,16.51,12.84,1.93,18.43,0.85,1.20,1.80,2.24,-11.40%,-14.07%,-15.58%,24.37,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,80.45M,78.99M,2.43%,5.70,48.33,-23.48%,1.79%,36.93,2.20,12.40%,5.30%,0.60%,-10.76%,98.00%,0.08%,0.70,1.93%,6300,2.50
2018-10-22,18:26:11 ,35.90,-1.18%,"506,424",335.96K,2.92B,178.80M,3.44B,4.83,16.31,12.72,1.90,18.39,0.85,1.20,1.80,2.24,-11.49%,-14.74%,-16.50%,23.28,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,81.26M,78.99M,2.43%,5.72,47.56,-24.39%,0.59%,36.33,2.20,12.40%,5.30%,0.60%,-10.66%,98.00%,0.09%,0.78,2.17%,6300,2.50
2018-10-23,18:26:49 ,35.20,-1.95%,"859,511",339.01K,2.86B,178.80M,3.44B,4.74,15.99,12.47,1.87,18.04,0.83,1.20,1.80,2.24,-12.29%,-16.07%,-18.04%,21.30,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,81.26M,78.99M,2.43%,5.67,47.56,-25.86%,-1.35%,35.90,2.20,12.40%,5.30%,0.60%,-10.66%,98.00%,0.09%,0.78,2.22%,6300,2.50
2018-10-24,18:26:46 ,30.73,-12.70%,"1,549,651",348.11K,2.50B,178.80M,3.44B,4.14,13.96,10.89,1.63,15.74,0.73,1.20,1.80,2.24,-22.54%,-26.43%,-28.36%,13.16,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,81.26M,78.99M,2.43%,5.52,47.56,-35.27%,-11.24%,35.20,2.20,12.40%,5.30%,0.60%,-10.66%,98.00%,0.09%,0.78,2.54%,6300,2.50
2018-10-25,18:26:41 ,30.79,0.20%,"1,797,009",359.07K,2.50B,178.80M,3.44B,4.14,13.99,10.91,1.63,15.78,0.73,1.20,1.80,2.24,-21.07%,-25.83%,-28.09%,13.83,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,81.26M,78.99M,2.43%,5.36,47.56,-35.15%,0.62%,30.73,2.20,12.40%,5.30%,0.60%,-10.66%,98.00%,0.09%,0.78,2.53%,6300,2.50
2018-10-26,18:25:06 ,30.82,0.10%,"840,311",373.51K,2.50B,178.80M,3.44B,4.15,14.00,10.92,1.63,15.79,0.73,1.20,1.80,2.24,-19.69%,-25.31%,-27.90%,14.25,6.40%,29.90%,12.70%,21.90%,7.80%,5.10%,81.26M,78.99M,2.43%,5.15,47.56,-35.09%,2.63%,30.79,2.20,12.40%,5.30%,0.60%,-8.13%,98.00%,0.09%,0.78,2.53%,6300,2.50
2018-10-29,18:25:13 ,31.11,0.94%,"1,111,294",381.29K,2.48B,188.80M,3.50B,4.05,13.33,11.65,1.76,13.72,0.71,1.30,1.90,2.18,-17.55%,-24.16%,-27.09%,16.96,6.80%,31.20%,12.70%,21.70%,7.80%,5.30%,79.74M,78.99M,2.52%,5.21,42.11,-34.47%,3.60%,30.82,2.33,7.90%,26.90%,0.60%,-8.27%,98.20%,0.27%,0.78,2.51%,6300,2.50
