date,title,source
Oct-31-18,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Nov-01-18,PPR - $.0265 October Dividend,Business Wire
Nov-30-18,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Dec-03-18,PPR - $.0259 November Dividend,Business Wire
Dec-19-18,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Jan-02-19,PPR - $.0270 December Dividend,Business Wire
Jan-31-19,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Feb-01-19,PPR - $.0270 January Dividend,Business Wire
Feb-28-19,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Mar-01-19,PPR - $.0255 February Dividend,Business Wire
Mar-29-19,Voya Prime Rate Trust (NYSE: PPR) Dividend Declaration,Business Wire
Apr-01-19,PPR - $.0275 March Dividend,Business Wire
