date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:34:26 ,131.40,4.10%,"174,266",151.48K,3.47B,57.70M,399.70M,7.00,61.84,38.74,3.09,28.90,8.69,4.10,4.40,0.00,-12.06%,-10.92%,3.89%,35.68,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,26.44M,25.14M,6.51%,10.81,123.50,-21.13%,65.08%,126.23,2.13,33.80%,46.40%,0.40%,-23.25%,96.40%,-0.25%,-,-,2266,2.60
2018-10-17,20:26:55 ,128.98,-1.84%,"139,138",151.48K,3.41B,57.70M,399.70M,6.87,60.70,38.02,3.03,28.37,8.53,4.10,4.40,0.00,-12.87%,-12.59%,1.87%,33.33,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,26.44M,25.14M,6.51%,10.81,123.50,-22.58%,62.04%,131.40,2.13,33.80%,46.40%,0.40%,-23.25%,96.40%,-0.25%,-,-,2266,2.60
2018-10-18,21:05:36 ,126.70,-1.77%,"149,401",151.86K,3.35B,57.70M,399.70M,6.75,59.62,37.35,2.98,27.87,8.38,4.10,4.40,0.00,-13.50%,-14.12%,-0.03%,31.37,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,26.44M,25.14M,6.51%,10.78,123.50,-23.95%,59.17%,128.98,2.13,33.80%,46.40%,0.40%,-23.25%,96.40%,-0.25%,-,-,2266,2.60
2018-10-19,21:13:47 ,120.50,-4.89%,"181,083",152.86K,3.19B,57.70M,399.70M,6.42,56.71,35.52,2.84,26.51,7.97,4.10,4.40,0.00,-16.69%,-18.28%,-5.01%,27.49,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,26.44M,25.14M,6.51%,10.71,123.50,-27.67%,51.38%,126.70,2.13,33.80%,46.40%,0.40%,-23.25%,96.40%,-0.25%,-,-,2266,2.60
2018-10-22,18:27:14 ,122.78,1.89%,"155,672",154.28K,3.49B,57.70M,399.70M,6.54,57.78,36.20,2.89,29.03,8.73,4.10,4.40,0.00,-13.90%,-16.60%,-3.27%,31.15,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,28.42M,25.14M,6.51%,10.61,123.50,-26.30%,52.24%,120.50,2.13,33.80%,46.40%,0.40%,-21.99%,96.50%,-0.15%,-,-,2266,2.60
2018-10-23,18:27:52 ,118.84,-3.21%,"309,747",155.10K,3.38B,57.70M,399.70M,6.33,55.92,35.04,2.80,28.10,8.45,4.10,4.40,0.00,-15.64%,-19.15%,-6.44%,28.42,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,28.42M,25.14M,6.51%,10.56,123.50,-28.67%,45.46%,122.78,2.13,33.80%,46.40%,0.40%,-21.99%,96.50%,-0.15%,-,-,2266,2.60
2018-10-24,18:27:48 ,114.01,-4.06%,"244,517",158.41K,3.24B,57.70M,399.70M,6.07,53.65,33.61,2.68,26.96,8.11,4.10,4.40,0.00,-17.91%,-22.29%,-10.28%,25.59,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,28.42M,25.14M,6.51%,10.34,123.50,-31.57%,39.55%,118.84,2.13,33.80%,46.40%,0.40%,-21.99%,96.50%,-0.15%,-,-,2266,2.60
2018-10-25,18:27:44 ,123.42,8.25%,"513,161",159.73K,3.51B,57.70M,399.70M,6.58,58.08,36.39,2.90,29.18,8.78,4.10,4.40,0.00,-9.73%,-15.64%,-2.90%,38.52,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,28.42M,25.14M,6.51%,10.25,123.50,-25.92%,51.06%,114.01,2.13,33.80%,46.40%,0.40%,-21.99%,96.50%,-0.15%,-,-,2266,2.60
2018-10-26,18:26:09 ,116.48,-5.62%,"327,655",165.40K,3.31B,57.70M,399.70M,6.21,54.81,34.34,2.74,27.54,8.28,4.10,4.40,0.00,-13.67%,-20.29%,-8.43%,34.01,12.10%,13.60%,10.20%,54.90%,20.50%,16.00%,28.42M,25.14M,6.51%,9.90,123.50,-30.08%,40.51%,123.42,2.13,33.80%,46.40%,0.40%,-21.99%,96.50%,-0.15%,-,-,2266,2.60
2018-10-29,18:26:16 ,115.66,-0.70%,"199,106",165.49K,3.31B,65.40M,427.00M,6.16,48.25,33.72,2.41,27.56,7.76,4.10,4.40,0.00,-12.81%,-20.66%,-9.10%,33.45,10.90%,12.20%,10.20%,54.40%,17.80%,13.50%,28.64M,25.14M,5.46%,8.29,123.50,-30.58%,39.46%,116.48,2.40,33.80%,46.40%,0.40%,-21.86%,96.40%,-0.20%,-,-,2266,2.50
