date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:40:17 ,10.50,0.10%,"2,200",18.28K,702.00M,-,451.27M,-,-,-,-,-,1.56,-,-,-,1.64%,-1.25%,0.81%,52.05,-,-,-,-,-,-,66.86M,0.62M,4.15%,1.41,-,-19.17%,25.90%,10.49,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-17,22:35:06 ,10.48,-0.19%,"1,457",18.28K,700.66M,-,451.27M,-,-,-,-,-,1.55,-,-,-,1.44%,-1.43%,0.62%,50.92,-,-,-,-,-,-,66.86M,0.62M,4.15%,1.41,-,-19.32%,25.66%,10.50,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-18,23:11:00 ,10.20,-2.67%,"1,067",16.80K,681.94M,-,451.27M,-,-,-,-,-,1.51,-,-,-,-1.21%,-3.94%,-2.09%,42.37,-,-,-,-,-,-,66.86M,0.62M,4.15%,1.53,-,-21.48%,22.30%,10.48,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-19,23:17:49 ,10.11,-0.88%,354,8.98K,675.92M,-,451.27M,-,-,-,-,-,1.50,-,-,-,-1.94%,-4.61%,-2.96%,40.03,-,-,-,-,-,-,66.86M,0.62M,4.15%,2.86,-,-22.17%,21.22%,10.20,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-22,20:41:02 ,10.84,7.23%,"4,220",8.83K,724.80M,-,451.27M,-,-,-,-,-,1.61,-,-,-,5.35%,2.49%,4.05%,59.39,-,-,-,-,-,-,66.86M,0.62M,4.15%,2.91,-,-16.54%,29.99%,10.11,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-23,20:42:23 ,10.60,-2.22%,"7,584",8.58K,708.68M,-,451.27M,-,-,-,-,-,1.57,-,-,-,2.81%,0.28%,1.70%,53.04,-,-,-,-,-,-,66.86M,0.62M,4.15%,3.00,-,-18.40%,27.10%,10.84,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-24,20:40:21 ,10.50,-0.94%,"3,775",8.63K,702.00M,-,451.27M,-,-,-,-,-,1.56,-,-,-,1.72%,-0.61%,0.71%,51.12,-,-,-,-,-,-,66.86M,0.62M,4.15%,2.98,-,-19.17%,25.90%,10.60,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-25,20:41:32 ,10.30,-1.90%,"1,150",8.33K,688.63M,-,451.27M,-,-,-,-,-,1.53,-,-,-,-0.32%,-2.40%,-1.23%,46.44,-,-,-,-,-,-,66.86M,0.62M,4.15%,3.09,-,-20.71%,23.50%,10.50,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-26,20:41:19 ,10.25,-0.49%,328,8.32K,685.28M,-,451.27M,-,-,-,-,-,1.52,-,-,-,-0.83%,-2.75%,-1.72%,45.35,-,-,-,-,-,-,66.86M,0.62M,4.15%,3.09,-,-21.09%,22.90%,10.30,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-29,20:32:01 ,10.25,0.00%,"4,837",8.27K,685.28M,-,451.27M,-,-,-,-,-,1.52,-,-,-,-0.89%,-2.62%,-1.73%,45.82,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.24,-,-21.09%,22.90%,10.25,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-30,20:33:30 ,10.02,-2.24%,"5,600",7.87K,669.91M,-,451.27M,-,-,-,-,-,1.48,-,-,-,-3.12%,-4.68%,-3.94%,40.30,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.41,-,-22.86%,20.14%,10.25,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-10-31,20:31:54 ,10.15,1.30%,600,7.81K,678.60M,-,451.27M,-,-,-,-,-,1.50,-,-,-,-2.01%,-3.27%,-2.69%,44.57,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.44,-,-21.86%,21.70%,10.02,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-01,20:34:43 ,10.22,0.69%,206,7.68K,683.28M,-,451.27M,-,-,-,-,-,1.51,-,-,-,-1.39%,-2.45%,-2.02%,46.66,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.49,-,-21.32%,22.54%,10.15,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-03,02:03:02 ,10.27,0.49%,99,7.64K,686.62M,-,451.27M,-,-,-,-,-,1.52,-,-,-,-1.01%,-1.82%,-1.55%,48.03,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.51,-,-20.94%,23.14%,10.22,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-05,19:35:54 ,10.01,-2.53%,"11,488",7.61K,669.24M,-,451.27M,-,-,-,-,-,1.48,-,-,-,-3.45%,-4.20%,-4.06%,42.02,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.53,-,-22.94%,20.02%,10.27,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-06,19:33:49 ,10.01,0.00%,252,7.76K,669.24M,-,451.27M,-,-,-,-,-,1.48,-,-,-,-3.33%,-4.15%,-4.04%,42.04,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.46,-,-22.94%,20.02%,10.01,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-07,19:42:55 ,10.07,0.60%,"13,757",7.67K,673.25M,-,451.27M,-,-,-,-,-,1.49,-,-,-,-2.53%,-3.40%,-3.47%,43.96,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.50,-,-22.48%,20.74%,10.01,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-08,19:54:14 ,10.12,0.50%,"10,674",7.76K,676.59M,-,451.27M,-,-,-,-,-,1.50,-,-,-,-1.84%,-2.78%,-2.99%,45.15,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.46,-,-22.09%,21.34%,10.07,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
2018-11-09,20:10:38 ,10.12,0.00%,0,7.90K,676.59M,-,451.27M,-,-,-,-,-,1.50,-,-,-,-1.66%,-2.63%,-2.99%,45.15,-,-,-,-,-,-,66.86M,0.62M,4.34%,3.40,-,-22.09%,21.34%,10.12,-1.03,3.10%,-,-,-,60.48%,-,-,-,532,-
