date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:02:49 ,1.50,0.00%,"198,127",155.67K,52.50M,9.10M,297.70M,1.26,5.88,25.00,0.39,7.72,0.18,0.30,1.30,0.23,-3.28%,1.22%,-17.33%,50.12,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.00M,23.71M,1.37%,2.09,5.00,-47.55%,38.89%,1.50,0.26,-4.00%,-102.20%,0.60%,0.00%,43.80%,-0.01%,-,-,1069,1.00
2018-10-17,22:59:01 ,1.48,-1.33%,"41,929",155.67K,51.80M,9.10M,297.70M,1.24,5.80,24.67,0.39,7.62,0.17,0.30,1.30,0.23,-4.11%,-0.32%,-18.20%,44.93,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.00M,23.71M,1.37%,2.09,5.00,-47.55%,37.04%,1.50,0.26,-4.00%,-102.20%,0.60%,0.00%,43.80%,-0.01%,-,-,1069,1.00
2018-10-18,23:33:34 ,1.50,1.35%,"41,587",155.52K,52.50M,9.10M,297.70M,1.26,5.88,25.00,0.39,7.72,0.18,0.30,1.30,0.23,-2.24%,0.86%,-16.84%,46.36,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.00M,23.71M,1.37%,2.10,5.00,-45.45%,38.89%,1.48,0.26,-4.00%,-102.20%,0.60%,0.00%,43.80%,-0.01%,-,-,1069,1.00
2018-10-19,23:40:18 ,1.47,-2.00%,"164,051",155.75K,51.45M,9.10M,297.70M,1.24,5.76,24.50,0.38,7.57,0.17,0.30,1.30,0.23,-3.41%,-1.33%,-18.23%,42.53,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.00M,23.71M,1.37%,2.09,5.00,-46.35%,36.11%,1.50,0.26,-4.00%,-102.20%,0.60%,0.00%,43.80%,-0.01%,-,-,1069,1.00
2018-10-22,21:05:38 ,1.47,0.00%,"107,073",157.77K,52.49M,9.10M,297.70M,1.24,5.76,24.50,0.38,7.72,0.18,0.30,1.30,0.23,-2.99%,-1.75%,-17.96%,42.16,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.71M,23.71M,1.37%,2.07,5.00,-46.35%,36.11%,1.47,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.34%,-,-,1069,1.00
2018-10-23,21:06:47 ,1.46,-0.68%,"381,359",158.42K,52.14M,9.10M,297.70M,1.23,5.73,24.33,0.38,7.67,0.18,0.30,1.30,0.23,-3.14%,-2.82%,-18.26%,41.52,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.71M,23.71M,1.37%,2.06,5.00,-46.72%,35.19%,1.47,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.34%,-,-,1069,1.00
2018-10-24,21:04:53 ,1.43,-2.05%,"393,628",160.95K,51.07M,9.10M,297.70M,1.20,5.61,23.83,0.37,7.51,0.17,0.30,1.30,0.23,-4.63%,-5.11%,-19.68%,38.07,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.71M,23.71M,1.37%,2.03,5.00,-47.81%,32.41%,1.46,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.34%,-,-,1069,1.00
2018-10-25,21:06:10 ,1.43,0.00%,"201,010",165.73K,51.07M,9.10M,297.70M,1.20,5.61,23.83,0.37,7.51,0.17,0.30,1.30,0.23,-4.38%,-5.35%,-19.43%,38.47,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.71M,23.71M,1.37%,1.97,5.00,-47.81%,32.41%,1.43,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.34%,-,-,1069,1.00
2018-10-26,21:06:10 ,1.42,-0.70%,"438,243",168.39K,50.71M,9.10M,297.70M,1.19,5.57,23.67,0.37,7.46,0.17,0.30,1.30,0.23,-4.83%,-6.23%,-19.76%,37.75,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.71M,23.71M,1.37%,1.94,5.00,-48.18%,31.48%,1.43,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.34%,-,-,1069,1.00
2018-10-29,20:54:15 ,1.34,-5.63%,"137,609",174.61K,47.18M,9.10M,297.70M,1.13,5.25,22.33,0.35,6.94,0.16,0.30,1.30,0.23,-9.79%,-11.71%,-24.05%,30.11,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.21M,23.68M,1.54%,2.09,5.00,-51.09%,24.07%,1.42,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.36%,-,-,1069,1.00
2018-10-30,20:56:36 ,1.30,-2.99%,"93,124",175.15K,45.77M,9.10M,297.70M,1.09,5.10,21.67,0.34,6.73,0.15,0.30,1.30,0.23,-11.92%,-14.44%,-26.07%,27.52,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.21M,23.68M,1.54%,2.09,5.00,-52.55%,20.37%,1.34,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.36%,-,-,1069,1.00
2018-10-31,20:54:59 ,1.19,-8.46%,"306,120",174.97K,41.90M,9.10M,297.70M,1.00,4.67,19.83,0.31,6.16,0.14,0.30,1.30,0.23,-18.83%,-21.56%,-32.10%,20.53,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.21M,23.68M,1.54%,2.09,5.00,-56.57%,10.19%,1.30,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.36%,-,-,1069,1.00
2018-11-01,20:56:59 ,1.26,5.88%,"162,369",178.78K,44.36M,9.10M,297.70M,1.06,4.94,21.00,0.33,6.52,0.15,0.30,1.30,0.23,-13.13%,-16.61%,-27.84%,31.67,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.21M,23.68M,1.54%,2.04,5.00,-54.01%,16.67%,1.19,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.36%,-,-,1069,1.00
2018-11-03,02:25:47 ,1.24,-1.59%,"182,710",179.70K,43.66M,9.10M,297.70M,1.04,4.86,20.67,0.32,6.42,0.15,0.30,1.30,0.23,-13.77%,-17.67%,-28.74%,30.77,-2.90%,-7.20%,76.40%,29.40%,1.40%,-1.00%,35.21M,23.68M,1.54%,2.03,5.00,-54.74%,14.81%,1.26,0.26,-4.00%,-102.20%,0.60%,0.00%,44.40%,1.36%,-,-,1069,1.00
2018-11-05,19:58:57 ,1.22,-1.61%,"95,123",181.38K,43.38M,36.50M,300.90M,1.03,1.29,20.33,0.09,6.38,0.14,0.30,1.30,0.23,-14.39%,-18.70%,-29.64%,29.92,22.80%,57.30%,76.40%,29.70%,1.70%,8.10%,35.56M,26.19M,1.39%,2.01,5.00,-55.47%,12.96%,1.24,0.94,-4.00%,-102.20%,0.60%,0.00%,44.30%,1.11%,-,-,1069,1.00
2018-11-06,19:56:29 ,1.24,1.64%,"96,763",179.43K,44.09M,36.50M,300.90M,1.04,1.31,20.67,0.09,6.48,0.15,0.30,1.30,0.23,-12.09%,-17.05%,-28.22%,32.41,22.80%,57.30%,76.40%,29.70%,1.70%,8.10%,35.56M,26.19M,1.39%,2.04,5.00,-54.74%,14.81%,1.22,0.94,-4.00%,-102.20%,0.60%,0.00%,44.30%,1.11%,-,-,1069,1.00
2018-11-07,20:05:52 ,1.23,-0.81%,"42,523",178.79K,43.74M,36.50M,300.90M,1.03,1.30,20.50,0.09,6.43,0.15,0.30,1.30,0.23,-11.99%,-17.44%,-28.54%,32.06,22.80%,57.30%,76.40%,29.70%,1.70%,8.10%,35.56M,26.19M,1.39%,2.04,5.00,-55.11%,13.89%,1.24,0.94,-4.00%,-102.20%,0.60%,0.00%,44.30%,1.11%,-,-,1069,1.00
2018-11-08,20:16:44 ,1.20,-2.62%,"688,529",177.91K,42.59M,36.50M,300.90M,1.01,1.27,19.96,0.08,6.26,0.14,0.30,1.30,0.23,-13.58%,-19.30%,-30.17%,29.85,22.80%,57.30%,76.40%,29.70%,1.70%,8.10%,35.56M,26.19M,1.39%,2.05,5.00,-56.28%,10.91%,1.23,0.94,-4.00%,-102.20%,0.60%,0.00%,44.30%,1.11%,-,-,1069,1.00
2018-11-09,20:32:00 ,1.16,-3.16%,"125,890",185.83K,41.25M,36.50M,300.90M,0.97,1.23,19.33,0.08,6.07,0.14,0.30,1.30,0.23,-15.32%,-21.54%,-32.12%,24.39,22.80%,57.30%,76.40%,29.70%,1.70%,8.10%,35.56M,26.19M,1.39%,1.97,5.00,-57.66%,7.41%,1.20,0.94,-4.00%,-102.20%,0.60%,0.00%,44.30%,1.11%,-,-,1069,1.00
2018-11-12,22:36:35 ,1.14,-1.72%,"29,155",159.43K,41.18M,8.60M,293.30M,0.93,4.67,19.00,0.31,4.96,0.14,0.30,1.30,0.22,-15.67%,-22.58%,-33.03%,23.54,-3.40%,-8.50%,76.40%,28.90%,0.70%,-1.20%,36.12M,23.67M,2.41%,3.58,5.00,-58.39%,5.56%,1.16,0.24,-5.80%,-49.30%,0.60%,0.00%,44.30%,0.97%,-,-,1069,1.00
2018-11-13,20:08:34 ,1.15,0.88%,"56,881",157.81K,41.54M,8.60M,293.30M,0.94,4.71,19.17,0.31,5.00,0.14,0.30,1.30,0.22,-13.79%,-21.56%,-32.17%,25.29,-3.40%,-8.50%,76.40%,28.90%,0.70%,-1.20%,36.12M,23.67M,2.41%,3.62,5.00,-58.03%,6.48%,1.14,0.24,-5.80%,-49.30%,0.60%,0.00%,44.30%,0.97%,-,-,1069,1.00
2018-11-14,19:56:51 ,1.14,-0.87%,"37,295",157.04K,41.18M,8.60M,293.30M,0.93,4.67,19.00,0.31,4.96,0.14,0.30,1.30,0.22,-13.40%,-21.87%,-32.49%,24.95,-3.40%,-8.50%,76.40%,28.90%,0.70%,-1.20%,36.12M,23.67M,2.41%,3.64,5.00,-58.39%,5.56%,1.15,0.24,-5.80%,-49.30%,0.60%,0.00%,44.30%,0.97%,-,-,1069,1.00
