date,title,source
Oct-17-18,Has Prospect Capital (PSEC) Outpaced Other Finance Stocks This Year?,Zacks
Oct-26-18,"Recent Analysis Shows Prospect Capital, Aegon NV, Chico's FAS, AmTrust Financial Services, CBS, and Sinclair Broadcast Group Market Influences  Renewed Outlook, Key Drivers of Growth",GlobeNewswire
Oct-31-18,Prospect Capital Schedules First Quarter Earnings Release and Conference Call,GlobeNewswire
Nov-06-18,Prospect Capital (PSEC) Tops Q1 Earnings and Revenue Estimates,Zacks
Nov-06-18,Prospect Capital: Fiscal 1Q Earnings Snapshot,Associated Press
Nov-06-18,Prospect Capital Reports September 2018 Quarterly Results and Declares Additional Monthly Distributions,GlobeNewswire
Nov-13-18,Edited Transcript of PSEC earnings conference call or presentation 7-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-16-18,Has Prospect Capital (PSEC) Outpaced Other Finance Stocks This Year?,Zacks
Nov-26-18,Should You Invest in the VanEck Vectors BDC Income ETF (BIZD)?,Zacks
Nov-28-18,Prospect Capital Corporation Prices Public Offering of $50 Million of Notes due 2029,GlobeNewswire
Nov-28-18,10 High-Yield Monthly Dividend Stocks,InvestorPlace
Nov-28-18,Principal Financial Okays $500M Share Buyback Authorization,Zacks
Nov-29-18,Hedge Funds Were 400% Overweight This Stock Right Before Its Takeover Announcement,Insider Monkey
Dec-03-18,Is Prospect Capital (PSEC) Outperforming Other Finance Stocks This Year?,Zacks
Dec-03-18,SITE Centers (SITC) in Focus: Stock Moves 6.4% Higher,Zacks
Dec-04-18,Prospect Capital (PSEC) Stock Moves -0.58%: What You Should Know,Zacks
Dec-04-18,Principal Financial (PFG) Issues 2019 and Long-Term View,Zacks
Dec-06-18,5 Great BDCs to Make the Most of a Rising Rate Environment,Zacks
Dec-24-18,Buy 5 High Yielding Stocks to Counter Stock Market Slide,Zacks
Dec-26-18,"The Zacks Analyst Blog Highlights: CrossAmerica Partners, Arbor Realty Trust, Prospect Capital, Plymouth Industrial REIT and Global Net Lease",Zacks
Dec-31-18,3 Reasons to Invest in Prospect Capital (PSEC) Stock Now,Zacks
Jan-02-19,"7 High Yielding, High-Risk Stocks With Long-Term Potential",InvestorPlace
Jan-08-19,Prospect Capital (PSEC) Outpaces Stock Market Gains: What You Should Know,Zacks
Jan-08-19,Is Prospect Capital (PSEC) Stock Outpacing Its Finance Peers This Year?,Zacks
Jan-14-19,Prospect Capital (PSEC) Dips More Than Broader Markets: What You Should Know,Zacks
Jan-30-19,10 High-Yield Monthly Dividend Stocks,InvestorPlace
Jan-30-19,Prospect Capital (PSEC) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Feb-01-19,Prospect Capital Corporation -- Moody's assigns a Baa3 stable issuer rating to Prospect Capital Corporation,Moody's
Feb-04-19,Prospect Capital Schedules Second Quarter Earnings Release and Conference Call,GlobeNewswire
Feb-05-19,What's in Store for Prospect Capital (PSEC) in Q2 Earnings?,Zacks
