date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:35:04 ,25.90,0.85%,"38,670",24.36K,-,-,-,-,-,-,-,-,-,-,-,-,-2.44%,-4.66%,-3.24%,33.50,-,-,-,-,-,-,-,-,-,2.74,-,-10.78%,2.94%,25.68,-,-,-,-,-,10.75%,-,2.06,7.95%,-,-
2018-10-17,19:29:22 ,25.52,-1.47%,"26,760",24.65K,-,-,-,-,-,-,-,-,-,-,-,-,-3.59%,-5.91%,-4.61%,28.42,-,-,-,-,-,-,-,-,-,2.71,-,-12.09%,1.43%,25.90,-,-,-,-,-,10.75%,-,2.06,8.07%,-,-
2018-10-18,20:07:50 ,25.50,-0.08%,"12,906",24.88K,-,-,-,-,-,-,-,-,-,-,-,-,-3.36%,-5.81%,-4.64%,28.49,-,-,-,-,-,-,-,-,-,2.69,-,-12.16%,1.35%,25.52,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-10-19,20:16:14 ,25.50,0.00%,"7,988",24.79K,-,-,-,-,-,-,-,-,-,-,-,-,-3.02%,-5.64%,-4.59%,28.93,-,-,-,-,-,-,-,-,-,2.70,-,-12.16%,1.35%,25.50,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-10-22,17:28:38 ,25.55,0.20%,"11,710",24.68K,-,-,-,-,-,-,-,-,-,-,-,-,-2.52%,-5.30%,-4.34%,31.83,-,-,-,-,-,-,-,-,-,2.71,-,-11.99%,1.55%,25.50,-,-,-,-,-,10.75%,-,2.06,8.06%,-,-
2018-10-23,17:29:17 ,25.50,-0.20%,"15,051",24.66K,-,-,-,-,-,-,-,-,-,-,-,-,-2.44%,-5.33%,-4.47%,31.35,-,-,-,-,-,-,-,-,-,2.71,-,-12.16%,1.35%,25.55,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-10-24,17:28:21 ,25.68,0.71%,"17,812",24.57K,-,-,-,-,-,-,-,-,-,-,-,-,-1.49%,-4.49%,-3.75%,36.91,-,-,-,-,-,-,-,-,-,2.72,-,-11.54%,2.07%,25.50,-,-,-,-,-,10.75%,-,2.06,8.02%,-,-
2018-10-25,17:28:45 ,25.50,-0.70%,"19,899",24.49K,-,-,-,-,-,-,-,-,-,-,-,-,-1.99%,-4.99%,-4.37%,34.46,-,-,-,-,-,-,-,-,-,2.73,-,-12.16%,1.35%,25.68,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-10-26,17:27:38 ,25.58,0.31%,"19,480",24.35K,-,-,-,-,-,-,-,-,-,-,-,-,-1.47%,-4.51%,-4.01%,37.49,-,-,-,-,-,-,-,-,-,2.75,-,-11.88%,1.67%,25.50,-,-,-,-,-,10.75%,-,2.06,8.05%,-,-
2018-10-29,17:27:43 ,25.49,-0.35%,"18,210",24.35K,-,-,-,-,-,-,-,-,-,-,-,-,-1.62%,-4.68%,-4.28%,35.95,-,-,-,-,-,-,-,-,-,2.52,-,-12.19%,1.31%,25.58,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-10-30,17:28:00 ,25.20,-1.14%,"16,154",24.44K,-,-,-,-,-,-,-,-,-,-,-,-,-2.51%,-5.57%,-5.31%,31.56,-,-,-,-,-,-,-,-,-,2.51,-,-13.19%,0.16%,25.49,-,-,-,-,-,10.75%,-,2.06,8.17%,-,-
2018-10-31,17:28:02 ,25.40,0.79%,"33,503",24.28K,-,-,-,-,-,-,-,-,-,-,-,-,-1.48%,-4.60%,-4.51%,37.70,-,-,-,-,-,-,-,-,-,2.53,-,-12.50%,0.95%,25.20,-,-,-,-,-,10.75%,-,2.06,8.11%,-,-
2018-11-01,17:28:18 ,25.87,1.85%,"20,926",24.40K,-,-,-,-,-,-,-,-,-,-,-,-,0.57%,-2.65%,-2.69%,49.22,-,-,-,-,-,-,-,-,-,2.52,-,-10.89%,3.36%,25.40,-,-,-,-,-,10.75%,-,2.06,7.96%,-,-
2018-11-02,22:52:34 ,25.79,-0.31%,"15,633",24.50K,-,-,-,-,-,-,-,-,-,-,-,-,0.33%,-2.81%,-2.95%,47.94,-,-,-,-,-,-,-,-,-,2.51,-,-11.16%,3.04%,25.87,-,-,-,-,-,10.75%,-,2.06,7.99%,-,-
2018-11-05,16:27:57 ,25.48,-1.20%,"51,278",24.38K,-,-,-,-,-,-,-,-,-,-,-,-,-0.77%,-3.87%,-4.09%,41.86,-,-,-,-,-,-,-,-,-,2.52,-,-12.23%,1.80%,25.79,-,-,-,-,-,10.75%,-,2.06,8.08%,-,-
2018-11-06,16:27:22 ,25.32,-0.63%,"19,227",24.80K,-,-,-,-,-,-,-,-,-,-,-,-,-1.23%,-4.35%,-4.65%,39.37,-,-,-,-,-,-,-,-,-,2.48,-,-12.78%,1.16%,25.48,-,-,-,-,-,10.75%,-,2.06,8.14%,-,-
2018-11-07,16:29:14 ,25.36,0.16%,"31,570",24.68K,-,-,-,-,-,-,-,-,-,-,-,-,-0.88%,-4.05%,-4.46%,40.22,-,-,-,-,-,-,-,-,-,2.49,-,-12.64%,1.32%,25.32,-,-,-,-,-,10.75%,-,2.06,8.12%,-,-
2018-11-08,16:27:13 ,25.18,-0.71%,"23,566",24.63K,-,-,-,-,-,-,-,-,-,-,-,-,-1.46%,-4.60%,-5.09%,34.95,-,-,-,-,-,-,-,-,-,2.49,-,-13.26%,0.60%,25.36,-,-,-,-,-,10.75%,-,2.06,8.18%,-,-
2018-11-09,17:17:38 ,25.38,0.79%,"19,291",24.58K,-,-,-,-,-,-,-,-,-,-,-,-,-0.57%,-3.70%,-4.29%,40.07,-,-,-,-,-,-,-,-,-,2.50,-,-12.57%,1.40%,25.18,-,-,-,-,-,10.75%,-,2.06,8.12%,-,-
2018-11-12,19:08:28 ,25.21,-0.67%,"18,869",24.46K,-,-,-,-,-,-,-,-,-,-,-,-,-1.21%,-4.22%,-4.90%,36.57,-,-,-,-,-,-,-,-,-,2.42,-,-13.16%,0.72%,25.38,-,-,-,-,-,10.75%,-,2.06,8.17%,-,-
2018-11-13,16:27:35 ,25.17,-0.17%,"12,181",24.49K,-,-,-,-,-,-,-,-,-,-,-,-,-1.29%,-4.26%,-5.04%,36.07,-,-,-,-,-,-,-,-,-,2.42,-,-13.30%,0.55%,25.21,-,-,-,-,-,10.75%,-,2.06,8.19%,-,-
2018-11-14,16:27:39 ,25.63,1.84%,"31,666",24.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.67%,-2.36%,-3.27%,47.93,-,-,-,-,-,-,-,-,-,2.42,-,-11.71%,2.40%,25.17,-,-,-,-,-,10.75%,-,2.06,8.04%,-,-
2018-11-15,16:27:38 ,25.60,-0.12%,"32,643",24.62K,-,-,-,-,-,-,-,-,-,-,-,-,0.53%,-2.36%,-3.37%,47.89,-,-,-,-,-,-,-,-,-,2.40,-,-11.82%,2.28%,25.63,-,-,-,-,-,10.75%,-,2.06,8.05%,-,-
2018-11-16,16:27:36 ,25.39,-0.84%,"17,540",24.84K,-,-,-,-,-,-,-,-,-,-,-,-,-0.33%,-3.08%,-4.16%,42.93,-,-,-,-,-,-,-,-,-,2.38,-,-12.55%,1.42%,25.60,-,-,-,-,-,10.75%,-,2.06,8.11%,-,-
