date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:56:25 ,23.59,1.90%,"1,936",9.00K,-,-,-,-,-,-,-,-,-,-,-,-,-6.61%,-8.80%,-20.09%,39.41,-,-,-,-,-,-,-,-,-,0.30,-,-30.83%,6.20%,23.16,-,-,-,-,-,-,-,0.60,2.54%,-,-
2018-10-17,21:49:49 ,23.00,-2.52%,"3,351",9.00K,-,-,-,-,-,-,-,-,-,-,-,-,-8.56%,-10.84%,-22.01%,35.09,-,-,-,-,-,-,-,-,-,0.30,-,-32.57%,3.52%,23.59,-,-,-,-,-,-,-,0.60,2.61%,-,-
2018-10-18,22:26:37 ,22.36,-2.78%,"7,641",9.03K,-,-,-,-,-,-,-,-,-,-,-,-,-10.52%,-12.99%,-24.07%,31.00,-,-,-,-,-,-,-,-,-,0.30,-,-34.44%,0.65%,23.00,-,-,-,-,-,-,-,0.60,2.68%,-,-
2018-10-19,22:34:23 ,22.41,0.24%,"3,488",9.04K,-,-,-,-,-,-,-,-,-,-,-,-,-9.52%,-12.45%,-23.76%,31.37,-,-,-,-,-,-,-,-,-,0.30,-,-34.29%,0.88%,22.36,-,-,-,-,-,-,-,0.60,2.68%,-,-
2018-10-22,19:53:20 ,23.06,2.88%,"9,693",9.00K,-,-,-,-,-,-,-,-,-,-,-,-,-6.09%,-9.55%,-21.43%,38.70,-,-,-,-,-,-,-,-,-,0.30,-,-32.40%,3.79%,22.41,-,-,-,-,-,-,-,0.57,2.47%,-,-
2018-10-23,19:55:00 ,22.80,-1.13%,"10,514",9.08K,-,-,-,-,-,-,-,-,-,-,-,-,-6.54%,-10.27%,-22.19%,36.59,-,-,-,-,-,-,-,-,-,0.30,-,-33.16%,2.62%,23.06,-,-,-,-,-,-,-,0.57,2.50%,-,-
2018-10-24,19:53:25 ,21.49,-5.75%,"7,304",9.05K,-,-,-,-,-,-,-,-,-,-,-,-,-11.23%,-15.16%,-26.54%,28.84,-,-,-,-,-,-,-,-,-,0.30,-,-37.00%,-2.77%,22.80,-,-,-,-,-,-,-,0.57,2.65%,-,-
2018-10-25,19:54:10 ,21.99,2.33%,"20,850",9.04K,-,-,-,-,-,-,-,-,-,-,-,-,-8.18%,-12.89%,-24.68%,34.06,-,-,-,-,-,-,-,-,-,0.30,-,-35.53%,2.33%,21.49,-,-,-,-,-,-,-,0.57,2.59%,-,-
2018-10-26,19:52:27 ,21.85,-0.64%,"10,391",9.27K,-,-,-,-,-,-,-,-,-,-,-,-,-7.90%,-13.24%,-25.02%,33.41,-,-,-,-,-,-,-,-,-,0.29,-,-35.94%,1.68%,21.99,-,-,-,-,-,-,-,0.57,2.61%,-,-
2018-10-29,19:48:24 ,21.08,-3.52%,"14,393",9.33K,-,-,-,-,-,-,-,-,-,-,-,-,-10.23%,-16.06%,-27.53%,30.15,-,-,-,-,-,-,-,-,-,0.08,-,-38.20%,-1.34%,21.85,-,-,-,-,-,-,-,0.56,2.66%,-,-
2018-10-30,19:49:06 ,21.31,1.09%,"11,596",9.51K,-,-,-,-,-,-,-,-,-,-,-,-,-8.15%,-14.84%,-26.59%,32.92,-,-,-,-,-,-,-,-,-,0.08,-,-37.53%,1.91%,21.08,-,-,-,-,-,-,-,0.56,2.63%,-,-
2018-10-31,19:48:30 ,22.33,4.79%,"5,002",9.62K,-,-,-,-,-,-,-,-,-,-,-,-,-2.78%,-10.42%,-22.92%,42.28,-,-,-,-,-,-,-,-,-,0.08,-,-34.54%,6.79%,21.31,-,-,-,-,-,-,-,0.56,2.51%,-,-
2018-11-01,19:51:25 ,23.85,6.82%,"33,256",9.62K,-,-,-,-,-,-,-,-,-,-,-,-,4.65%,-4.00%,-17.51%,53.70,-,-,-,-,-,-,-,-,-,0.08,-,-30.07%,14.07%,22.33,-,-,-,-,-,-,-,0.56,2.35%,-,-
2018-11-03,01:18:40 ,23.90,0.20%,"15,520",9.98K,-,-,-,-,-,-,-,-,-,-,-,-,5.14%,-3.58%,-17.22%,54.17,-,-,-,-,-,-,-,-,-,0.08,-,-29.93%,14.30%,23.85,-,-,-,-,-,-,-,0.56,2.34%,-,-
