date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:03:24 ,28.79,4.39%,"264,049",286.77K,1.05B,-78.80M,11.40M,4.77,-,-,-,4.04,91.80,-,8.40,0.10,-15.08%,-21.53%,-5.18%,35.82,-36.30%,-72.10%,-66.10%,-,-,-,36.35M,32.33M,4.73%,5.33,50.22,-33.40%,204.01%,27.58,-2.49,-36.70%,31.60%,0.50%,-11.63%,77.10%,-1.14%,-,-,202,1.70
2018-10-17,22:59:49 ,28.99,0.69%,"235,400",286.77K,1.05B,-78.80M,11.40M,4.81,-,-,-,4.07,92.44,-,8.40,0.10,-13.06%,-20.86%,-4.66%,36.27,-36.30%,-72.10%,-66.10%,-,-,-,36.35M,32.33M,4.73%,5.33,50.22,-32.94%,206.12%,28.79,-2.49,-36.70%,31.60%,0.50%,-11.63%,77.10%,-1.14%,-,-,202,1.70
2018-10-18,23:34:10 ,28.10,-3.07%,"284,894",286.04K,1.02B,-78.80M,11.40M,4.66,-,-,-,3.94,89.60,-,8.40,0.10,-14.50%,-23.14%,-7.72%,33.49,-36.30%,-72.10%,-66.10%,-,-,-,36.35M,32.33M,4.73%,5.35,50.22,-35.00%,196.73%,28.99,-2.49,-36.70%,31.60%,0.50%,-11.63%,77.10%,-1.14%,-,-,202,1.70
2018-10-19,23:40:54 ,26.68,-5.05%,"310,912",284.87K,969.82M,-78.80M,11.40M,4.42,-,-,-,3.74,85.07,-,8.40,0.10,-17.18%,-26.87%,-12.51%,30.56,-36.30%,-72.10%,-66.10%,-,-,-,36.35M,32.33M,4.73%,5.37,50.22,-38.28%,131.00%,28.10,-2.49,-36.70%,31.60%,0.50%,-11.63%,77.10%,-1.14%,-,-,202,1.70
2018-10-22,21:06:19 ,26.36,-1.20%,"312,225",284.96K,1.03B,-78.80M,11.40M,4.37,-,-,-,3.99,90.73,-,8.40,0.10,-16.65%,-27.43%,-13.65%,30.00,-36.30%,-72.10%,-66.10%,-,-,-,39.24M,32.33M,4.73%,5.37,50.22,-39.02%,92.27%,26.68,-2.49,-36.70%,31.60%,0.50%,-10.87%,77.50%,-0.54%,-,-,202,1.70
2018-10-23,21:07:26 ,26.59,0.87%,"199,545",285.68K,1.04B,-78.80M,11.40M,4.41,-,-,-,4.03,91.53,-,8.40,0.10,-14.03%,-26.44%,-13.00%,31.07,-36.30%,-72.10%,-66.10%,-,-,-,39.24M,32.33M,4.73%,5.35,50.22,-38.49%,93.95%,26.36,-2.49,-36.70%,31.60%,0.50%,-10.87%,77.50%,-0.54%,-,-,202,1.70
2018-10-24,21:05:32 ,25.64,-3.57%,"260,270",281.64K,1.01B,-78.80M,11.40M,4.25,-,-,-,3.88,88.26,-,8.40,0.10,-15.32%,-28.71%,-16.22%,28.81,-36.30%,-72.10%,-66.10%,-,-,-,39.24M,32.33M,4.73%,5.43,50.22,-40.69%,87.02%,26.59,-2.49,-36.70%,31.60%,0.50%,-10.87%,77.50%,-0.54%,-,-,202,1.70
2018-10-25,21:06:52 ,26.68,4.06%,"156,030",278.71K,1.05B,-78.80M,11.40M,4.42,-,-,-,4.04,91.84,-,8.40,0.10,-10.05%,-25.38%,-12.92%,33.31,-36.30%,-72.10%,-66.10%,-,-,-,39.24M,32.33M,4.73%,5.49,50.22,-38.28%,94.60%,25.64,-2.49,-36.70%,31.60%,0.50%,-10.87%,77.50%,-0.54%,-,-,202,1.70
2018-10-26,21:06:49 ,25.83,-3.19%,"238,555",275.68K,1.01B,-78.80M,11.40M,4.28,-,-,-,3.91,88.91,-,8.40,0.10,-11.53%,-27.37%,-15.81%,30.76,-36.30%,-72.10%,-66.10%,-,-,-,39.24M,32.33M,4.73%,5.55,50.22,-40.25%,88.40%,26.68,-2.49,-36.70%,31.60%,0.50%,-10.87%,77.50%,-0.54%,-,-,202,1.70
2018-10-29,20:54:50 ,24.72,-4.30%,"270,290",274.53K,951.23M,-78.80M,11.40M,4.10,-,-,-,3.67,83.44,-,8.40,0.10,-13.77%,-30.07%,-19.52%,28.33,-36.30%,-72.10%,-66.10%,-,-,-,38.48M,32.33M,4.09%,4.81,50.22,-42.82%,80.31%,25.83,-2.49,-36.70%,31.60%,0.50%,-11.06%,77.50%,-0.56%,-,-,202,1.70
