date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:02:10 ,24.53,3.02%,"178,168",167.80K,-,-,-,-,-,-,-,-,-,-,-,-,-1.24%,-1.87%,-0.52%,46.83,-,-,-,-,-,-,-,-,-,0.17,-,-3.80%,8.20%,23.81,-,-,-,-,-,-,-,2.32,9.46%,-,-
2018-10-17,21:55:42 ,24.49,-0.16%,"156,125",167.80K,-,-,-,-,-,-,-,-,-,-,-,-,-1.25%,-1.99%,-0.68%,46.15,-,-,-,-,-,-,-,-,-,0.17,-,-3.96%,8.03%,24.53,-,-,-,-,-,-,-,2.32,9.47%,-,-
2018-10-18,22:32:30 ,23.98,-2.08%,"109,638",168.51K,-,-,-,-,-,-,-,-,-,-,-,-,-3.16%,-3.98%,-2.75%,39.40,-,-,-,-,-,-,-,-,-,0.16,-,-5.96%,5.78%,24.49,-,-,-,-,-,-,-,2.32,9.67%,-,-
2018-10-19,22:40:05 ,23.98,0.00%,"61,412",167.89K,-,-,-,-,-,-,-,-,-,-,-,-,-2.91%,-3.90%,-2.73%,39.74,-,-,-,-,-,-,-,-,-,0.17,-,-5.96%,5.78%,23.98,-,-,-,-,-,-,-,2.32,9.67%,-,-
2018-10-22,19:59:32 ,24.14,0.67%,"93,581",166.94K,-,-,-,-,-,-,-,-,-,-,-,-,-2.03%,-3.17%,-2.06%,42.80,-,-,-,-,-,-,-,-,-,0.17,-,-5.33%,6.48%,23.98,-,-,-,-,-,-,-,2.30,9.53%,-,-
2018-10-23,20:01:12 ,24.06,-0.33%,"210,984",166.68K,-,-,-,-,-,-,-,-,-,-,-,-,-2.14%,-3.42%,-2.37%,41.47,-,-,-,-,-,-,-,-,-,0.17,-,-5.65%,6.13%,24.14,-,-,-,-,-,-,-,2.30,9.56%,-,-
2018-10-24,19:59:32 ,22.92,-4.74%,"224,995",168.59K,-,-,-,-,-,-,-,-,-,-,-,-,-6.55%,-7.92%,-6.98%,29.39,-,-,-,-,-,-,-,-,-,0.16,-,-10.12%,1.10%,24.06,-,-,-,-,-,-,-,2.30,10.03%,-,-
2018-10-25,20:00:24 ,23.59,2.92%,"147,128",169.86K,-,-,-,-,-,-,-,-,-,-,-,-,-3.40%,-5.06%,-4.22%,40.32,-,-,-,-,-,-,-,-,-,0.16,-,-7.49%,4.06%,22.92,-,-,-,-,-,-,-,2.30,9.75%,-,-
2018-10-26,19:58:43 ,23.13,-1.95%,"142,064",170.04K,-,-,-,-,-,-,-,-,-,-,-,-,-4.98%,-6.80%,-6.07%,36.12,-,-,-,-,-,-,-,-,-,0.16,-,-9.29%,2.03%,23.59,-,-,-,-,-,-,-,2.30,9.94%,-,-
2018-10-29,19:54:08 ,22.72,-1.77%,"213,643",168.13K,-,-,-,-,-,-,-,-,-,-,-,-,-6.28%,-8.31%,-7.70%,32.92,-,-,-,-,-,-,-,-,-,0.10,-,-10.90%,0.22%,23.13,-,-,-,-,-,-,-,2.22,9.77%,-,-
