date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:44:21 ,14.38,-0.07%,"807,917",935.03K,764.58M,-60.40M,2.64B,2.86,-,13.39,-,6.55,0.29,-,-,0.00,0.45%,-1.29%,21.17%,48.89,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.17M,48.94M,17.84%,9.34,13.50,-3.75%,99.17%,14.39,-1.11,-3.20%,251.80%,2.58%,-76.42%,-,-6.83%,0.32,2.23%,18300,3.00
2018-10-17,22:39:23 ,14.33,-0.35%,"448,636",935.03K,761.93M,-60.40M,2.64B,2.85,-,13.34,-,6.52,0.29,-,-,0.00,0.15%,-1.57%,20.58%,46.12,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.17M,48.94M,17.84%,9.34,13.50,-4.08%,98.48%,14.38,-1.11,-3.20%,251.80%,2.58%,-76.42%,-,-6.83%,0.32,2.23%,18300,3.00
2018-10-18,23:15:05 ,14.28,-0.35%,"513,645",916.73K,759.27M,-60.40M,2.64B,2.84,-,13.30,-,6.50,0.29,-,-,0.00,-0.14%,-1.86%,19.97%,43.38,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.17M,48.94M,17.84%,9.52,13.50,-4.42%,97.78%,14.33,-1.11,-3.20%,251.80%,2.58%,-76.42%,-,-6.83%,0.32,2.24%,18300,3.00
2018-10-19,23:21:52 ,14.26,-0.14%,"523,017",901.30K,758.20M,-60.40M,2.64B,2.84,-,13.28,-,6.49,0.29,-,-,0.00,-0.22%,-1.93%,19.60%,42.46,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.17M,48.94M,17.84%,9.69,13.50,-4.55%,97.51%,14.28,-1.11,-3.20%,251.80%,2.58%,-76.42%,-,-6.83%,0.32,2.24%,18300,3.00
2018-10-22,20:45:27 ,14.30,0.28%,"451,426",876.22K,766.19M,-60.40M,2.64B,2.85,-,13.31,-,6.56,0.29,-,-,0.00,0.11%,-1.59%,19.75%,45.12,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.58M,48.94M,17.84%,9.96,13.50,-4.28%,98.06%,14.26,-1.11,-3.20%,251.80%,2.58%,-76.28%,-,-6.86%,0.32,2.24%,18300,3.00
2018-10-23,20:46:46 ,14.23,-0.49%,"682,333",861.26K,762.44M,-60.40M,2.64B,2.83,-,13.25,-,6.53,0.29,-,-,0.00,-0.35%,-2.02%,19.00%,40.93,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.58M,48.94M,17.84%,10.14,13.50,-4.75%,97.09%,14.30,-1.11,-3.20%,251.80%,2.58%,-76.28%,-,-6.86%,0.32,2.25%,18300,3.00
2018-10-24,20:44:47 ,14.19,-0.28%,"651,119",857.00K,760.30M,-60.40M,2.64B,2.83,-,13.21,-,6.51,0.29,-,-,0.00,-0.66%,-2.23%,18.51%,38.70,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.58M,48.94M,17.84%,10.19,13.50,-5.02%,96.54%,14.23,-1.11,-3.20%,251.80%,2.58%,-76.28%,-,-6.86%,0.32,2.26%,18300,3.00
2018-10-25,20:45:58 ,14.13,-0.42%,"1,209,859",842.35K,757.09M,-60.40M,2.64B,2.81,-,13.16,-,6.48,0.29,-,-,0.00,-1.08%,-2.56%,17.86%,35.61,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.58M,48.94M,17.84%,10.36,13.50,-5.42%,95.71%,14.19,-1.11,-3.20%,251.80%,2.58%,-76.28%,-,-6.86%,0.32,2.26%,18300,3.00
2018-10-26,20:46:06 ,13.91,-1.56%,"1,346,706",847.92K,745.30M,-60.40M,2.64B,2.77,-,12.95,-,6.38,0.28,-,-,0.00,-2.58%,-3.99%,15.88%,26.97,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.58M,48.94M,17.84%,10.29,13.50,-6.89%,92.66%,14.13,-1.11,-3.20%,251.80%,2.58%,-76.28%,-,-6.86%,0.32,2.30%,18300,3.00
2018-10-29,20:36:03 ,13.97,0.43%,"648,094",846.77K,759.41M,-60.40M,2.64B,2.78,-,13.01,-,6.50,0.29,-,-,0.00,-2.00%,-3.46%,16.24%,31.75,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,54.36M,48.94M,17.70%,10.23,13.50,-6.49%,93.49%,13.91,-1.11,-3.20%,251.80%,2.58%,-76.01%,-,-7.09%,0.32,2.29%,18300,3.00
2018-10-30,20:37:39 ,14.10,0.93%,"764,861",841.94K,766.48M,-60.40M,2.64B,2.81,-,13.13,-,6.56,0.29,-,-,0.00,-1.02%,-2.46%,17.20%,40.62,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,54.36M,48.94M,17.70%,10.29,13.50,-5.62%,95.29%,13.97,-1.11,-3.20%,251.80%,2.58%,-76.01%,-,-7.09%,0.32,2.27%,18300,3.00
2018-10-31,20:36:04 ,14.25,1.06%,"956,985",841.63K,774.63M,-60.40M,2.64B,2.84,-,13.27,-,6.63,0.29,-,-,0.00,0.09%,-1.34%,18.31%,48.69,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,54.36M,48.94M,17.70%,10.29,13.50,-4.62%,97.37%,14.10,-1.11,-3.20%,251.80%,2.58%,-76.01%,-,-7.09%,0.32,2.25%,18300,3.00
2018-11-01,20:38:45 ,14.09,-1.12%,"523,743",832.23K,765.93M,-60.40M,2.64B,2.81,-,13.12,-,6.56,0.29,-,-,0.00,-1.00%,-2.38%,16.84%,41.80,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,54.36M,48.94M,17.70%,10.41,13.50,-5.69%,95.15%,14.25,-1.11,-3.20%,251.80%,2.58%,-76.01%,-,-7.09%,0.32,2.27%,18300,3.00
2018-11-03,02:07:09 ,14.17,0.57%,"761,174",825.09K,770.28M,-60.40M,2.64B,2.82,-,13.19,-,6.59,0.29,-,-,0.00,-0.38%,-1.75%,17.39%,45.85,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,54.36M,48.94M,17.70%,10.50,13.50,-5.15%,96.26%,14.09,-1.11,-3.20%,251.80%,2.58%,-76.01%,-,-7.09%,0.32,2.26%,18300,3.00
2018-11-05,19:40:03 ,14.16,-0.07%,"546,686",830.16K,753.31M,-60.40M,2.64B,2.82,-,13.18,-,6.45,0.29,-,-,0.00,-0.41%,-1.74%,17.18%,45.09,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.20M,48.94M,17.70%,10.43,13.50,-5.22%,96.12%,14.17,-1.11,-3.20%,251.80%,2.58%,-76.41%,-,-6.14%,0.32,2.26%,18300,3.00
2018-11-06,19:37:55 ,14.37,1.48%,"1,144,147",832.77K,764.48M,-60.40M,2.64B,2.86,-,13.38,-,6.55,0.29,-,-,0.00,1.12%,-0.20%,18.80%,54.08,1.20%,6.20%,-2.40%,63.90%,-1.80%,0.60%,53.20M,48.94M,17.70%,10.40,13.50,-3.82%,99.03%,14.16,-1.11,-3.20%,251.80%,2.58%,-76.41%,-,-6.14%,0.32,2.23%,18300,3.00
