date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:45:38 ,21.00,6.44%,"112,417",229.69K,806.40M,-43.40M,-,5.28,-,-,-,6.10,-,13.30,13.30,0.25,-5.14%,-5.27%,10.29%,47.78,-31.60%,-49.20%,-,-,-,-,38.40M,37.26M,14.27%,23.14,28.50,-19.11%,167.72%,19.73,-2.63,-,18.50%,5.73%,-,88.30%,2.03%,-,-,20,1.50
2018-10-17,22:40:42 ,21.45,2.14%,"151,742",229.69K,823.68M,-43.40M,-,5.39,-,-,-,6.24,-,13.30,13.30,0.25,-2.71%,-3.26%,12.34%,50.25,-31.60%,-49.20%,-,-,-,-,38.40M,37.26M,14.27%,23.14,28.50,-17.37%,173.46%,21.00,-2.63,-,18.50%,5.73%,-,88.30%,2.03%,-,-,20,1.50
2018-10-18,23:16:22 ,19.34,-9.84%,"234,353",229.14K,742.66M,-43.40M,-,4.86,-,-,-,5.62,-,13.30,13.30,0.25,-12.00%,-12.79%,1.03%,40.49,-31.60%,-49.20%,-,-,-,-,38.40M,37.26M,14.27%,23.20,28.50,-25.50%,146.56%,21.45,-2.63,-,18.50%,5.73%,-,88.30%,2.03%,-,-,20,1.50
2018-10-19,23:23:10 ,18.79,-2.84%,"111,683",229.40K,721.54M,-43.40M,-,4.72,-,-,-,5.46,-,13.30,13.30,0.25,-13.63%,-15.10%,-2.01%,38.04,-31.60%,-49.20%,-,-,-,-,38.40M,37.26M,14.27%,23.17,28.50,-27.62%,139.55%,19.34,-2.63,-,18.50%,5.73%,-,88.30%,2.03%,-,-,20,1.50
2018-10-22,20:46:52 ,17.88,-4.84%,"438,220",228.44K,729.86M,-43.40M,-,4.49,-,-,-,5.53,-,13.30,13.30,0.25,-16.94%,-18.98%,-6.91%,34.74,-31.60%,-49.20%,-,-,-,-,40.82M,37.26M,14.27%,23.27,28.50,-31.12%,127.94%,18.79,-2.63,-,18.50%,5.73%,-,88.30%,1.92%,-,-,20,1.50
2018-10-23,20:48:10 ,18.26,2.13%,"150,562",233.39K,745.37M,-43.40M,-,4.59,-,-,-,5.64,-,13.30,13.30,0.25,-13.80%,-16.96%,-5.07%,37.12,-31.60%,-49.20%,-,-,-,-,40.82M,37.26M,14.27%,22.78,28.50,-29.66%,132.79%,17.88,-2.63,-,18.50%,5.73%,-,88.30%,1.92%,-,-,20,1.50
2018-10-24,20:46:16 ,17.16,-6.02%,"283,861",233.95K,700.47M,-43.40M,-,4.31,-,-,-,5.30,-,13.30,13.30,0.25,-17.66%,-21.83%,-10.92%,33.40,-31.60%,-49.20%,-,-,-,-,40.82M,37.26M,14.27%,22.72,28.50,-33.90%,118.77%,18.26,-2.63,-,18.50%,5.73%,-,88.30%,1.92%,-,-,20,1.50
2018-10-25,20:47:23 ,17.45,1.69%,"304,787",231.00K,712.31M,-43.40M,-,4.38,-,-,-,5.39,-,13.30,13.30,0.25,-14.66%,-20.31%,-9.53%,35.23,-31.60%,-49.20%,-,-,-,-,40.82M,37.26M,14.27%,23.01,28.50,-32.78%,122.46%,17.16,-2.63,-,18.50%,5.73%,-,88.30%,1.92%,-,-,20,1.50
2018-10-26,20:47:34 ,17.40,-0.29%,"131,109",233.56K,710.27M,-43.40M,-,4.37,-,-,-,5.38,-,13.30,13.30,0.25,-13.34%,-20.40%,-9.91%,34.80,-31.60%,-49.20%,-,-,-,-,40.82M,37.26M,14.27%,22.76,28.50,-32.97%,121.83%,17.45,-2.63,-,18.50%,5.73%,-,88.30%,1.92%,-,-,20,1.50
2018-10-29,20:37:19 ,16.35,-6.03%,"362,536",232.81K,650.40M,-43.40M,-,4.11,-,-,-,4.92,-,13.30,13.30,0.25,-17.07%,-25.03%,-15.46%,30.36,-31.60%,-49.20%,-,-,-,-,39.78M,37.26M,13.47%,21.55,28.50,-37.02%,108.44%,17.40,-2.63,-,18.50%,5.73%,-,88.30%,1.98%,-,-,20,1.50
