date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:43:54 ,8.71,4.69%,"131,028",238.96K,1.86B,-,8.32M,7.20,-,-,-,-,223.47,-,-,-,4.79%,15.70%,27.31%,60.75,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.24,21.00,-24.19%,102.56%,8.32,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-17,22:38:53 ,8.21,-5.74%,"82,686",238.96K,1.75B,-,8.32M,6.79,-,-,-,-,210.64,-,-,-,-1.64%,8.47%,19.69%,52.64,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.24,21.00,-28.54%,90.93%,8.71,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-18,23:14:39 ,8.47,3.17%,"68,410",237.23K,1.81B,-,8.32M,7.00,-,-,-,-,217.31,-,-,-,1.35%,11.27%,23.20%,55.40,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.25,21.00,-26.28%,96.98%,8.21,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-19,23:21:26 ,8.42,-0.59%,"77,019",234.30K,1.80B,-,8.32M,6.96,-,-,-,-,216.03,-,-,-,0.41%,9.91%,22.21%,53.91,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.26,21.00,-26.71%,95.81%,8.47,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-22,20:44:59 ,8.22,-2.38%,"84,094",231.01K,1.75B,-,8.32M,6.79,-,-,-,-,210.90,-,-,-,-2.20%,6.77%,19.05%,50.96,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.28,24.00,-28.45%,91.16%,8.42,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-23,20:46:17 ,7.83,-4.74%,"42,122",228.42K,1.67B,-,8.32M,6.47,-,-,-,-,200.89,-,-,-,-6.89%,1.25%,13.18%,45.31,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.30,24.00,-31.85%,82.09%,8.22,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-25,20:45:29 ,8.33,5.44%,"56,377",222.66K,1.78B,-,8.32M,6.88,-,-,-,-,213.72,-,-,-,-0.28%,6.71%,19.98%,52.59,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.33,24.00,-27.50%,93.72%,7.90,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-26,20:45:36 ,8.00,-3.96%,"40,125",221.99K,1.71B,-,8.32M,6.61,-,-,-,-,205.25,-,-,-,-4.04%,1.88%,14.98%,48.03,-,-,-,-,-,-,213.44M,17.65M,1.68%,1.33,24.00,-30.37%,86.05%,8.33,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-30,20:37:11 ,7.82,-1.39%,"46,487",218.89K,1.67B,-,8.32M,6.46,-,-,-,-,200.64,-,-,-,-5.15%,-1.32%,11.95%,45.69,-,-,-,-,-,-,213.44M,17.65M,1.70%,1.37,24.00,-31.93%,81.86%,7.93,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
2018-10-31,20:35:36 ,7.89,0.90%,"36,302",169.02K,1.68B,-,8.32M,6.52,-,-,-,-,202.43,-,-,-,-3.60%,-0.78%,12.74%,46.71,-,-,-,-,-,-,213.44M,17.65M,1.70%,1.77,24.00,-31.33%,83.49%,7.82,-2.37,386.50%,-,6.98%,0.00%,26.12%,-,-,-,74,1.80
