date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:36:50 ,19.41,2.97%,"1,099,218",1.31M,4.15B,498.00M,1.24B,1.30,8.54,7.09,0.56,43.44,3.35,-,-,0.36,-2.70%,-3.38%,2.84%,43.75,6.60%,12.90%,7.10%,-,52.50%,31.90%,213.98M,212.23M,1.11%,1.80,24.04,-17.37%,38.08%,18.85,2.27,5.40%,854.80%,0.20%,8.69%,95.10%,-0.02%,0.01,0.05%,1887,2.00
2018-10-17,20:29:19 ,19.70,1.49%,"1,497,894",1.31M,4.22B,498.00M,1.24B,1.32,8.67,7.20,0.57,44.09,3.40,-,-,0.36,-1.06%,-1.93%,4.41%,48.22,6.60%,12.90%,7.10%,-,52.50%,31.90%,213.98M,212.23M,1.11%,1.80,24.04,-16.13%,40.14%,19.41,2.27,5.40%,854.80%,0.20%,8.69%,95.10%,-0.02%,0.01,0.05%,1887,2.00
2018-10-18,21:08:04 ,19.16,-2.74%,"1,107,519",1.31M,4.10B,498.00M,1.24B,1.28,8.43,7.00,0.56,42.88,3.30,-,-,0.36,-3.62%,-4.60%,1.58%,41.27,6.60%,12.90%,7.10%,-,52.50%,31.90%,213.98M,212.23M,1.11%,1.79,24.04,-18.43%,36.30%,19.70,2.27,5.40%,854.80%,0.20%,8.69%,95.10%,-0.02%,0.01,0.05%,1887,2.00
2018-10-19,21:16:11 ,18.91,-1.30%,"663,812",1.30M,4.05B,498.00M,1.24B,1.26,8.32,6.91,0.55,42.33,3.26,-,-,0.36,-4.60%,-5.77%,0.30%,38.15,6.60%,12.90%,7.10%,-,52.50%,31.90%,213.98M,212.23M,1.11%,1.82,24.04,-19.50%,34.52%,19.16,2.27,5.40%,854.80%,0.20%,8.69%,95.10%,-0.02%,0.01,0.05%,1887,2.00
2018-10-22,18:29:39 ,18.83,-0.42%,"586,072",1.27M,4.07B,498.00M,1.24B,1.26,8.29,6.87,0.55,42.57,3.28,-,-,0.36,-4.63%,-6.09%,-0.08%,37.38,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.11M,212.23M,1.11%,1.85,24.04,-19.84%,33.95%,18.91,2.27,5.40%,854.80%,0.20%,8.60%,95.10%,-0.01%,0.01,0.05%,1887,2.00
2018-10-23,18:30:17 ,18.49,-1.81%,"825,912",1.26M,4.00B,498.00M,1.24B,1.24,8.14,6.75,0.54,41.80,3.22,-,-,0.36,-6.02%,-7.70%,-1.82%,33.98,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.11M,212.23M,1.11%,1.87,24.04,-21.29%,31.53%,18.83,2.27,5.40%,854.80%,0.20%,8.60%,95.10%,-0.01%,0.01,0.05%,1887,2.00
2018-10-24,18:30:14 ,17.52,-5.25%,"1,527,828",1.25M,3.79B,498.00M,1.24B,1.17,7.71,6.40,0.51,39.61,3.05,-,-,0.36,-10.57%,-12.44%,-6.90%,26.29,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.11M,212.23M,1.11%,1.88,24.04,-25.42%,24.63%,18.49,2.27,5.40%,854.80%,0.20%,8.60%,95.10%,-0.01%,0.01,0.06%,1887,2.00
2018-10-25,18:30:09 ,17.95,2.45%,"1,174,335",1.25M,3.88B,498.00M,1.24B,1.20,7.90,6.55,0.52,40.58,3.13,-,-,0.36,-7.75%,-10.09%,-4.51%,33.73,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.11M,212.23M,1.11%,1.88,24.04,-23.58%,27.69%,17.52,2.27,5.40%,854.80%,0.20%,8.60%,95.10%,-0.01%,0.01,0.06%,1887,2.00
2018-10-26,18:28:34 ,17.69,-1.45%,"927,707",1.24M,3.82B,498.00M,1.24B,1.18,7.79,6.46,0.51,39.99,3.08,-,-,0.36,-8.56%,-11.25%,-5.79%,31.62,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.11M,212.23M,1.11%,1.90,24.04,-24.69%,25.84%,17.95,2.27,5.40%,854.80%,0.20%,8.60%,95.10%,-0.01%,0.01,0.06%,1887,2.00
2018-10-29,18:28:42 ,18.04,1.98%,"1,066,250",1.21M,3.90B,498.00M,1.24B,1.21,7.94,6.59,0.52,40.84,3.15,-,-,0.36,-6.02%,-9.28%,-3.81%,37.02,6.60%,12.90%,7.10%,-,52.50%,31.90%,216.43M,212.23M,1.13%,1.98,24.04,-23.20%,28.33%,17.69,2.27,5.40%,854.80%,0.20%,8.58%,94.30%,-0.87%,0.01,0.06%,1887,2.00
