date,title,source
Oct-26-18,Doctor Reddy's: Fiscal 2Q Earnings Snapshot,Associated Press
Oct-26-18,Dr. Reddys Q2 & H1 FY19 Financial Results,Business Wire
Oct-29-18,Dr. Reddy's (RDY) Earnings and Revenues Improve Y/Y in Q2,Zacks
Oct-31-18,"Dr. Reddy's Laboratories Announces the Launch of Atomoxetine Capsules, USP in the U.S. Market",Business Wire
Nov-01-18,"Consolidated Research: 2018 Summary Expectations for Dr. Reddy's Laboratories, Union Pacific, Zimmer Biomet, Varian Medical, Sonic Automotive, and Axalta Coating  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Nov-19-18,J&J Gets Positive CHMP Opinion for Prostate Cancer Treatment,Zacks
Nov-21-18,Dr. Reddy's shares spike after favourable generic drug ruling,Reuters
Nov-28-18,"Dr. Reddy's Laboratories Announces the Launch of Chlorthalidone Tablets, USP in the U.S. Market",Business Wire
Nov-29-18,5 Low-Beta Stocks to Weather Market Volatility,Zacks
Nov-30-18,"Zacks.com highlights: Marcus, Papa Murphy's Holdings, Dr. Reddy's Laboratories, Tesla and Spirit Airlines",Zacks
Nov-30-18,Lilly (LLY) Hits Fresh High: Is There Still Room to Run?,Zacks
Dec-03-18,Healthcare Takes Wall Street Lead: 4 Picks,Zacks
Dec-04-18,"The Zacks Analyst Blog Highlights: Anthem, HCA, Dr. Reddy's and UnitedHealth",Zacks
Dec-07-18,These 5 stocks are surprising winners amid the markets wild swings,MarketWatch
Dec-10-18,Generic-drug stocks slammed by report of expanded price-fixing probe,MarketWatch
Dec-10-18,Generic drug makers stocks fall sharply after report of expanded price-fixing probe,MarketWatch
Dec-10-18,"Factors of Influence in 2018, Key Indicators and Opportunity within OSI, BorgWarner, Cubic, Dr. Reddy's Laboratories, Teck Resources, and Gardner Denver  New Research Emphasizes Economic Growth",GlobeNewswire
Dec-11-18,Generic Drugmakers Down on Allegations of Price Fixing,Zacks
Dec-11-18,Generic-drug stocks slammed by report of expanded price-fixing probe,MarketWatch
Dec-13-18,Should Warren Buffett  And You  Buy More TEVA Stock Right Now?,InvestorPlace
Dec-14-18,Bet on These 5 Low-Beta Stocks to Fight Market Volatility,Zacks
Dec-18-18,"Zacks.com featured highlights include: Abercrombie, Dr. Reddy???s, Cree, Otter and Shenandoah",Zacks
Dec-19-18,Today's Research Reports on Trending Tickers: Dr. Reddy's Laboratories and AbbVie,ACCESSWIRE
Dec-24-18,Dr. Reddy's Laboratories Launches Aspirin and Extended-Release Dipyridamole Capsules in the U.S. Market,Business Wire
Dec-27-18,"Highlighted as Zacks Bull and Bear of the Day Dr. Reddy???s Laboratories, Dillard???s, Facebook, Netflix and Amazon",Zacks
Dec-27-18,Dr. Reddy's Laboratories Announces the Launch of Sevelamer Carbonate for Oral Suspension in the U.S. Market,Business Wire
Dec-28-18,Generic Industry on Path to Recovery: 3 Hot Picks for 2019,Zacks
Dec-28-18,5 ADRs That More Than Doubled the S&P 500 in 2018,Zacks
Dec-31-18,"The Zacks Analyst Blog Highlights: Internet Initiative Japan, Sony, Ingersoll-Rand, HDFC Bank and Dr. Reddy's Laboratories",Zacks
Jan-03-19,"VIVUS (VVUS) Banks on New Drug Pancreaze, Qsymia Lacks Luster",Zacks
Jan-03-19,Teva (TEVA) Ends Dispute with Amgen Over Generic Sensipar,Zacks
Jan-07-19,Dr. Reddy's Laboratories Limited to Present at the 37th Annual J.P. Morgan Healthcare Conference,Business Wire
Jan-10-19,Akorn (AKRX) Gets FDA Warning Letter for Illinois Facility,Zacks
Jan-10-19,Top-Ranked Sector ETFs & Stocks to Buy for 2019,Zacks
Jan-11-19,"Dr. Reddy's to Release Q3 FY19 Results on February 1, 2019",Business Wire
Jan-24-19,"Dr. Reddy's Laboratories Announces the Launch of Propofol Injectable Emulsion, USP in the U.S. Market",Business Wire
Jan-28-19,Dr. Reddy's (RDY) to Report Q3 Earnings: What's in Store?,Zacks
Feb-01-19,Dr. Reddy's Announces the Appointment of Marc Kikuchi to Lead Its Generics Business in North America,Business Wire
Feb-01-19,"Dr. Reddy's (RDY) Earnings Rise in Q3, Sales Increase Y/Y",Zacks
Feb-01-19,Dr. Reddys Q3 FY19 Financial Results,Business Wire
Feb-01-19,Dr. Reddy's third-quarter profit surges on strong growth in emerging markets,Reuters
Feb-04-19,Dr. Reddy's (RDY) Earnings and Revenues Improve Y/Y in Q3,Zacks
Feb-04-19,Dr. Reddy's Laboratories Continues its Voluntary Nationwide Recall of Levetiracetam in 0.54% Sodium Chloride Injection 1500mg/100mL Due to Mislabeling,Business Wire
Feb-12-19,Dr. Reddy's Laboratories launches Tadalafil Tablets USP in the U.S. Market,Business Wire
Feb-20-19,Dr. Reddy's Laboratories Announces the Re-Launch of Its Buprenorphine and Naloxone Sublingual Film after Favorable Ruling in Patent Litigation,Business Wire
Feb-27-19,Watching for Signs of Global Risk Events,Investopedia
