date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-22,20:47:06 ,7.80,0.00%,0,0.81K,-,-,171.83M,1.33,-,-,-,-,-,-,-,-,-19.59%,-24.18%,-25.01%,34.86,-,-,-,-,-,-,-,3.23M,0.07%,2.82,-,-30.73%,9.56%,7.80,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-23,20:48:25 ,7.59,-2.69%,"1,000",0.81K,-,-,171.83M,1.29,-,-,-,-,-,-,-,-,-21.76%,-26.22%,-27.03%,33.00,-,-,-,-,-,-,-,3.23M,0.07%,2.82,-,-32.59%,6.61%,7.80,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-24,20:46:31 ,7.59,0.00%,0,0.84K,-,-,171.83M,1.29,-,-,-,-,-,-,-,-,-20.25%,-25.57%,-26.93%,33.00,-,-,-,-,-,-,-,3.23M,0.07%,2.72,-,-32.59%,8.12%,7.59,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-25,20:47:38 ,7.59,0.00%,0,0.84K,-,-,171.83M,1.29,-,-,-,-,-,-,-,-,-20.25%,-25.57%,-26.93%,33.00,-,-,-,-,-,-,-,3.23M,0.07%,2.72,-,-32.59%,8.12%,7.59,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-26,20:47:51 ,6.49,-14.49%,"2,545",0.84K,-,-,171.83M,1.10,-,-,-,-,-,-,-,-,-31.81%,-36.36%,-37.52%,28.17,-,-,-,-,-,-,-,3.23M,0.07%,2.72,-,-42.36%,-7.55%,7.59,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-29,20:37:32 ,6.33,-2.47%,200,1.09K,-,-,171.83M,1.08,-,-,-,-,-,-,-,-,-31.78%,-37.25%,-38.93%,27.71,-,-,-,-,-,-,-,3.43M,0.07%,2.11,-,-43.78%,-2.47%,6.49,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-30,20:39:11 ,6.53,3.16%,600,0.98K,-,-,171.83M,1.11,-,-,-,-,-,-,-,-,-27.71%,-34.56%,-36.87%,29.21,-,-,-,-,-,-,-,3.43M,0.07%,2.35,-,-42.01%,3.16%,6.33,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-10-31,20:37:35 ,6.53,0.00%,0,0.93K,-,-,171.83M,1.11,-,-,-,-,-,-,-,-,-25.76%,-33.89%,-36.75%,29.21,-,-,-,-,-,-,-,3.43M,0.07%,2.46,-,-42.01%,3.16%,6.53,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-01,20:40:15 ,6.53,0.00%,0,0.93K,-,-,171.83M,1.11,-,-,-,-,-,-,-,-,-25.76%,-33.89%,-36.75%,29.21,-,-,-,-,-,-,-,3.43M,0.07%,2.46,-,-42.01%,3.16%,6.53,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-03,02:08:39 ,6.53,0.00%,0,0.93K,-,-,171.83M,1.11,-,-,-,-,-,-,-,-,-25.76%,-33.89%,-36.75%,29.21,-,-,-,-,-,-,-,3.43M,0.07%,2.46,-,-42.01%,3.16%,6.53,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-05,19:41:35 ,6.53,0.00%,0,0.93K,-,-,171.83M,1.11,-,-,-,-,-,-,-,-,-25.76%,-33.89%,-36.75%,29.21,-,-,-,-,-,-,-,3.43M,0.07%,2.46,-,-42.01%,3.16%,6.53,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-06,19:39:26 ,6.00,-8.12%,"1,100",0.93K,-,-,171.83M,1.02,-,-,-,-,-,-,-,-,-31.79%,-39.26%,-41.88%,27.83,-,-,-,-,-,-,-,3.43M,0.07%,2.46,-,-46.71%,-5.21%,6.53,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-07,19:48:41 ,6.00,0.00%,0,0.95K,-,-,171.83M,1.02,-,-,-,-,-,-,-,-,-31.00%,-38.59%,-41.76%,27.83,-,-,-,-,-,-,-,3.43M,0.07%,2.41,-,-46.71%,0.00%,6.00,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-08,19:59:59 ,6.00,0.00%,0,0.95K,-,-,171.83M,1.02,-,-,-,-,-,-,-,-,-31.00%,-38.59%,-41.76%,27.83,-,-,-,-,-,-,-,3.43M,0.07%,2.41,-,-46.71%,0.00%,6.00,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-09,20:15:55 ,6.00,0.00%,0,0.95K,-,-,171.83M,1.02,-,-,-,-,-,-,-,-,-31.00%,-38.59%,-41.76%,27.83,-,-,-,-,-,-,-,3.43M,0.07%,2.41,-,-46.71%,0.00%,6.00,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-12,22:19:09 ,6.00,0.00%,0,0.95K,-,-,171.83M,1.02,-,-,-,-,-,-,-,-,-31.00%,-38.59%,-41.76%,27.83,-,-,-,-,-,-,-,3.43M,0.06%,2.10,-,-46.71%,0.00%,6.00,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-13,19:50:53 ,5.40,-10.00%,600,0.95K,-,-,171.83M,0.92,-,-,-,-,-,-,-,-,-37.90%,-44.73%,-47.58%,25.75,-,-,-,-,-,-,-,3.43M,0.06%,2.10,-,-52.04%,-10.00%,6.00,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-14,19:39:50 ,5.44,0.65%,600,0.94K,-,-,171.83M,0.92,-,-,-,-,-,-,-,-,-36.53%,-43.68%,-47.11%,26.71,-,-,-,-,-,-,-,3.43M,0.06%,2.12,-,-49.01%,0.65%,5.40,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-15,19:36:46 ,5.44,0.00%,0,0.97K,-,-,171.83M,0.92,-,-,-,-,-,-,-,-,-35.25%,-43.00%,-46.98%,26.71,-,-,-,-,-,-,-,3.43M,0.06%,2.05,-,-49.01%,0.65%,5.44,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-16,19:37:09 ,5.00,-8.01%,"1,100",0.97K,-,-,171.83M,0.85,-,-,-,-,-,-,-,-,-40.44%,-47.56%,-51.22%,24.64,-,-,-,-,-,-,-,3.43M,0.06%,2.05,-,-53.10%,-7.41%,5.44,-1.47,447.50%,1759.10%,-,-,0.06%,-,-,-,48,-
2018-11-19,19:36:13 ,5.00,0.00%,0,0.98K,-,-,235.77M,0.85,-,-,-,-,-,-,-,-,-38.93%,-46.87%,-51.09%,24.64,-,-,-,-,-,-,-,7.30M,0.03%,2.03,-,-53.10%,0.00%,5.00,-1.47,438.30%,-,-,-,0.06%,-,-,-,48,-
2018-11-20,19:38:07 ,5.00,0.00%,0,0.98K,-,-,235.77M,0.85,-,-,-,-,-,-,-,-,-38.93%,-46.87%,-51.09%,24.64,-,-,-,-,-,-,-,7.30M,0.03%,2.03,-,-53.10%,0.00%,5.00,-1.47,438.30%,-,-,-,0.06%,-,-,-,48,-
2018-11-21,19:37:07 ,5.00,0.00%,0,0.98K,-,-,235.77M,0.85,-,-,-,-,-,-,-,-,-38.93%,-46.87%,-51.09%,24.64,-,-,-,-,-,-,-,7.30M,0.03%,2.03,-,-53.10%,0.00%,5.00,-1.47,438.30%,-,-,-,0.06%,-,-,-,48,-
2018-11-23,19:36:25 ,5.00,0.00%,0,0.98K,-,-,235.77M,0.85,-,-,-,-,-,-,-,-,-38.93%,-46.87%,-51.09%,24.64,-,-,-,-,-,-,-,7.30M,0.03%,2.03,-,-53.10%,0.00%,5.00,-1.47,438.30%,-,-,-,0.06%,-,-,-,48,-
2018-12-03,19:49:11 ,4.30,0.00%,0,1.04K,-,-,235.77M,4.05,-,-,-,-,-,-,-,-,-44.25%,-52.85%,-57.69%,23.69,-,-,-,-,-,-,-,7.28M,0.02%,1.74,-,-59.66%,7.50%,4.30,-4.53,438.30%,-,-,-,-,-,-,-,48,-
2018-12-04,19:37:50 ,4.30,0.00%,0,1.04K,-,-,235.77M,4.05,-,-,-,-,-,-,-,-,-44.25%,-52.85%,-57.69%,23.69,-,-,-,-,-,-,-,7.28M,0.02%,1.74,-,-59.66%,7.50%,4.30,-4.53,438.30%,-,-,-,-,-,-,-,48,-
2018-12-06,19:36:40 ,4.30,0.00%,0,1.04K,-,-,235.77M,4.05,-,-,-,-,-,-,-,-,-44.25%,-52.85%,-57.69%,23.69,-,-,-,-,-,-,-,7.28M,0.02%,1.74,-,-59.66%,7.50%,4.30,-4.53,438.30%,-,-,-,-,-,-,-,48,-
