date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:29:25 ,2.73,1.87%,"116,787",214.72K,108.49M,7.50M,9.80M,0.50,14.00,24.82,-,1084.90,11.07,-,-,0.00,-0.31%,5.19%,17.70%,53.15,3.50%,3.50%,2.00%,-,77.00%,76.80%,39.74M,38.58M,0.86%,1.54,2.00,-7.46%,85.71%,2.68,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.45%,-,3.00
2018-10-17,20:21:57 ,2.74,0.37%,"97,613",214.72K,108.89M,7.50M,9.80M,0.50,14.05,24.91,-,1088.88,11.11,-,-,0.00,-0.09%,5.38%,17.93%,54.28,3.50%,3.50%,2.00%,-,77.00%,76.80%,39.74M,38.58M,0.86%,1.54,2.00,-7.12%,86.39%,2.73,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.41%,-,3.00
2018-10-18,21:00:26 ,2.68,-2.19%,"96,729",215.42K,106.50M,7.50M,9.80M,0.49,13.74,24.36,-,1065.03,10.87,-,-,0.00,-2.53%,2.82%,15.17%,49.74,3.50%,3.50%,2.00%,-,77.00%,76.80%,39.74M,38.58M,0.86%,1.53,2.00,-9.15%,82.31%,2.74,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.69%,-,3.00
2018-10-19,21:08:50 ,2.69,0.37%,"44,846",215.97K,106.90M,7.50M,9.80M,0.49,13.79,24.45,-,1069.01,10.91,-,-,0.00,-2.31%,2.96%,15.46%,49.97,3.50%,3.50%,2.00%,-,77.00%,76.80%,39.74M,38.58M,0.86%,1.53,2.00,-8.81%,82.99%,2.68,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.64%,-,3.00
2018-10-22,18:22:11 ,2.69,0.00%,"77,642",214.90K,103.79M,7.50M,9.80M,0.49,13.79,24.45,-,1037.88,10.59,-,-,0.00,-2.39%,2.73%,15.31%,50.14,3.50%,3.50%,2.00%,-,77.00%,76.80%,38.58M,38.58M,0.86%,1.54,2.00,-8.81%,82.99%,2.69,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.64%,-,3.00
2018-10-23,18:22:49 ,2.68,-0.37%,"211,713",215.37K,103.40M,7.50M,9.80M,0.49,13.74,24.36,-,1034.02,10.55,-,-,0.00,-2.74%,2.11%,14.73%,49.12,3.50%,3.50%,2.00%,-,77.00%,76.80%,38.58M,38.58M,0.86%,1.54,2.00,-9.15%,82.31%,2.69,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,12.69%,-,3.00
2018-10-24,18:22:46 ,2.54,-5.22%,"181,111",215.66K,98.00M,7.50M,9.80M,0.47,13.03,23.09,-,980.01,10.00,-,-,0.00,-7.67%,-3.47%,8.61%,38.88,3.50%,3.50%,2.00%,-,77.00%,76.80%,38.58M,38.58M,0.86%,1.53,2.00,-13.90%,72.79%,2.68,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,13.39%,-,3.00
2018-10-25,18:22:36 ,2.60,2.36%,"120,674",213.74K,100.32M,7.50M,9.80M,0.48,13.33,23.64,-,1003.16,10.24,-,-,0.00,-5.01%,-1.31%,11.09%,43.37,3.50%,3.50%,2.00%,-,77.00%,76.80%,38.58M,38.58M,0.86%,1.55,2.00,-11.86%,76.87%,2.54,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,13.08%,-,3.00
2018-10-26,18:21:04 ,2.28,-12.31%,"972,144",213.89K,87.97M,7.50M,9.80M,0.42,11.69,20.73,-,879.69,8.98,-,-,0.00,-16.61%,-13.66%,-2.67%,28.31,3.50%,3.50%,2.00%,-,77.00%,76.80%,38.58M,38.58M,0.86%,1.55,2.00,-22.71%,55.10%,2.60,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,14.91%,-,3.00
2018-10-29,18:21:11 ,2.26,-0.88%,"137,027",227.08K,99.42M,7.50M,9.80M,0.41,11.59,20.55,-,994.17,10.14,-,-,0.00,-16.65%,-14.39%,-3.53%,27.65,3.50%,3.50%,2.00%,-,77.00%,76.80%,43.99M,38.58M,1.07%,1.83,2.00,-23.39%,52.96%,2.28,0.20,15.80%,6.90%,-,-,15.10%,-,0.34,15.04%,-,3.00
