date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:44:50 ,26.01,5.60%,"273,345",377.15K,1.01B,-75.10M,162.30M,3.62,-,-,-,3.97,6.25,2.60,2.70,0.16,-4.48%,-7.08%,-1.22%,43.98,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.01M,30.48M,14.24%,11.51,38.00,-21.18%,29.47%,24.63,-1.90,6.40%,-64.50%,1.20%,-2.50%,-,-,-,-,173,1.40
2018-10-17,22:39:52 ,25.78,-0.88%,"127,062",377.15K,1.01B,-75.10M,162.30M,3.59,-,-,-,3.93,6.20,2.60,2.70,0.16,-4.81%,-7.86%,-2.19%,43.70,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.01M,30.48M,14.24%,11.51,38.00,-21.88%,28.32%,26.01,-1.90,6.40%,-64.50%,1.20%,-2.50%,-,-,-,-,173,1.40
2018-10-18,23:15:34 ,25.09,-2.68%,"318,292",374.72K,978.76M,-75.10M,162.30M,3.49,-,-,-,3.83,6.03,2.60,2.70,0.16,-6.77%,-10.24%,-4.87%,39.63,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.01M,30.48M,14.24%,11.59,38.00,-23.97%,24.89%,25.78,-1.90,6.40%,-64.50%,1.20%,-2.50%,-,-,-,-,173,1.40
2018-10-19,23:22:20 ,25.29,0.80%,"261,204",368.87K,986.56M,-75.10M,162.30M,3.52,-,-,-,3.86,6.08,2.60,2.70,0.16,-5.24%,-9.38%,-4.13%,40.59,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.01M,30.48M,14.24%,11.77,38.00,-23.36%,25.88%,25.09,-1.90,6.40%,-64.50%,1.20%,-2.50%,-,-,-,-,173,1.40
2018-10-22,20:45:59 ,25.29,0.00%,"241,553",368.54K,1.01B,-75.10M,162.30M,3.52,-,-,-,3.97,6.25,2.60,2.70,0.16,-4.79%,-9.30%,-4.15%,40.56,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,40.11M,30.48M,14.24%,11.78,38.00,-23.36%,25.88%,25.29,-1.90,6.40%,-64.50%,1.20%,-2.43%,-,0.06%,-,-,173,1.40
2018-10-23,20:47:17 ,25.43,0.55%,"184,909",369.97K,1.02B,-75.10M,162.30M,3.54,-,-,-,3.99,6.28,2.60,2.70,0.16,-3.82%,-8.76%,-3.66%,41.40,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,40.11M,30.48M,14.24%,11.73,38.00,-22.94%,26.58%,25.29,-1.90,6.40%,-64.50%,1.20%,-2.43%,-,0.06%,-,-,173,1.40
2018-10-24,20:45:23 ,23.92,-5.94%,"305,926",369.40K,959.43M,-75.10M,162.30M,3.33,-,-,-,3.75,5.91,2.60,2.70,0.16,-8.98%,-14.16%,-9.41%,34.17,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,40.11M,30.48M,14.24%,11.75,38.00,-27.52%,19.06%,25.43,-1.90,6.40%,-64.50%,1.20%,-2.43%,-,0.06%,-,-,173,1.40
2018-10-25,20:46:30 ,24.67,3.14%,"243,757",369.43K,989.51M,-75.10M,162.30M,3.43,-,-,-,3.87,6.10,2.60,2.70,0.16,-5.30%,-11.28%,-6.58%,40.09,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,40.11M,30.48M,14.24%,11.75,38.00,-25.24%,22.80%,23.92,-1.90,6.40%,-64.50%,1.20%,-2.43%,-,0.06%,-,-,173,1.40
2018-10-26,20:46:40 ,24.98,1.26%,"195,628",367.42K,1.00B,-75.10M,162.30M,3.47,-,-,-,3.92,6.17,2.60,2.70,0.16,-3.47%,-10.04%,-5.43%,42.18,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,40.11M,30.48M,14.24%,11.82,38.00,-24.30%,24.34%,24.67,-1.90,6.40%,-64.50%,1.20%,-2.43%,-,0.06%,-,-,173,1.40
2018-10-29,20:36:32 ,24.31,-2.68%,"177,977",365.84K,970.46M,-75.10M,162.30M,3.38,-,-,-,3.80,5.98,2.60,2.70,0.16,-5.37%,-12.32%,-7.97%,38.77,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.92M,30.48M,14.10%,11.75,38.00,-26.33%,21.00%,24.98,-1.90,6.40%,-64.50%,1.20%,-2.44%,-,0.38%,-,-,173,1.40
2018-10-30,20:38:08 ,25.61,5.35%,"269,512",358.15K,1.02B,-75.10M,162.30M,3.56,-,-,-,4.00,6.30,2.60,2.70,0.16,0.37%,-7.36%,-3.04%,45.75,-15.00%,-25.70%,-16.00%,97.00%,-40.30%,-46.90%,39.92M,30.48M,14.10%,12.00,38.00,-22.39%,27.48%,24.31,-1.90,6.40%,-64.50%,1.20%,-2.44%,-,0.38%,-,-,173,1.40
