date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:45:29 ,1.74,6.10%,"43,572",103.42K,9.60M,-12.90M,-,0.82,-,-,-,0.59,-,8.80,8.80,0.00,-7.01%,-9.90%,-34.42%,44.69,-82.20%,-128.60%,-,-,-,-,5.52M,4.66M,4.53%,2.04,12.42,-58.09%,24.29%,1.64,-3.58,-,49.70%,0.40%,-,23.60%,0.23%,-,-,5,2.00
2018-10-17,22:40:34 ,1.67,-4.02%,"59,421",103.42K,9.22M,-12.90M,-,0.79,-,-,-,0.57,-,8.80,8.80,0.00,-10.87%,-12.97%,-36.87%,42.35,-82.20%,-128.60%,-,-,-,-,5.52M,4.66M,4.53%,2.04,12.42,-59.78%,19.29%,1.74,-3.58,-,49.70%,0.40%,-,23.60%,0.23%,-,-,5,2.00
2018-10-18,23:16:14 ,1.72,2.99%,"13,989",104.01K,9.49M,-12.90M,-,0.82,-,-,-,0.58,-,8.80,8.80,0.00,-8.03%,-9.73%,-34.80%,44.29,-82.20%,-128.60%,-,-,-,-,5.52M,4.66M,4.53%,2.03,12.42,-58.57%,22.86%,1.67,-3.58,-,49.70%,0.40%,-,23.60%,0.23%,-,-,5,2.00
2018-10-19,23:23:01 ,1.68,-2.33%,"41,503",103.02K,9.27M,-12.90M,-,0.80,-,-,-,0.57,-,8.80,8.80,0.00,-9.98%,-11.42%,-36.13%,42.67,-82.20%,-128.60%,-,-,-,-,5.52M,4.66M,4.53%,2.05,12.42,-59.54%,20.00%,1.72,-3.58,-,49.70%,0.40%,-,23.60%,0.23%,-,-,5,2.00
2018-10-22,20:46:43 ,1.78,5.95%,"49,240",99.83K,10.06M,-12.90M,-,0.84,-,-,-,0.62,-,8.80,8.80,0.00,-3.95%,-5.57%,-32.13%,48.40,-82.20%,-128.60%,-,-,-,-,5.65M,4.66M,4.53%,2.12,12.42,-57.13%,27.14%,1.68,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
2018-10-23,20:48:01 ,1.84,3.09%,"35,659",99.11K,10.37M,-12.90M,-,0.87,-,-,-,0.64,-,8.80,8.80,0.00,-0.74%,-2.29%,-29.84%,50.46,-82.20%,-128.60%,-,-,-,-,5.65M,4.66M,4.53%,2.13,12.42,-55.80%,31.07%,1.78,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
2018-10-24,20:46:07 ,1.75,-4.63%,"28,822",99.10K,9.89M,-12.90M,-,0.83,-,-,-,0.61,-,8.80,8.80,0.00,-5.15%,-6.61%,-32.92%,46.52,-82.20%,-128.60%,-,-,-,-,5.65M,4.66M,4.53%,2.13,12.42,-57.85%,25.00%,1.84,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
2018-10-25,20:47:13 ,1.48,-15.43%,"287,037",97.87K,8.36M,-12.90M,-,0.70,-,-,-,0.51,-,8.80,8.80,0.00,-19.70%,-20.80%,-43.12%,35.42,-82.20%,-128.60%,-,-,-,-,5.65M,4.66M,4.53%,2.16,12.42,-64.35%,5.71%,1.75,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
2018-10-26,20:47:25 ,1.45,-2.03%,"50,364",101.73K,8.19M,-12.90M,-,0.69,-,-,-,0.50,-,8.80,8.80,0.00,-20.31%,-21.97%,-44.09%,34.52,-82.20%,-128.60%,-,-,-,-,5.65M,4.66M,4.53%,2.08,12.42,-65.08%,3.57%,1.48,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
2018-10-29,20:37:11 ,1.28,-11.72%,"248,262",97.82K,7.24M,-12.90M,-,0.61,-,-,-,0.44,-,8.80,8.80,0.00,-28.85%,-30.73%,-50.45%,30.08,-82.20%,-128.60%,-,-,-,-,5.66M,4.66M,7.11%,3.39,12.42,-69.17%,-8.57%,1.45,-3.58,-,49.70%,0.40%,-,23.80%,1.05%,-,-,5,2.00
