date,title,source
Oct-17-18,SAP vows to ease cloud transition; German customers less keen,Reuters
Oct-17-18,SAP vows to ease cloud transition; German customers less keen,Reuters
Oct-17-18,SAP Kicks Off SAP.iO Foundries Location in Paris,PR Newswire
Oct-17-18,Workday stock gains after Bernstein upgrade,MarketWatch
Oct-18-18,Edited Transcript of SAP.DE earnings conference call or presentation 18-Oct-18 12:00pm GMT,Thomson Reuters StreetEvents
Oct-18-18,"Europe's Equity Rebound Turns to Gloom Again, Thanks to the U.S.",Bloomberg
Oct-18-18,"SAP plays down margin fears, prioritises growth - CFO",Reuters
Oct-18-18,"SAP plays down margin fears, prioritises growth: CFO",Reuters
Oct-18-18,"SAP Q3 Earnings Improve Y/Y, '18 View Up on Cloud Strength",Zacks
Oct-18-18,SAP: 3Q Earnings Snapshot,Associated Press
Oct-18-18,SAP Slides as Margin Disappointment Overshadows Bullish Cloud Sales Outlook,TheStreet.com
Oct-18-18,"SAP Posts `Mixed Bag' of Profit Miss, Raised 2018 Forecasts",Bloomberg
Oct-18-18,SAP raises guidance as cloud transformation gathers pace,Reuters
Oct-18-18,Interested In SAP SE (FRA:SAP)? Heres What Its Recent Performance Looks Like,Simply Wall St.
Oct-18-18,SAP raises guidance as cloud transformation gathers pace,Reuters
Oct-18-18,SAP SE: Cloud Growth Soars Beyond Expectations,PR Newswire
Oct-22-18,49ers hope partnership with software giant will help sell more $10 beers and improve game day for fans,American City Business Journals
Oct-23-18,Better Together: SAP Chooses Jamf to Manage all Their Apple Devices as an Ecosystem,GlobeNewswire
Oct-23-18,"Research Report Identifies Nordson, Willis Towers Watson Public, Bio-Rad Laboratories, Insperity, SAP SE, and Wesco Aircraft with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Oct-25-18,Chief Innovation Officer Juergen Mueller to Join SAP SE Board,PR Newswire
Nov-05-18,Why SAP SE (FRA:SAP) Could Be Worth Watching,Simply Wall St.
Nov-07-18,Leading Companies Turn to SAP for Network and Spend Management,PR Newswire
Nov-08-18,"Community Impact Individual Champion: Exec helps inside, outside SAP Labs",American City Business Journals
Nov-09-18,Keep Talkin Larry: Amazon Is Close to Tossing Oracle Software,Bloomberg
Nov-12-18,SAP's $8 Billion Bet on the CRM Market,Zacks
Nov-12-18,"Lumentum, SAP fall; Coty, Athenahealth rise",Associated Press
Nov-12-18,"SAP SE to present at the dbVIC - Deutsche Bank ADR Virtual Investor Conference on November 15th, 2018",PR Newswire
Nov-12-18,Stock News Today: Uptrend Wobbles As Apple Leads Another Tech Sell-Off,Investor's Business Daily
Nov-12-18,Why SAP Stock Is Getting Hammered After Its Qualtrics Acquisition,InvestorPlace
Nov-12-18,Here are the big winners in SAP's $8B purchase of SurveyMonkey rival Qualtrics,American City Business Journals
Nov-12-18,7 Multi-Billion-Dollar Software Deals This Year,Investopedia
Nov-12-18,SAP Purchases Qualtrics for $8 Billion,InvestorPlace
Nov-12-18,SurveyMonkey Shares Fluctuate on News of Rival's Sale,TheStreet.com
Nov-12-18,100-Year Anniversary of Armistice Day,Zacks
Nov-12-18,"Return of Merger Monday: ATHN, SAP & More",Zacks
Nov-12-18,SAP to Gain Experience Management Tools With Qualtrics Buy,Zacks
Nov-12-18,"Alibaba, Athenahealth, SAP, Qualtrics and SoftBank - 5 Things You Must Know",TheStreet.com
Nov-12-18,SAP CEO and Qualtrics CEO on SAP-Qualtrics deal,CNBC Videos
Nov-12-18,[$$] FirstFT: Todays top stories,Financial Times
Nov-13-18,SAP SE -- Moody's affirms SAP's ratings following Qualtrics acquisition; outlook stable,Moody's
Nov-13-18,"Company News For Nov 13, 2018",Zacks
Nov-13-18,Here's How M&As Are Giving Cloud Services a Boost,Zacks
Nov-14-18,SAP Investor Presentations in November and December 2018,PR Newswire
Nov-14-18,3 Reasons This Small-Cap SaaS Stock Is a Buy,Motley Fool
Nov-16-18,SAP defends $8 billion Qualtrics deal,Reuters
Nov-16-18,SAP defends $8 bln Qualtrics deal,Reuters
Nov-16-18,SAP still expects to expand margins after Qualtrics deal: SAP,Reuters
Nov-19-18,Survey Monkey Shares Sink 11.8%,TheStreet.com
Nov-19-18,Here's how Sequoia Capital got to $100B in exits this year,American City Business Journals
Nov-19-18,SAP Presentation Now Available for On-Demand Viewing: dbVIC - Deutsche Bank ADR Virtual Investor Conference,PR Newswire
Nov-27-18,Hewlett Packard's (HPE) Composable Cloud Aids Hybrid IT Arm,Zacks
