date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:43:24 ,3.28,-3.53%,"4,679,951",3.84M,1.85B,30.30M,3.46B,1.06,63.08,8.00,-,12.92,0.54,1.30,1.80,1.13,22.09%,30.30%,1.11%,77.02,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.71,5.90,-39.73%,62.38%,3.40,0.05,62.60%,-85.20%,-,-,30.70%,-0.92%,0.27,8.08%,53139,1.00
2018-10-17,20:35:56 ,3.19,-2.74%,"3,731,008",3.84M,1.80B,30.30M,3.46B,1.04,61.35,7.78,-,12.57,0.52,1.30,1.80,1.13,16.87%,26.07%,-1.43%,70.50,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.71,5.90,-41.39%,57.92%,3.28,0.05,62.60%,-85.20%,-,-,30.70%,-0.92%,0.27,8.31%,53139,1.00
2018-10-18,21:14:47 ,3.17,-0.63%,"3,819,440",3.84M,1.79B,30.30M,3.46B,1.03,60.96,7.73,-,12.49,0.52,1.30,1.80,1.13,14.81%,24.70%,-1.77%,68.96,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.71,5.90,-41.75%,56.93%,3.19,0.05,62.60%,-85.20%,-,-,30.70%,-0.92%,0.27,8.36%,53139,1.00
2018-10-19,21:22:43 ,3.17,0.00%,"1,955,714",3.82M,1.79B,30.30M,3.46B,1.03,60.96,7.73,-,12.49,0.52,1.30,1.80,1.13,13.46%,24.10%,-1.46%,68.86,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.72,5.90,-41.75%,56.93%,3.17,0.05,62.60%,-85.20%,-,-,30.70%,-0.92%,0.27,8.36%,53139,1.00
2018-10-22,18:36:20 ,3.07,-3.15%,"3,746,925",3.78M,1.74B,30.70M,3.51B,0.98,59.04,7.49,-,11.94,0.50,1.30,1.80,1.13,8.61%,19.62%,-4.28%,62.12,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.74,5.90,-43.59%,51.98%,3.17,0.05,62.60%,-85.20%,-,-,30.80%,-0.73%,0.27,8.63%,53139,1.00
2018-10-23,18:37:02 ,3.11,1.30%,"2,816,861",3.79M,1.76B,30.70M,3.51B,1.00,59.81,7.59,-,12.09,0.50,1.30,1.80,1.13,8.95%,20.69%,-2.72%,63.69,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.73,5.90,-42.86%,53.96%,3.07,0.05,62.60%,-85.20%,-,-,30.80%,-0.73%,0.27,8.52%,53139,1.00
2018-10-24,18:37:02 ,3.01,-3.22%,"4,057,547",3.80M,1.70B,30.70M,3.51B,0.96,57.88,7.34,-,11.71,0.49,1.30,1.80,1.13,4.33%,16.22%,-5.57%,56.62,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.73,5.90,-44.69%,49.01%,3.11,0.05,62.60%,-85.20%,-,-,30.80%,-0.73%,0.27,8.80%,53139,1.00
2018-10-25,18:36:54 ,2.86,-4.98%,"5,091,471",3.81M,1.62B,30.70M,3.51B,0.92,55.00,6.98,-,11.12,0.46,1.30,1.80,1.13,-1.79%,9.89%,-10.00%,50.05,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.72,5.90,-47.45%,41.58%,3.01,0.05,62.60%,-85.20%,-,-,30.80%,-0.73%,0.27,9.27%,53139,1.00
2018-10-26,18:35:19 ,2.86,0.00%,"5,253,622",3.85M,1.62B,30.70M,3.51B,0.92,55.00,6.98,-,11.12,0.46,1.30,1.80,1.13,-2.49%,9.27%,-9.68%,50.05,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,565.44M,560.28M,1.17%,1.71,5.90,-47.45%,41.58%,2.86,0.05,62.60%,-85.20%,-,-,30.80%,-0.73%,0.27,9.27%,53139,1.00
2018-10-29,18:35:25 ,2.88,0.70%,"3,083,495",3.88M,1.62B,30.30M,3.46B,0.93,55.38,7.02,-,11.26,0.47,1.30,1.80,1.13,-2.42%,9.36%,-8.73%,51.14,0.60%,2.00%,0.70%,8.20%,1.80%,0.90%,561.75M,560.28M,1.26%,1.82,5.90,-47.08%,42.57%,2.86,0.05,62.60%,-85.20%,-,-,30.80%,-0.77%,0.27,9.20%,53139,1.00
