date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:13:20 ,13.11,2.26%,"27,904",35.49K,235.76M,-,15.19M,0.85,10.51,-,-,-,15.52,-,-,-,-3.67%,-5.14%,-2.30%,38.75,-,-,-,-,-,-,17.98M,-,-,0.44,-,-11.12%,7.28%,12.82,1.25,28.30%,-,-,-,26.26%,-,1.24,9.46%,-,-
2018-10-17,20:06:10 ,13.13,0.15%,"44,767",35.49K,236.12M,-,15.19M,0.86,10.53,-,-,-,15.54,-,-,-,-3.17%,-4.90%,-2.12%,38.89,-,-,-,-,-,-,17.98M,-,-,0.44,-,-10.98%,7.45%,13.11,1.25,28.30%,-,-,-,26.26%,-,1.24,9.44%,-,-
2018-10-18,20:44:37 ,13.08,-0.38%,"32,232",35.52K,235.22M,-,15.19M,0.85,10.49,-,-,-,15.48,-,-,-,-3.14%,-5.16%,-2.46%,37.69,-,-,-,-,-,-,17.98M,-,-,0.44,-,-11.32%,7.04%,13.13,1.25,28.30%,-,-,-,26.26%,-,1.24,9.48%,-,-
2018-10-19,20:53:02 ,12.97,-0.84%,"9,695",34.88K,233.24M,-,15.19M,0.85,10.40,-,-,-,15.35,-,-,-,-3.64%,-5.86%,-3.24%,35.62,-,-,-,-,-,-,17.98M,-,-,0.45,-,-12.07%,6.14%,13.08,1.25,28.30%,-,-,-,26.26%,-,1.24,9.56%,-,-
2018-10-22,18:06:02 ,13.00,0.23%,"11,125",33.73K,233.78M,-,15.19M,0.85,10.43,-,-,-,15.39,-,-,-,-3.09%,-5.51%,-2.97%,36.82,-,-,-,-,-,-,17.98M,-,-,0.47,-,-11.86%,6.38%,12.97,1.25,28.30%,-,-,-,26.26%,-,1.24,9.54%,-,-
2018-10-23,18:06:42 ,12.70,-2.31%,"24,678",33.49K,228.39M,-,15.19M,0.83,10.18,-,-,-,15.03,-,-,-,-5.03%,-7.59%,-5.17%,31.02,-,-,-,-,-,-,17.98M,-,-,0.47,-,-13.90%,3.93%,13.00,1.25,28.30%,-,-,-,26.26%,-,1.24,9.76%,-,-
2018-10-24,18:06:30 ,12.68,-0.16%,"36,714",33.26K,228.03M,-,15.19M,0.83,10.17,-,-,-,15.01,-,-,-,-4.75%,-7.59%,-5.27%,30.27,-,-,-,-,-,-,17.98M,-,-,0.47,-,-14.03%,3.76%,12.70,1.25,28.30%,-,-,-,26.26%,-,1.24,9.78%,-,-
2018-10-25,18:06:25 ,12.55,-1.03%,"18,512",33.21K,225.69M,-,15.19M,0.82,10.06,-,-,-,14.85,-,-,-,-5.34%,-8.39%,-6.19%,27.95,-,-,-,-,-,-,17.98M,-,-,0.48,-,-14.92%,2.70%,12.68,1.25,28.30%,-,-,-,26.26%,-,1.24,9.88%,-,-
2018-10-26,18:05:05 ,12.09,-3.67%,"33,830",32.70K,217.42M,-,15.19M,0.79,9.70,-,-,-,14.31,-,-,-,-8.41%,-11.61%,-9.58%,21.97,-,-,-,-,-,-,17.98M,-,-,0.48,-,-18.03%,-1.06%,12.55,1.25,28.30%,-,-,-,26.26%,-,1.24,10.26%,-,-
2018-10-29,18:05:12 ,11.82,-2.23%,"24,639",32.94K,212.56M,-,15.19M,0.77,9.48,-,-,-,13.99,-,-,-,-9.92%,-13.35%,-11.52%,19.50,-,-,-,-,-,-,17.98M,-,-,0.40,-,-19.86%,-2.15%,12.09,1.25,28.30%,-,-,-,26.26%,-,1.24,10.49%,-,-
