date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:46:52 ,87.12,2.21%,"75,042",73.42K,1.94B,109.50M,1.98B,2.64,18.58,16.18,4.22,7.55,0.98,1.90,2.60,0.38,0.69%,-0.50%,7.84%,53.43,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,22.25M,20.35M,1.28%,3.54,90.00,-4.22%,27.95%,85.24,4.69,5.00%,18.50%,3.00%,-1.10%,71.20%,0.01%,0.90,1.03%,2096,3.00
2018-10-17,20:39:19 ,86.74,-0.44%,"57,508",73.42K,1.93B,109.50M,1.98B,2.63,18.50,16.11,4.21,7.52,0.97,1.90,2.60,0.38,0.35%,-0.89%,7.31%,51.16,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,22.25M,20.35M,1.28%,3.54,90.00,-4.64%,27.39%,87.12,4.69,5.00%,18.50%,3.00%,-1.10%,71.20%,0.01%,0.90,1.04%,2096,3.00
2018-10-18,21:18:10 ,84.98,-2.03%,"67,540",73.44K,1.89B,109.50M,1.98B,2.57,18.13,15.79,4.12,7.37,0.95,1.90,2.60,0.38,-1.57%,-2.86%,5.09%,42.52,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,22.25M,20.35M,1.28%,3.54,90.00,-6.57%,24.81%,86.74,4.69,5.00%,18.50%,3.00%,-1.10%,71.20%,0.01%,0.90,1.06%,2096,3.00
2018-10-19,21:26:06 ,82.64,-2.75%,"69,208",73.75K,1.84B,109.50M,1.98B,2.50,17.63,15.35,4.01,7.16,0.93,1.90,2.60,0.38,-4.00%,-5.46%,2.16%,35.23,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,22.25M,20.35M,1.28%,3.52,90.00,-9.15%,21.37%,84.98,4.69,5.00%,18.50%,3.00%,-1.10%,71.20%,0.01%,0.90,1.09%,2096,3.00
2018-10-22,18:39:46 ,83.35,0.86%,"37,091",73.72K,1.93B,109.50M,1.98B,2.52,17.78,15.79,4.04,7.52,0.97,1.90,2.60,0.38,-2.78%,-4.53%,3.01%,39.45,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,23.16M,20.35M,1.28%,3.53,90.00,-8.37%,22.41%,82.64,4.69,5.00%,18.50%,3.00%,-1.06%,71.20%,0.13%,0.90,1.08%,2096,3.00
2018-10-23,18:40:31 ,82.35,-1.20%,"48,310",73.58K,1.91B,109.50M,1.98B,2.49,17.57,15.60,3.99,7.43,0.96,1.90,2.60,0.38,-3.65%,-5.59%,1.75%,35.60,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,23.16M,20.35M,1.28%,3.53,90.00,-9.47%,20.94%,83.35,4.69,5.00%,18.50%,3.00%,-1.06%,71.20%,0.13%,0.90,1.09%,2096,3.00
2018-10-24,18:40:31 ,84.15,2.19%,"104,435",72.47K,1.95B,109.50M,1.98B,2.55,17.95,15.94,4.08,7.59,0.98,1.90,2.60,0.38,-1.22%,-3.44%,3.95%,43.96,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,23.16M,20.35M,1.28%,3.59,90.00,-7.49%,23.59%,82.35,4.69,5.00%,18.50%,3.00%,-1.06%,71.20%,0.13%,0.90,1.07%,2096,3.00
2018-10-26,18:38:46 ,84.07,-0.85%,"67,794",70.84K,1.95B,109.50M,1.98B,2.54,17.93,15.92,4.08,7.58,0.98,1.90,2.60,0.38,-0.99%,-3.43%,3.77%,44.01,6.50%,12.70%,11.00%,16.90%,7.30%,4.80%,23.16M,20.35M,1.28%,3.67,90.00,-7.57%,23.47%,84.79,4.69,5.00%,18.50%,3.00%,-1.06%,71.20%,0.13%,0.90,1.07%,2096,3.00
2018-10-29,18:38:51 ,83.15,-1.09%,"49,952",70.36K,1.89B,109.80M,2.00B,2.52,17.68,15.73,4.02,7.36,0.94,1.90,2.60,0.38,-1.91%,-4.42%,2.61%,41.28,6.20%,12.00%,11.00%,17.20%,7.00%,4.50%,22.72M,20.35M,1.48%,4.29,90.00,-8.59%,22.12%,84.07,4.70,5.00%,18.50%,2.80%,-1.16%,71.20%,0.12%,1.00,1.20%,2096,2.70
2018-10-30,18:39:44 ,84.65,1.80%,"42,846",69.83K,1.92B,109.80M,2.00B,2.56,18.00,16.01,4.09,7.49,0.96,1.90,2.60,0.38,0.04%,-2.58%,4.43%,47.53,6.20%,12.00%,11.00%,17.20%,7.00%,4.50%,22.72M,20.35M,1.48%,4.33,90.00,-6.94%,24.32%,83.15,4.70,5.00%,18.50%,2.80%,-1.16%,71.20%,0.12%,1.00,1.18%,2096,2.70
