date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:48:34 ,30.46,-5.55%,93,0.33K,57.40M,-,1.38B,0.74,-,-,-,-,0.04,-,-,-,3.20%,-2.98%,-14.02%,48.51,-,-,-,-,-,-,1.88M,-,-,1.83,-,-15.27%,12.81%,32.25,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-17,22:43:47 ,30.46,0.00%,0,0.33K,57.40M,-,1.38B,0.74,-,-,-,-,0.04,-,-,-,3.20%,-2.98%,-14.02%,48.51,-,-,-,-,-,-,1.88M,-,-,1.83,-,-15.27%,12.81%,30.46,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-18,23:19:20 ,30.46,0.00%,0,0.33K,57.40M,-,1.38B,0.74,-,-,-,-,0.04,-,-,-,3.20%,-2.98%,-14.02%,48.51,-,-,-,-,-,-,1.88M,-,-,1.83,-,-15.27%,12.81%,30.46,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-19,23:26:05 ,30.46,0.00%,0,0.33K,57.40M,-,1.38B,0.74,-,-,-,-,0.04,-,-,-,3.20%,-2.98%,-14.02%,48.51,-,-,-,-,-,-,1.88M,-,-,1.83,-,-15.27%,12.81%,30.46,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-29,20:40:13 ,32.94,2.13%,58,0.34K,62.06M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,11.90%,4.78%,-7.05%,59.19,-,-,-,-,-,-,1.88M,-,-,0.93,-,-8.39%,21.98%,32.25,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-30,20:42:02 ,32.55,-1.17%,37,0.35K,61.34M,-,1.38B,0.79,-,-,-,-,0.04,-,-,-,9.82%,3.51%,-8.15%,58.98,-,-,-,-,-,-,1.88M,-,-,0.92,-,-8.82%,20.56%,32.94,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-10-31,20:40:24 ,31.75,-2.46%,21,0.34K,59.83M,-,1.38B,0.77,-,-,-,-,0.04,-,-,-,6.20%,1.10%,-10.41%,53.90,-,-,-,-,-,-,1.88M,-,-,0.94,-,-11.06%,17.59%,32.55,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-01,20:42:57 ,31.75,0.00%,0,0.31K,59.83M,-,1.38B,0.77,-,-,-,-,0.04,-,-,-,5.88%,1.28%,-10.41%,53.90,-,-,-,-,-,-,1.88M,-,-,1.02,-,-11.06%,17.59%,31.75,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-03,02:11:24 ,31.75,0.00%,0,0.31K,59.83M,-,1.38B,0.77,-,-,-,-,0.04,-,-,-,5.88%,1.28%,-10.41%,53.90,-,-,-,-,-,-,1.88M,-,-,1.02,-,-11.06%,17.59%,31.75,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-05,19:44:22 ,32.74,3.12%,188,0.31K,61.69M,-,1.38B,0.79,-,-,-,-,0.04,-,-,-,9.18%,4.44%,-7.62%,57.90,-,-,-,-,-,-,1.88M,-,-,1.02,-,-8.29%,21.26%,31.75,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-06,19:42:10 ,34.00,3.85%,390,0.24K,64.07M,-,1.38B,0.83,-,-,-,-,0.05,-,-,-,12.40%,8.44%,-4.07%,61.84,-,-,-,-,-,-,1.88M,-,-,1.30,-,-4.76%,25.93%,32.74,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-07,19:51:28 ,34.82,2.41%,40,0.34K,65.61M,-,1.38B,0.84,-,-,-,-,0.05,-,-,-,17.26%,10.66%,-1.76%,66.94,-,-,-,-,-,-,1.88M,-,-,0.95,-,-2.46%,28.96%,34.00,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-08,20:02:40 ,33.06,-5.04%,59,0.31K,62.31M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,9.99%,5.06%,-6.75%,57.36,-,-,-,-,-,-,1.88M,-,-,1.04,-,-7.38%,22.46%,34.82,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-09,20:18:30 ,33.06,0.00%,0,0.28K,62.31M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,9.42%,5.16%,-6.76%,57.36,-,-,-,-,-,-,1.88M,-,-,1.12,-,-7.38%,22.46%,33.06,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-12,22:22:01 ,33.06,0.00%,0,0.28K,62.31M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,9.42%,5.16%,-6.76%,57.36,-,-,-,-,-,-,1.88M,-,-,1.10,-,-7.38%,22.46%,33.06,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-13,19:53:47 ,33.06,0.00%,0,0.28K,62.31M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,9.42%,5.16%,-6.76%,57.36,-,-,-,-,-,-,1.88M,-,-,1.10,-,-7.38%,22.46%,33.06,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-14,19:42:34 ,33.06,0.00%,0,0.28K,62.31M,-,1.38B,0.80,-,-,-,-,0.05,-,-,-,9.42%,5.16%,-6.76%,57.36,-,-,-,-,-,-,1.88M,-,-,1.10,-,-7.38%,22.46%,33.06,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-15,19:39:30 ,35.37,6.97%,"2,418",0.28K,66.65M,-,1.38B,0.86,-,-,-,-,0.05,-,-,-,17.05%,12.50%,-0.26%,63.99,-,-,-,-,-,-,1.88M,-,-,1.10,-,-0.92%,31.00%,33.06,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-16,19:39:53 ,35.37,0.00%,0,0.54K,66.65M,-,1.38B,0.86,-,-,-,-,0.05,-,-,-,17.55%,12.35%,-0.25%,68.37,-,-,-,-,-,-,1.88M,-,-,0.57,-,-0.92%,31.00%,35.37,-2.22,22.40%,-,72.97%,-,14.81%,-,-,-,3800,-
2018-11-19,19:39:04 ,35.37,0.00%,0,0.54K,66.65M,-,1.31B,0.86,-,-,-,-,0.05,-,-,-,17.55%,12.35%,-0.25%,68.37,-,-,-,-,-,-,1.88M,-,-,0.57,-,-0.92%,31.00%,35.37,-2.22,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-20,19:40:54 ,34.24,-3.20%,118,0.54K,64.51M,-,1.31B,0.83,-,-,-,-,0.05,-,-,-,13.79%,8.76%,-3.44%,61.81,-,-,-,-,-,-,1.88M,-,-,0.57,-,-4.09%,26.81%,35.37,-2.22,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-21,19:39:51 ,33.00,-3.62%,83,0.51K,62.18M,-,1.31B,0.80,-,-,-,-,0.05,-,-,-,8.89%,4.84%,-6.97%,55.93,-,-,-,-,-,-,1.88M,-,-,0.62,-,-6.70%,22.22%,34.24,-2.22,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-23,19:39:06 ,33.00,0.00%,0,0.47K,62.18M,-,1.31B,0.80,-,-,-,-,0.05,-,-,-,7.91%,4.81%,-6.98%,55.93,-,-,-,-,-,-,1.88M,-,-,0.66,-,-6.70%,22.22%,33.00,-2.22,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-26,19:49:21 ,33.00,0.00%,0,0.47K,62.18M,-,1.31B,0.78,-,-,-,-,0.05,-,-,-,7.91%,4.81%,-6.98%,55.93,-,-,-,-,-,-,1.88M,-,-,0.66,-,-6.70%,22.22%,33.00,-1.18,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-27,19:38:41 ,34.44,4.37%,8,0.47K,64.90M,-,1.31B,0.82,-,-,-,-,0.05,-,-,-,12.63%,9.39%,-2.91%,60.00,-,-,-,-,-,-,1.88M,-,-,0.66,-,-2.62%,27.57%,33.00,-1.18,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-28,19:37:19 ,34.57,0.38%,1,0.40K,65.15M,-,1.31B,0.82,-,-,-,-,0.05,-,-,-,11.89%,9.91%,-2.55%,60.81,-,-,-,-,-,-,1.88M,-,-,0.78,-,-2.25%,28.05%,34.44,-1.18,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-29,19:39:02 ,34.57,0.00%,0,0.38K,65.15M,-,1.31B,0.82,-,-,-,-,0.05,-,-,-,10.73%,9.96%,-2.59%,60.81,-,-,-,-,-,-,1.88M,-,-,0.81,-,-2.25%,28.05%,34.57,-1.18,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-11-30,19:39:13 ,33.07,-4.35%,255,0.38K,62.31M,-,1.31B,0.78,-,-,-,-,0.05,-,-,-,5.91%,5.18%,-6.83%,54.16,-,-,-,-,-,-,1.88M,-,-,0.81,-,-6.51%,22.48%,34.57,-1.18,-2.10%,-,72.97%,-,14.82%,-,-,-,3800,-
2018-12-03,19:52:12 ,33.07,0.00%,0,0.50K,62.31M,-,1.31B,0.78,-,-,-,-,0.05,-,-,-,8.13%,5.03%,-6.78%,56.22,-,-,-,-,-,-,1.88M,-,-,0.62,-,-6.51%,22.48%,33.07,-1.18,-2.10%,-,72.97%,-,14.77%,-,-,-,3800,-
2018-12-04,19:40:37 ,33.07,0.00%,0,0.50K,62.31M,-,1.31B,0.78,-,-,-,-,0.05,-,-,-,8.13%,5.03%,-6.78%,56.22,-,-,-,-,-,-,1.88M,-,-,0.62,-,-6.51%,22.48%,33.07,-1.18,-2.10%,-,72.97%,-,14.77%,-,-,-,3800,-
2018-12-06,19:39:24 ,32.78,-0.88%,52,0.50K,61.76M,-,1.31B,0.78,-,-,-,-,0.05,-,-,-,7.18%,4.10%,-7.60%,54.43,-,-,-,-,-,-,1.88M,-,-,0.62,-,-7.33%,21.41%,33.07,-1.18,-2.10%,-,72.97%,-,14.77%,-,-,-,3800,-
2018-12-07,19:39:11 ,34.82,6.22%,412,0.48K,65.61M,-,1.31B,0.83,-,-,-,-,0.05,-,-,-,12.98%,10.81%,-1.84%,61.49,-,-,-,-,-,-,1.88M,-,-,0.65,-,-1.56%,28.96%,32.78,-1.18,-2.10%,-,72.97%,-,14.77%,-,-,-,3800,-
2018-12-10,19:39:15 ,34.82,0.00%,0,0.52K,65.61M,-,1.31B,0.83,-,-,-,-,0.05,-,-,-,12.60%,10.66%,-1.87%,61.14,-,-,-,-,-,-,1.88M,-,-,0.59,-,-1.56%,28.96%,34.82,-1.18,-2.10%,-,72.97%,-,14.77%,-,-,-,3800,-
