date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:49:07 ,35.87,0.62%,"168,729",126.12K,1.96B,115.60M,292.10M,2.91,16.81,12.95,-,11.77,6.71,-,-,0.10,-7.29%,-12.65%,-14.76%,24.37,1.60%,18.10%,24.30%,-,76.90%,38.50%,54.66M,46.20M,8.05%,29.49,43.67,-20.20%,3.64%,35.65,2.13,23.50%,38.60%,6.00%,-6.09%,46.20%,0.04%,0.44,1.23%,434,3.00
2018-10-17,22:44:22 ,35.76,-0.31%,"325,179",126.12K,1.95B,115.60M,292.10M,2.90,16.76,12.91,-,11.73,6.69,-,-,0.10,-6.97%,-12.65%,-14.96%,24.22,1.60%,18.10%,24.30%,-,76.90%,38.50%,54.66M,46.20M,8.05%,29.49,43.67,-20.44%,3.32%,35.87,2.13,23.50%,38.60%,6.00%,-6.09%,46.20%,0.04%,0.44,1.23%,434,3.00
2018-10-18,23:19:52 ,36.65,2.49%,"391,980",130.03K,2.00B,115.60M,292.10M,2.97,17.17,13.23,-,12.02,6.86,-,-,0.10,-4.03%,-10.19%,-12.79%,33.69,1.60%,18.10%,24.30%,-,76.90%,38.50%,54.66M,46.20M,8.05%,28.60,43.67,-18.46%,5.89%,35.76,2.13,23.50%,38.60%,6.00%,-6.09%,46.20%,0.04%,0.44,1.20%,434,3.00
2018-10-19,23:26:37 ,36.53,-0.33%,"240,237",134.88K,2.00B,115.60M,292.10M,2.97,17.12,13.19,-,11.99,6.84,-,-,0.10,-3.81%,-10.23%,-13.03%,32.99,1.60%,18.10%,24.30%,-,76.90%,38.50%,54.66M,46.20M,8.05%,27.57,43.67,-18.73%,5.55%,36.65,2.13,23.50%,38.60%,6.00%,-6.09%,46.20%,0.04%,0.44,1.20%,434,3.00
2018-10-22,20:50:40 ,35.31,-3.34%,"144,317",133.24K,1.88B,124.90M,308.50M,2.87,15.31,12.64,-,11.31,6.11,-,-,0.10,-6.51%,-12.98%,-15.89%,27.26,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.34M,46.12M,8.07%,27.91,40.33,-21.45%,2.02%,36.53,2.31,23.50%,38.60%,9.50%,-4.03%,46.20%,0.02%,0.44,1.25%,434,3.00
2018-10-23,20:51:56 ,35.38,0.20%,"213,663",131.53K,1.89B,124.90M,308.50M,2.87,15.34,12.67,-,11.33,6.12,-,-,0.10,-5.73%,-12.50%,-15.66%,28.21,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.34M,46.12M,8.07%,28.28,40.33,-21.29%,2.22%,35.31,2.31,23.50%,38.60%,9.50%,-4.03%,46.20%,0.02%,0.44,1.24%,434,3.00
2018-10-24,20:50:03 ,34.23,-3.25%,"233,687",132.55K,1.83B,124.90M,308.50M,2.78,14.84,12.26,-,10.96,5.92,-,-,0.10,-8.28%,-15.06%,-18.34%,23.48,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.34M,46.12M,8.07%,28.06,40.33,-23.85%,-1.10%,35.38,2.31,23.50%,38.60%,9.50%,-3.89%,46.20%,0.02%,0.44,1.29%,434,3.00
2018-10-25,20:51:09 ,35.74,4.41%,"161,108",134.33K,1.91B,124.90M,308.50M,2.90,15.49,12.80,-,11.44,6.18,-,-,0.10,-3.61%,-10.93%,-14.66%,37.72,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.34M,46.12M,8.07%,27.69,40.33,-20.49%,4.66%,34.23,2.31,23.50%,38.60%,9.50%,-3.89%,46.20%,0.02%,0.44,1.23%,434,3.00
2018-10-26,20:51:22 ,35.84,0.28%,"189,051",135.66K,1.91B,124.90M,308.50M,2.91,15.54,12.83,-,11.47,6.20,-,-,0.10,-2.91%,-10.39%,-14.36%,38.48,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.34M,46.12M,8.07%,27.42,40.33,-20.27%,4.95%,35.74,2.31,23.50%,38.60%,9.50%,-3.89%,46.20%,0.02%,0.44,1.23%,434,3.00
2018-10-29,20:40:46 ,36.80,2.68%,"220,563",136.84K,1.95B,124.90M,308.50M,2.99,15.95,13.18,-,11.72,6.33,-,-,0.10,0.14%,-7.65%,-12.00%,45.50,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.05M,46.16M,7.26%,24.50,39.67,-18.13%,7.76%,35.84,2.31,23.50%,38.60%,8.90%,-4.16%,46.30%,0.36%,0.44,1.20%,434,2.80
2018-10-30,20:42:34 ,36.79,-0.03%,"232,811",138.38K,1.95B,124.90M,308.50M,2.99,15.95,13.17,-,11.71,6.33,-,-,0.10,0.30%,-7.36%,-11.98%,45.38,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.05M,46.16M,7.26%,24.23,39.67,-18.15%,7.73%,36.80,2.31,23.50%,38.60%,8.90%,-4.16%,46.30%,0.36%,0.44,1.20%,434,2.80
2018-10-31,20:40:58 ,35.98,-2.20%,"190,910",140.73K,1.91B,124.90M,308.50M,2.92,15.60,12.88,-,11.46,6.19,-,-,0.10,-1.77%,-9.11%,-13.87%,40.51,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.05M,46.16M,7.26%,23.82,39.67,-19.96%,5.36%,36.79,2.31,23.50%,38.60%,8.90%,-4.16%,46.30%,0.36%,0.44,1.22%,434,2.80
2018-11-01,20:43:29 ,36.51,1.47%,"136,404",141.53K,1.94B,124.90M,308.50M,2.96,15.83,13.07,-,11.63,6.28,-,-,0.10,0.09%,-7.40%,-12.53%,44.39,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.05M,46.16M,7.26%,23.69,39.67,-18.78%,6.91%,35.98,2.31,23.50%,38.60%,8.90%,-4.16%,46.30%,0.36%,0.44,1.21%,434,2.80
2018-11-03,02:11:57 ,36.82,0.85%,"123,223",142.22K,1.95B,124.90M,308.50M,2.99,15.96,13.18,-,11.72,6.33,-,-,0.10,1.22%,-6.27%,-11.74%,46.93,1.50%,16.60%,24.30%,-,69.80%,33.40%,53.05M,46.16M,7.26%,23.57,39.67,-18.09%,7.82%,36.51,2.31,23.50%,38.60%,8.90%,-3.67%,46.30%,0.36%,0.44,1.20%,434,2.80
2018-11-05,19:44:55 ,36.75,-0.19%,"161,751",143.09K,1.94B,124.90M,308.50M,2.87,15.94,13.16,-,5.30,6.29,-,-,0.10,1.20%,-6.13%,-11.85%,46.10,1.70%,18.90%,24.30%,-,75.00%,39.50%,52.84M,46.16M,7.26%,23.43,39.67,-18.24%,7.61%,36.82,2.31,24.40%,36.60%,8.90%,-3.68%,46.30%,0.31%,0.44,1.20%,434,2.80
