date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:49:46 ,63.67,4.12%,"442,345",731.68K,2.12B,23.60M,1.43B,3.89,150.52,20.39,4.30,10.55,1.48,1.70,1.70,2.15,-2.89%,-10.77%,-19.01%,41.87,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.23M,32.99M,13.83%,6.24,99.00,-36.55%,60.16%,61.15,0.42,112.20%,-17.30%,0.60%,-50.62%,-,0.10%,-,-,1934,2.60
2018-10-17,22:45:06 ,63.37,-0.47%,"499,173",731.68K,2.11B,23.60M,1.43B,3.87,149.81,20.30,4.28,10.50,1.47,1.70,1.70,2.15,-2.69%,-10.69%,-19.46%,40.98,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.23M,32.99M,13.83%,6.24,99.00,-36.84%,59.40%,63.67,0.42,112.20%,-17.30%,0.60%,-51.07%,-,0.10%,-,-,1934,2.60
2018-10-18,23:20:32 ,61.64,-2.73%,"400,368",732.48K,2.05B,23.60M,1.43B,3.76,145.72,19.74,4.16,10.21,1.43,1.70,1.70,2.15,-4.85%,-12.63%,-21.73%,36.62,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.23M,32.99M,13.83%,6.23,99.00,-38.57%,55.05%,63.37,0.42,112.20%,-17.30%,0.60%,-51.07%,-,0.10%,-,-,1934,2.60
2018-10-19,23:27:17 ,61.38,-0.42%,"407,639",730.19K,2.04B,23.60M,1.43B,3.75,145.11,19.66,4.15,10.17,1.42,1.70,1.70,2.15,-4.58%,-12.57%,-22.12%,35.50,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.23M,32.99M,13.83%,6.25,99.00,-38.83%,54.40%,61.64,0.42,112.20%,-17.30%,0.60%,-51.07%,-,0.10%,-,-,1934,2.60
2018-10-22,20:51:24 ,61.57,0.31%,"382,907",728.19K,2.07B,23.60M,1.43B,3.76,145.56,19.95,4.16,10.31,1.44,1.70,1.70,2.15,-3.74%,-11.89%,-21.94%,35.51,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.58M,32.99M,13.83%,6.27,96.25,-38.64%,54.87%,61.38,0.42,112.20%,-17.30%,0.60%,-51.55%,-,0.11%,-,-,1934,2.60
2018-10-23,20:52:39 ,61.81,0.39%,"445,898",728.67K,2.08B,23.60M,1.43B,3.77,146.12,20.03,4.17,10.35,1.45,1.70,1.70,2.15,-2.80%,-11.20%,-21.69%,37.07,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.58M,32.99M,13.83%,6.26,96.25,-38.40%,55.48%,61.57,0.42,112.20%,-17.30%,0.60%,-51.55%,-,0.11%,-,-,1934,2.60
2018-10-24,20:50:47 ,59.37,-3.95%,"548,252",726.37K,1.99B,23.60M,1.43B,3.62,140.35,19.24,4.01,9.94,1.39,1.70,1.70,2.15,-6.05%,-14.42%,-24.84%,30.35,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.58M,32.99M,13.83%,6.28,96.25,-40.83%,49.34%,61.81,0.42,112.20%,-17.30%,0.60%,-51.55%,-,0.11%,-,-,1934,2.60
2018-10-25,20:51:55 ,61.78,4.06%,"425,038",724.44K,2.07B,23.60M,1.43B,3.77,146.05,20.02,4.17,10.34,1.45,1.70,1.70,2.15,-1.47%,-10.54%,-21.82%,40.82,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.58M,32.99M,13.83%,6.30,96.25,-38.43%,55.40%,59.37,0.42,112.20%,-17.30%,0.60%,-51.55%,-,0.11%,-,-,1934,2.60
2018-10-26,20:52:05 ,58.92,-4.63%,"732,882",720.50K,1.98B,23.60M,1.43B,3.60,139.29,19.09,3.98,9.86,1.38,1.70,1.70,2.15,-5.54%,-14.41%,-25.49%,34.00,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,33.58M,32.99M,13.83%,6.33,96.25,-41.28%,48.21%,61.78,0.42,112.20%,-17.30%,0.60%,-51.55%,-,0.11%,-,-,1934,2.60
2018-10-29,20:41:26 ,59.11,0.32%,"599,317",725.46K,2.07B,23.60M,1.43B,3.61,139.74,20.60,3.99,10.33,1.45,1.70,1.70,2.15,-4.70%,-13.76%,-25.28%,34.70,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,35.07M,32.99M,15.45%,7.02,98.33,-41.09%,48.69%,58.92,0.42,112.20%,-17.30%,0.60%,-50.47%,-,1.30%,-,-,1934,2.50
2018-10-30,20:43:14 ,60.54,2.42%,"1,430,873",725.31K,2.12B,23.60M,1.43B,3.70,143.12,21.09,4.09,10.58,1.48,1.70,1.70,2.15,-1.88%,-11.29%,-23.50%,39.47,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,35.07M,32.99M,15.45%,7.03,98.33,-39.67%,52.28%,59.11,0.42,112.20%,-17.30%,0.60%,-52.42%,-,1.30%,-,-,1934,2.50
2018-10-31,20:41:38 ,50.00,-17.41%,"5,470,472",734.52K,1.75B,23.60M,1.43B,3.05,118.20,17.42,3.38,8.74,1.22,1.70,1.70,2.15,-18.74%,-26.44%,-36.85%,23.64,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,35.07M,32.99M,15.45%,6.94,98.33,-50.17%,25.77%,60.54,0.42,112.20%,-17.30%,0.60%,-52.42%,-,1.30%,-,-,1934,2.50
2018-11-01,20:44:08 ,53.02,6.04%,"1,382,368",810.65K,1.86B,23.60M,1.43B,3.24,125.34,18.47,3.58,9.27,1.30,1.70,1.70,2.15,-12.78%,-21.46%,-33.03%,32.53,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,35.07M,32.99M,15.45%,6.29,98.33,-47.16%,33.37%,50.00,0.42,112.20%,-17.30%,0.60%,-52.42%,-,1.30%,-,-,1934,2.50
2018-11-03,02:12:37 ,54.09,2.02%,"627,714",822.81K,1.90B,23.60M,1.43B,3.30,127.87,18.85,3.65,9.46,1.32,1.70,1.70,2.15,-10.26%,-19.36%,-31.69%,35.51,2.20%,6.20%,3.80%,48.00%,6.00%,2.30%,35.07M,32.99M,15.45%,6.19,98.33,-46.09%,36.06%,53.02,0.42,112.20%,-17.30%,0.60%,-52.42%,-,1.30%,-,-,1934,2.50
2018-11-05,19:45:36 ,54.67,1.07%,"826,169",822.76K,1.82B,-24.40M,1.61B,3.34,-,20.53,-,9.06,1.13,1.70,1.70,2.15,-8.62%,-17.96%,-30.96%,36.89,2.40%,6.90%,3.80%,47.80%,4.80%,2.20%,33.23M,32.88M,15.50%,6.19,86.67,-45.52%,37.52%,54.09,-1.00,112.20%,-17.30%,0.60%,-53.76%,-,1.62%,-,-,1934,2.50
