date,title,source
Oct-17-18,Smart & Final's 200th Extra! Store Opens in Long Beach,PR Newswire
Oct-31-18,"Smart & Final Stores, Inc., To Announce Third Quarter 2018 Financial Results On Wednesday, November 14th",PR Newswire
Nov-07-18,Smart & Final Stores (SFS) Reports Next Week: What You Should Expect,Zacks
Nov-14-18,"Smart & Final Stores, Inc. Reports Third Quarter 2018 Financial Results",PR Newswire
Nov-14-18,How Does Investing In Smart & Final Stores Inc (NYSE:SFS) Impact The Volatility Of Your Portfolio?,Simply Wall St.
Nov-15-18,"Why Arena Pharmaceuticals, Smart & Final Stores, and Tilray Jumped Today",Motley Fool
Nov-15-18,Why Smart & Final Stores Inc. Stock Popped on Thursday,Motley Fool
Nov-15-18,Edited Transcript of SFS earnings conference call or presentation 14-Nov-18 10:00pm GMT,Thomson Reuters StreetEvents
Nov-15-18,Smart & Final Stores (SFS) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-16-18,Edited Transcript of SFS earnings conference call or presentation 14-Nov-18 10:00pm GMT,Thomson Reuters StreetEvents
Nov-23-18,2 New Small Cap ETFs on the Block,Zacks
Nov-27-18,"Smart & Final Stores, Inc. To Participate In The Barclays Eat, Sleep, Play Conference",PR Newswire
Nov-27-18,"Smart & Final Hits Charitable Milestone, Raises More Than $2 Million for Local Communities and Non-Profit Organizations",PR Newswire
Dec-26-18,These 5 Food Stocks Are Set to Beat the Market in 2019,Zacks
Jan-02-19,"Is Smart & Final Stores, Inc.s (NYSE:SFS) CEO Salary Justified?",Simply Wall St.
Jan-08-19,Are Investors Undervaluing Smart & Final Stores (SFS) Right Now?,Zacks
Jan-09-19,BRF S.A. (BRFS) in Focus: Stock Moves 7.8% Higher,Zacks
Jan-10-19,Smucker Does Not Look Enticing But These 3 Food Stocks Do,Zacks
