date,title,source
Oct-25-18,Superior Uniform (SGC) Q3 Earnings and Revenues Surpass Estimates,Zacks
Oct-25-18,Superior Uniform: 3Q Earnings Snapshot,Associated Press
Oct-25-18,"Superior Group of Companies, Inc. Reports Third Quarter Operating Results",GlobeNewswire
Oct-29-18,Edited Transcript of SGC earnings conference call or presentation 25-Oct-18 6:00pm GMT,Thomson Reuters StreetEvents
Nov-05-18,Why Superior Group of Companies Incs (NASDAQ:SGC) CEO Salary Matters To You,Simply Wall St.
Nov-05-18,Superior Group of Companies Announces Promotion of Jennifer Daniel to Vice President of Strategic Planning,GlobeNewswire
Nov-05-18,Superior Group of Companies Declares Regular Quarterly Cash Dividend,GlobeNewswire
Nov-06-18,Superior Group of Companies to Present at the Southwest IDEAS Investor Conference,GlobeNewswire
Nov-07-18,Edited Transcript of SGC earnings conference call or presentation 25-Oct-18 6:00pm GMT,Thomson Reuters StreetEvents
Nov-08-18,Income Investors Should Know The Superior Group of Companies Inc (NASDAQ:SGC) Ex-Dividend Date,Simply Wall St.
Dec-04-18,Does Superior Group of Companies Incs (NASDAQ:SGC) P/E Ratio Signal A Buying Opportunity?,Simply Wall St.
Dec-12-18,IHOP opens online shop for pancakewear,American City Business Journals
Dec-27-18,Top Ranked Growth Stocks to Buy for December 27th,Zacks
Dec-28-18,Here's Why Investing in Cintas (CTAS) Right Now Makes Sense,Zacks
