date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:21:01 ,2.67,8.10%,"5,116,152",2.30M,3.58B,850.70M,5.44B,1.99,4.28,10.55,0.19,3.18,0.66,0.80,1.30,4.37,14.49%,18.51%,6.53%,66.52,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.34B,637.57M,0.54%,1.49,2.90,-24.36%,39.79%,2.47,0.62,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,5.99%,34554,2.30
2018-10-17,20:13:41 ,2.70,1.12%,"2,956,372",2.30M,3.62B,850.70M,5.44B,2.01,4.33,10.67,0.19,3.22,0.67,0.80,1.30,4.37,14.48%,19.67%,7.68%,67.05,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.34B,637.57M,0.54%,1.49,2.90,-23.51%,41.36%,2.67,0.62,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,5.93%,34554,2.30
2018-10-18,20:52:07 ,2.59,-4.07%,"1,835,297",2.31M,3.47B,850.70M,5.44B,1.93,4.15,10.24,0.19,3.09,0.64,0.80,1.30,4.37,8.50%,14.58%,3.28%,60.31,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.34B,637.57M,0.54%,1.49,2.90,-26.63%,35.60%,2.70,0.62,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.18%,34554,2.30
2018-10-19,21:00:35 ,2.58,-0.39%,"979,437",2.31M,3.46B,850.70M,5.44B,1.93,4.13,10.20,0.19,3.07,0.64,0.80,1.30,4.37,7.14%,14.04%,2.91%,59.15,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.34B,637.57M,0.54%,1.49,2.90,-26.91%,35.08%,2.59,0.62,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.20%,34554,2.30
2018-10-22,18:13:42 ,2.67,3.49%,"2,592,911",2.29M,3.79B,864.30M,5.52B,1.96,4.21,10.39,0.19,3.31,0.69,0.80,1.30,4.37,10.04%,17.87%,6.56%,63.60,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.42B,637.57M,0.54%,1.50,2.92,-24.36%,39.79%,2.58,0.63,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,5.99%,34554,2.30
2018-10-23,18:14:19 ,2.57,-3.75%,"1,982,743",2.28M,3.64B,864.30M,5.52B,1.89,4.05,10.00,0.18,3.19,0.66,0.80,1.30,4.37,4.68%,13.12%,2.62%,56.75,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.42B,637.57M,0.54%,1.50,2.92,-27.20%,34.55%,2.67,0.63,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.23%,34554,2.30
2018-10-24,18:14:14 ,2.41,-6.23%,"3,272,163",2.28M,3.42B,864.30M,5.52B,1.77,3.80,9.38,0.17,2.99,0.62,0.80,1.30,4.37,-2.53%,5.91%,-3.68%,48.10,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.42B,637.57M,0.54%,1.51,2.92,-31.73%,26.18%,2.57,0.63,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.64%,34554,2.30
2018-10-25,18:14:09 ,2.47,2.49%,"2,331,507",2.25M,3.50B,864.30M,5.52B,1.82,3.90,9.61,0.17,3.06,0.63,0.80,1.30,4.37,-0.38%,8.57%,-1.15%,51.73,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.42B,637.57M,0.54%,1.53,2.92,-30.03%,29.32%,2.41,0.63,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.48%,34554,2.30
2018-10-26,18:12:42 ,2.50,1.21%,"2,933,521",2.22M,3.54B,864.30M,5.52B,1.84,3.94,9.73,0.18,3.10,0.64,0.80,1.30,4.37,0.42%,9.68%,0.19%,52.70,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.42B,637.57M,0.54%,1.55,2.92,-29.18%,30.89%,2.47,0.63,31.90%,273.70%,54.50%,0.00%,2.90%,0.10%,0.16,6.40%,34554,2.30
2018-10-29,18:12:48 ,2.35,-6.00%,"6,411,922",2.25M,3.27B,868.20M,5.55B,1.72,3.69,9.07,0.17,2.85,0.59,0.80,1.30,4.37,-6.02%,2.88%,-5.66%,46.38,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.39B,637.57M,0.50%,1.41,2.97,-33.43%,23.04%,2.50,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,0.11%,0.16,6.81%,34554,2.30
2018-10-30,18:13:32 ,2.47,5.11%,"1,943,812",2.28M,3.44B,868.20M,5.55B,1.80,3.88,9.54,0.17,3.00,0.62,0.80,1.30,4.37,-1.36%,8.06%,-0.65%,51.75,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.39B,637.57M,0.50%,1.39,2.97,-30.03%,29.32%,2.35,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,0.11%,0.16,6.48%,34554,2.30
2018-10-31,18:13:17 ,2.52,2.02%,"2,134,728",2.27M,3.51B,868.20M,5.55B,1.84,3.96,9.73,0.18,3.06,0.63,0.80,1.30,4.37,0.52%,10.10%,1.51%,54.65,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.39B,637.57M,0.50%,1.39,2.97,-28.61%,31.94%,2.47,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,0.11%,0.16,6.35%,34554,2.30
2018-11-01,18:13:57 ,2.58,2.38%,"1,296,881",2.27M,3.59B,868.20M,5.55B,1.88,4.05,9.96,0.18,3.13,0.65,0.80,1.30,4.37,2.71%,12.44%,4.11%,57.35,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.39B,637.57M,0.50%,1.39,2.97,-26.91%,35.08%,2.52,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,0.11%,0.16,6.20%,34554,2.30
2018-11-02,23:36:53 ,2.65,2.71%,"1,612,677",2.26M,3.69B,868.20M,5.55B,1.93,4.16,10.23,0.19,3.21,0.67,0.80,1.30,4.37,5.14%,15.19%,7.07%,60.10,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.39B,637.57M,0.50%,1.40,2.97,-24.93%,38.74%,2.58,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,0.11%,0.16,6.04%,34554,2.30
2018-11-05,17:13:42 ,2.62,-1.13%,"1,223,106",2.24M,3.59B,869.30M,5.56B,1.91,4.11,10.12,0.18,3.12,0.65,0.80,1.30,4.37,3.43%,13.41%,6.00%,58.23,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.37B,637.57M,0.50%,1.41,2.96,-25.78%,37.17%,2.65,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,-0.42%,0.16,6.11%,34554,2.30
2018-11-06,17:11:54 ,2.55,-2.67%,"1,077,379",2.21M,3.49B,869.30M,5.56B,1.86,4.00,9.85,0.18,3.03,0.63,0.80,1.30,4.37,0.49%,10.01%,3.31%,54.31,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.37B,637.57M,0.50%,1.43,2.96,-27.76%,33.51%,2.62,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,-0.42%,0.16,6.27%,34554,2.30
2018-11-07,17:17:17 ,2.60,1.96%,"1,060,472",2.20M,3.56B,869.30M,5.56B,1.90,4.08,10.04,0.18,3.09,0.64,0.80,1.30,4.37,2.58%,11.90%,5.46%,57.50,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.37B,637.57M,0.50%,1.44,2.96,-26.35%,36.13%,2.55,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,-0.42%,0.16,6.15%,34554,2.30
2018-11-08,17:11:41 ,2.58,-0.77%,"3,337,756",2.18M,3.53B,869.30M,5.56B,1.88,4.05,9.96,0.18,3.07,0.64,0.80,1.30,4.37,1.45%,10.60%,4.81%,56.23,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.37B,637.57M,0.50%,1.45,2.96,-26.91%,35.08%,2.60,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,-0.42%,0.16,6.20%,34554,2.30
2018-11-09,17:59:40 ,2.58,0.00%,"2,922,104",2.18M,3.53B,869.30M,5.56B,1.88,4.05,9.96,0.18,3.07,0.64,0.80,1.30,4.37,1.08%,10.25%,4.98%,56.42,7.10%,46.50%,7.00%,27.10%,29.60%,15.60%,1.37B,637.57M,0.50%,1.45,2.96,-26.91%,35.08%,2.58,0.64,31.90%,273.70%,54.50%,0.00%,2.90%,-0.42%,0.16,6.20%,34554,2.30
2018-11-12,19:53:20 ,2.43,-5.81%,"1,188,246",2.19M,3.43B,987.00M,5.83B,1.69,3.37,9.53,0.15,3.31,0.59,0.70,1.20,4.03,-4.95%,3.37%,-0.96%,47.43,8.10%,52.20%,7.00%,28.40%,31.20%,16.90%,1.41B,345.81M,1.35%,2.13,2.93,-31.16%,27.23%,2.58,0.72,28.20%,214.40%,54.50%,0.00%,3.00%,3.10%,0.16,6.58%,34554,2.30
2018-11-13,17:12:40 ,2.39,-1.65%,"1,578,835",2.15M,3.38B,987.00M,5.83B,1.66,3.31,9.37,0.15,3.25,0.58,0.70,1.20,4.03,-6.44%,1.40%,-2.42%,45.47,8.10%,52.20%,7.00%,28.40%,31.20%,16.90%,1.41B,345.81M,1.35%,2.18,2.93,-32.29%,25.13%,2.43,0.72,28.20%,214.40%,54.50%,0.00%,3.00%,3.10%,0.16,6.69%,34554,2.30
2018-11-14,17:12:23 ,2.46,2.93%,"2,061,311",2.13M,3.47B,987.00M,5.83B,1.71,3.41,9.65,0.15,3.35,0.60,0.70,1.20,4.03,-3.17%,4.04%,0.64%,49.11,8.10%,52.20%,7.00%,28.40%,31.20%,16.90%,1.41B,345.81M,1.35%,2.19,2.93,-30.31%,28.80%,2.39,0.72,28.20%,214.40%,54.50%,0.00%,3.00%,3.10%,0.16,6.50%,34554,2.30
2018-11-15,17:12:12 ,2.57,4.47%,"2,136,704",2.13M,3.63B,987.00M,5.83B,1.78,3.56,10.08,0.16,3.50,0.62,0.70,1.20,4.03,1.64%,8.27%,5.34%,55.04,8.10%,52.20%,7.00%,28.40%,31.20%,16.90%,1.41B,345.81M,1.35%,2.19,2.93,-27.20%,34.55%,2.46,0.72,28.20%,214.40%,54.50%,0.00%,3.00%,3.10%,0.16,6.23%,34554,2.30
2018-11-16,17:12:17 ,2.54,-1.17%,"1,201,049",2.13M,3.59B,987.00M,5.83B,1.76,3.52,9.96,0.16,3.46,0.62,0.70,1.20,4.03,0.49%,6.52%,4.29%,53.25,8.10%,52.20%,7.00%,28.40%,31.20%,16.90%,1.41B,345.81M,1.35%,2.20,2.93,-28.05%,32.98%,2.57,0.72,28.20%,214.40%,54.50%,0.00%,3.00%,3.10%,0.16,6.30%,34554,2.30
