date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:43:39 ,72.36,0.58%,"639,171",461.73K,2.92B,63.80M,1.98B,10.83,48.83,30.01,1.78,170.73,1.48,1.20,2.70,2.18,-3.61%,-14.22%,-9.18%,39.21,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,40.35M,40.01M,12.77%,11.06,90.71,-24.22%,20.44%,71.94,1.48,13.00%,38.30%,1.20%,-43.08%,-,-1.02%,-,-,3800,2.30
2018-10-17,20:36:11 ,70.94,-1.96%,"666,155",461.73K,2.86B,63.80M,1.98B,10.62,47.87,29.42,1.74,167.38,1.45,1.20,2.70,2.18,-4.52%,-15.51%,-10.93%,36.34,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,40.35M,40.01M,12.77%,11.06,90.71,-25.71%,18.08%,72.36,1.48,13.00%,38.30%,1.20%,-44.48%,-,-1.02%,-,-,3800,2.30
2018-10-18,21:15:03 ,69.93,-1.42%,"646,070",467.29K,2.82B,63.80M,1.98B,10.47,47.19,29.00,1.72,165.00,1.43,1.20,2.70,2.18,-4.99%,-16.27%,-12.17%,34.10,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,40.35M,40.01M,12.77%,10.93,90.71,-26.77%,16.39%,70.94,1.48,13.00%,38.30%,1.20%,-43.34%,-,-1.02%,-,-,3800,2.30
2018-10-19,21:22:58 ,67.00,-4.19%,"494,622",472.11K,2.70B,63.80M,1.98B,10.03,45.21,27.79,1.65,158.08,1.37,1.20,2.70,2.18,-8.24%,-19.33%,-15.83%,29.35,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,40.35M,40.01M,12.77%,10.82,90.71,-29.84%,11.52%,69.93,1.48,13.00%,38.30%,1.20%,-43.48%,-,-1.02%,-,-,3800,2.30
2018-10-22,18:36:36 ,67.25,0.37%,"459,052",476.14K,2.84B,63.80M,1.98B,10.07,45.38,28.02,1.65,166.36,1.44,1.20,2.70,2.18,-6.99%,-18.52%,-15.49%,30.56,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,42.30M,40.01M,12.77%,10.73,86.88,-29.57%,11.93%,67.00,1.48,13.00%,38.30%,1.20%,-41.52%,-,-0.49%,-,-,3800,2.10
2018-10-23,18:37:18 ,68.05,1.19%,"502,409",479.28K,2.88B,63.80M,1.98B,10.19,45.92,28.35,1.67,168.33,1.46,1.20,2.70,2.18,-5.02%,-17.05%,-14.45%,33.38,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,42.30M,40.01M,12.77%,10.66,86.88,-28.74%,13.27%,67.25,1.48,13.00%,38.30%,1.20%,-41.52%,-,-0.49%,-,-,3800,2.10
2018-10-24,18:37:18 ,64.01,-5.94%,"498,762",480.75K,2.71B,63.80M,1.98B,9.58,43.19,26.67,1.57,158.34,1.37,1.20,2.70,2.18,-9.74%,-21.58%,-19.51%,27.29,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,42.30M,40.01M,12.77%,10.63,86.88,-32.97%,6.54%,68.05,1.48,13.00%,38.30%,1.20%,-41.52%,-,-0.49%,-,-,3800,2.10
2018-10-25,18:37:10 ,64.08,0.11%,"648,484",483.85K,2.71B,63.80M,1.98B,9.59,43.24,26.70,1.57,158.51,1.37,1.20,2.70,2.18,-8.65%,-21.00%,-19.38%,27.29,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,42.30M,40.01M,12.77%,10.56,86.88,-32.89%,6.66%,64.01,1.48,13.00%,38.30%,1.20%,-41.52%,-,-0.49%,-,-,3800,2.10
2018-10-26,18:35:35 ,62.31,-2.76%,"1,109,087",487.32K,2.64B,63.80M,1.98B,9.33,42.04,25.96,1.53,154.14,1.33,1.20,2.70,2.18,-10.43%,-22.72%,-21.57%,24.81,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,42.30M,40.01M,12.77%,10.48,86.88,-34.75%,3.71%,64.08,1.48,13.00%,38.30%,1.20%,-41.52%,-,-0.49%,-,-,3800,2.10
2018-10-29,18:35:41 ,62.41,0.16%,"636,920",500.48K,2.60B,63.80M,1.98B,9.34,42.11,26.00,1.53,152.12,1.32,1.20,2.70,2.18,-9.43%,-22.08%,-21.40%,25.20,6.40%,30.10%,11.10%,31.90%,4.90%,3.40%,41.68M,40.01M,13.20%,10.55,86.88,-34.64%,6.32%,62.31,1.48,13.00%,38.30%,1.20%,-41.88%,-,-0.48%,-,-,3800,2.10
